year	2003
imdb score	6.3
meta score	71
genre	Comedy
genre	Crime
genre	Romance
keyword	divorce
keyword	attorney
keyword	lawyer
keyword	real estate
keyword	philanderer
keyword	marriage
keyword	oil tycoon
keyword	court
keyword	battle of the sexes
keyword	erection
keyword	rottweiler
keyword	wife abuse
keyword	assassin
keyword	ponytail
keyword	adultery
keyword	baron
keyword	lake tahoe
keyword	impotence
keyword	inheritance
keyword	love at first sight
keyword	homelessness
keyword	stabbed with an award
keyword	prologue
keyword	suicide by gunshot
keyword	face slap
keyword	lie
keyword	colostomy
keyword	wedding chapel
keyword	husband wife relationship
keyword	special education
keyword	tennis pro
keyword	elective surgery
keyword	champagne
keyword	convertible
keyword	trial
keyword	hitman
keyword	satire
keyword	femme fatale
keyword	bleaching teeth
keyword	con
keyword	address book
keyword	cuckold
keyword	witness
keyword	funeral
keyword	prenuptial agreement
keyword	elevator
keyword	assault
keyword	urban setting
keyword	gizmo
keyword	midlife crisis
keyword	teeth
keyword	asthma
keyword	man with glasses
keyword	pool cleaner
keyword	murder plot
keyword	los angeles california
keyword	extramarital affair
keyword	slot machine
keyword	jury
keyword	video tape
keyword	ulcer
keyword	reference to ivan the terrible
keyword	rage
keyword	reference to american airlines
keyword	animated credits
keyword	waitress
keyword	negotiator
keyword	stabbing
keyword	spa
keyword	tv producer
keyword	cell phone
keyword	fortune
keyword	strangulation
keyword	dog
keyword	underwear
keyword	beverly hills california
keyword	vacuum cleaner
keyword	motel
keyword	malibu california
keyword	guitar
keyword	photographer
keyword	restaurant
keyword	screwball comedy
keyword	tuna
keyword	speech
keyword	poetry
keyword	trophy
keyword	camera
keyword	courtroom
keyword	friend
keyword	poodle
keyword	poem
keyword	stupid victim
keyword	america's funniest divorce videos
keyword	video camera
keyword	nightmare
keyword	private detective
keyword	reference to david and goliath
keyword	lingerie
keyword	aquarium
keyword	massive coronary
keyword	hotel
keyword	convention
keyword	soap opera
keyword	american football
keyword	dream sequence
keyword	slow clap
keyword	car accident
keyword	train
keyword	infidelity
keyword	deceit
keyword	wedding
keyword	cupid
keyword	kiss
keyword	cafe
keyword	tv show in film
keyword	judge
keyword	watching a video
keyword	beating
keyword	breaking and entering
keyword	actor
keyword	red dress
keyword	reference to texas a&m
keyword	accidental suicide
keyword	heart attack
keyword	staple manufacturer
keyword	diner
keyword	reference to attila the hun
keyword	palimony
keyword	botox
keyword	law firm
keyword	kilt
keyword	song
keyword	liar
keyword	despair
keyword	reference to mcdonald's restaurant
keyword	casino
keyword	revenge
keyword	singing
keyword	dentist
keyword	jaguar
keyword	unfaithfulness
keyword	love
keyword	reference to king henry viii
keyword	murder for hire
keyword	wine
keyword	marriage of convenience
keyword	animal attack
keyword	gun
keyword	concierge
keyword	airplane
keyword	baptist
keyword	hired killer
keyword	las vegas nevada
keyword	reference to clarence thomas
keyword	dictaphone
keyword	friendship
keyword	pilates
keyword	mortgage
keyword	swimming pool
keyword	pastry
keyword	bagpipes
keyword	fetish
keyword	suicide
keyword	woman with glasses
keyword	peptic ulcer
keyword	fictional reality show
keyword	millionaire
cast	George Clooney	Miles
cast	Catherine Zeta-Jones	Marylin
cast	Geoffrey Rush	Donovan Donaly
cast	Cedric the Entertainer	Gus Petch
cast	Edward Herrmann	Rex Rexroth
cast	Paul Adelstein	Wrigley
cast	Richard Jenkins	Freddy Bender
cast	Billy Bob Thornton	Howard D. Doyle
cast	Julia Duffy	Sarah Sorkin
cast	Jonathan Hadary	Heinz, the Baron Krauss von Espy
cast	Tom Aldredge	Herb Myerson
cast	Stacey Travis	Bonnie Donaly
cast	Jack Kyle	Ollie Olerud
cast	Irwin Keyes	Wheezy Joe
cast	Judith Drake	Mrs. Gutman
cast	George Ives	Mrs. Gutman's Lawyer
cast	Booth Colman	Gutman Trial Judge
cast	Kristin Dattilo	Rex's Young Woman
cast	Wendle Josepher	Miles' Receptionist
cast	Mary Pat Gleason	Nero's Waitress
cast	Mia Cottet	Ramona Barcelona
cast	Kiersten Warren	Claire O'Mara
cast	Rosey Brown	Gus's Pal
cast	Ken Sagoes	Gus's Pal
cast	Dale E. Turner	Gus's Pal
cast	Douglas Fisher	Maitre d'
cast	Nicholas Shaffer	Waiter
cast	Isabell O'Connor	Judge Marva Munson
cast	Mary Gillis	Court Reporter
cast	Colin Linden	Father Scott
cast	Julie Osburn	Stewardess
cast	Gary Marshal	Las Vegas Waiter
cast	Blake Clark	Convention Secretary
cast	Allan Trautman	Convention Lawyer
cast	Kate Luyben	Santa Fe Tart
cast	Kitana Baker	Santa Fe Tart
cast	Camille Anderson	Santa Fe Tart
cast	Tamie Sheffield	Santa Fe Tart
cast	Bridget Marquardt	Santa Fe Tart
cast	Emma Harrison	Santa Fe Tart
cast	John Bliss	Mr. MacKinnon
cast	Patrick Thomas O'Brien	Bailiff
cast	Sean Fenton	Bailiff
cast	Royce D. Applegate	Mr. Gutman
cast	Justine Baker	Wedding Guest
cast	Bruce Campbell	Soap Opera Actor on TV
cast	Barbara Kerr Condon	Herb Myerson's Private Nurse
cast	Jason De Hoyos	Gardener
cast	Larry Vigus	Lawyer
cast	Susan Yeagley	Tart #1
