year	1997
imdb score	6.4
meta score	49
genre	Drama
genre	Romance
keyword	1950s
keyword	tennis
keyword	three sisters
keyword	wrong side of the tracks
keyword	teenage boy
keyword	snow
keyword	copulation
keyword	scholarship
keyword	water hose
keyword	climbing a tree
keyword	drinking
keyword	sibling rivalry
keyword	gas station
keyword	male nudity
keyword	panties
keyword	death
keyword	sex
keyword	tent
keyword	nude girl
keyword	voice over narration
keyword	breasts
keyword	cleavage
keyword	fondling
keyword	topless female nudity
keyword	coin toss
keyword	love
keyword	female frontal nudity
keyword	watching tv
keyword	cafe
keyword	teenage girl
keyword	business deal
keyword	toast
keyword	carpentry
keyword	urination
keyword	bus
keyword	marriage engagement
keyword	sister sister relationship
keyword	band
keyword	library
keyword	christmas
keyword	table tennis
keyword	ice cream
keyword	wealth
keyword	college freshman
keyword	watching a movie
keyword	white panties
keyword	theatre
keyword	reference to elvis presley
keyword	women's clothing store
keyword	unfaithfulness
keyword	destruction of property
keyword	coitus
keyword	parking
keyword	three word title
keyword	flowers
keyword	caught in the act
keyword	pregnancy
keyword	widow
keyword	summer school
keyword	drink
keyword	fictional town
keyword	high school graduation
keyword	auto mechanic
keyword	reference to romeo and juliet
keyword	caught having sex
keyword	falling from a tree
keyword	obsession
keyword	fistfight
keyword	university of pennsylvania
keyword	pariah
keyword	kiss
keyword	tennis court
keyword	high school student
keyword	high school senior
keyword	woman on top
keyword	flight attendant
keyword	passionate kiss
keyword	mother daughter relationship
keyword	cigarette smoking
keyword	cooking
keyword	college student
keyword	college
keyword	children
keyword	reception
keyword	writing on fogged window
keyword	scantily clad female
keyword	crotch grab
keyword	based on story
keyword	mother son relationship
keyword	punched in the face
keyword	vomit
keyword	dancing
keyword	filling station
keyword	bare butt
keyword	party
keyword	waiter
keyword	fight
keyword	coffin
keyword	extramarital affair
keyword	birthday
keyword	bare breasts
keyword	father daughter relationship
keyword	teacher
keyword	bicycle
keyword	birthday party
keyword	working class
keyword	set designer
keyword	shed
keyword	sex in car
keyword	bryn mawr college
keyword	class conflict
keyword	restaurant
keyword	student
keyword	airplane stewardess
keyword	adultery
keyword	barn
keyword	affair
keyword	female nudity
keyword	upskirt
keyword	philadelphia pennsylvania
keyword	dancer
keyword	forgiveness
keyword	female rear nudity
keyword	female removes her clothes
keyword	airport
keyword	rain
keyword	nipples
keyword	coming of age
keyword	beer
keyword	leg spreading
keyword	high school
keyword	merry christmas
keyword	whistling
keyword	picnic
keyword	penis
keyword	gossip
keyword	view under table
keyword	patent
keyword	divorce
keyword	funeral
keyword	flat tire
keyword	mayflower moving van
keyword	dysfunctional marriage
keyword	betrayal
keyword	rich snob
keyword	female removes her dress
keyword	mansion
keyword	garage
keyword	lust
keyword	baby
keyword	1960s
keyword	nude
keyword	brother brother relationship
keyword	family relationships
keyword	drunkenness
keyword	sideburns
keyword	love triangle
keyword	hayloft
keyword	busboy
keyword	rumor
keyword	convertible
keyword	christmas tree
keyword	nudity
keyword	infidelity
keyword	ping pong
keyword	death of mother
keyword	death of father
keyword	title spoken by character
cast	Joaquin Phoenix	Doug Holt
cast	Billy Crudup	Jacey Holt
cast	Will Patton	Lloyd Abbott
cast	Kathy Baker	Helen Holt
cast	Jennifer Connelly	Eleanor Abbott
cast	Michael Sutton	Steve
cast	Liv Tyler	Pamela Abbott
cast	Joanna Going	Alice Abbott
cast	Barbara Williams	Joan Abbott
cast	Alessandro Nivola	Peter Vanlaningham
cast	Nicole M. Vassallo	Giggling Girl #1
cast	Amanda Sherman	Giggling Girl #2
cast	Shawn Hatosy	Victor
cast	Garrett M. Brown	Webb Crosby
cast	Julie Benz	Co-ed
cast	Zoe McLellan	Sandy
cast	David Frazier	Ted
cast	Margaret Ash	Store Clerk
cast	Clive Rosengren	Principal
cast	Susan Barnes	Mrs. Porter
cast	Andrea Post	Waitress
cast	Jack Cummins	Funeral Director
cast	David Heckendorn	Pre-Record Singer
cast	Janette Andrade	Socialite
cast	Michael Keaton	Narrator
cast	Guy Kochlani	Student
cast	Dayna Price	Susie Jacobs
cast	Sean St. Heart	Mike
cast	Joseph Benjamin Stewart	Dancer
