year	1934
imdb score	8.3
meta score	N/A
genre	Comedy
genre	Romance
keyword	reporter
keyword	bus
keyword	yacht
keyword	love
keyword	aviator
keyword	reward
keyword	marriage
keyword	walls of jericho
keyword	heiress
keyword	diving
keyword	police
keyword	thief
keyword	travel
keyword	newspaper
keyword	motel
keyword	detective
keyword	money
keyword	running away
keyword	motorcycle
keyword	tuxedo
keyword	search
keyword	train
keyword	lifting skirt
keyword	cabin
keyword	boy
keyword	fake kidnapping
keyword	writer
keyword	singing quartet
keyword	undressing
keyword	toothbrush
keyword	remarriage
keyword	reference to edmond hoyle
keyword	tonsils
keyword	rope
keyword	jacksonville florida
keyword	wedding veil
keyword	kiss
keyword	character appears in newspaper
keyword	piggy back ride
keyword	runaway bride
keyword	theft
keyword	singer
keyword	carrot
keyword	reference to santa claus
keyword	maid
keyword	new york city
keyword	veil
keyword	wedding dress
keyword	fence
keyword	guitar
keyword	swimming
keyword	film camera
keyword	coffee
keyword	fainting
keyword	honking a car horn
keyword	apology
keyword	sleeping outside
keyword	flat tire
keyword	suitcase
keyword	sitting on a fence
keyword	car brakes
keyword	hobo
keyword	airplane
keyword	honeymoon
keyword	face slap
keyword	missing person
keyword	campground
keyword	bridge washout
keyword	photographer
keyword	breakfast
keyword	river
keyword	trenchcoat
keyword	canceled wedding
keyword	police escort
keyword	telephone call
keyword	claim in title
keyword	male slaps female
keyword	cigar smoking
keyword	eating
keyword	pen knife
keyword	montage
keyword	crying
keyword	miami florida
keyword	motorcycle cop
keyword	bus driver
keyword	pipe smoking
keyword	class differences
keyword	journalism
keyword	typewriter
keyword	newspaper office
keyword	song
keyword	car theft
keyword	limping
keyword	wrong side of the tracks
keyword	auto camp
keyword	hamburger stand
keyword	telegraph operator
keyword	box of chocolates
keyword	overheated car
keyword	editor
keyword	blowing a kiss
keyword	letter
keyword	camera
keyword	pajamas
keyword	bare chested male
keyword	egg
keyword	runaway heiress
keyword	slip the undergarment
keyword	newspaper article
