year	1991
imdb score	8.0
meta score	72
genre	Drama
genre	History
genre	Thriller
keyword	president
keyword	assassination of president
keyword	conspiracy
keyword	vietnam
keyword	john f kennedy
keyword	government
keyword	kennedy assassination
keyword	u.s. president
keyword	investigation
keyword	evidence
keyword	amateur footage
keyword	blockbuster
keyword	businessman
keyword	based on multiple works
keyword	anger
keyword	assassin
keyword	male prostitute
keyword	assassination of jfk
keyword	political assassination
keyword	paranoia
keyword	ambiguous ending
keyword	confrontation
keyword	mafia
keyword	politics
keyword	perjury
keyword	communism
keyword	controversy
keyword	courtroom
keyword	flashback
keyword	washington d.c.
keyword	dead woman on ground
keyword	entire title is capitalized acronym
keyword	cover up
keyword	hitman
keyword	fight the system
keyword	racial slur
keyword	loss of innocence
keyword	prison
keyword	assassination plot
keyword	witness
keyword	power
keyword	jfk assassination conspiracy
keyword	author cameo
keyword	homosexual
keyword	homosexuality
keyword	new orleans louisiana
keyword	acronym in title
keyword	terrorism
keyword	political corruption
keyword	district attorney
keyword	dead woman with eyes open
keyword	man with glasses
keyword	hit and run
keyword	military
keyword	castro regime
keyword	gay slur
keyword	cuba
keyword	cartoon on tv
keyword	political thriller
keyword	murder
keyword	coup d'état
keyword	carcano carbine
keyword	1960s
keyword	based on novel
keyword	based on book
keyword	character name in title
cast	Sally Kirkland	Rose Cheramie
cast	Anthony Ramirez	Epileptic
cast	Ray LePere	Zapruder
cast	Steve Reed	John F. Kennedy - Double
cast	Jodie Farber	Jackie Kennedy - Double
cast	Columbia Dubose	Nellie Connally - Double
cast	Randy Means	Gov. Connally - Double
cast	Kevin Costner	Jim Garrison
cast	Jay O. Sanders	Lou Ivon
cast	E.J. Morris	Plaza Witness #1
cast	Cheryl Penland	Plaza Witness #2
cast	Jim Gough	Plaza Witness #3
cast	Perry R. Russo	Angry Bar Patron
cast	Mike Longman	TV Newsman #1
cast	Edward Asner	Guy Bannister
cast	Jack Lemmon	Jack Martin
cast	Vincent D'Onofrio	Bill Newman
cast	Gary Oldman	Lee Harvey Oswald
cast	Sissy Spacek	Liz Garrison
cast	Pat Perkins	Mattie
cast	Brian Doyle-Murray	Jack Ruby
cast	Wayne Knight	Numa Bertel
cast	Michael Rooker	Bill Broussard
cast	Laurie Metcalf	Susie Cox
cast	Gary Grubbs	Al Oser
cast	Beata Pozniak Daniels	Marina Oswald
cast	Tom Howard	L.B.J.
cast	John William Galt	L.B.J.
cast	Joe Pesci	David Ferrie
cast	Ron Jackson	FBI Spokesman
cast	Walter Matthau	Senator Long
cast	Amy Long	Virginia Garrison
cast	Scott Krueger	Snapper Garrison
cast	Sean Stone	Jasper Garrison
cast	Allison Pratt Davis	Elizabeth Garrison
cast	Pruitt Taylor Vince	Lee Bowers
cast	Red Mitchell	Sgt. Harkness
cast	Ronald von Klaussen	Hobo #1
cast	John S. Davies	Hobo #2
cast	Michael Ozag	Hobo #3
cast	Tony Plana	Carlos Bringuier
cast	Tommy Lee Jones	Clay Shaw
cast	Tomas Milian	Leopoldo
cast	Raul Aranas	Angelo
cast	John Candy	Dean Andrews
cast	John C. Martin	Prison Guard
cast	Kevin Bacon	Willie O'Keefe
cast	Henri Alciatore	Maitre d'
cast	Willem Oltmans	George DeMohrenschildt
cast	Gail Cronauer	Janet Williams
cast	Gary Carter	Bill Williams
cast	Roxie M. Frnka	Earlene Roberts
cast	Zeke Mills	J.C. Price
cast	James N. Harrell	Sam Holland
cast	Ray Redd	Dodd
cast	Ellen McElduff	Jean Hill
cast	Sally Vahle	Mary Moorman
cast	Jo Anderson	Julia Ann Mercer
cast	Marco Perella	Mercer Interrogator
cast	Edwin Neal	Mercer Interrogator
cast	Spain Logue	FBI Agent #1 with Hill
cast	Darryl Cox	FBI Agent #2 with Hill
cast	T.J. Kennedy	Hill Interrogator
cast	Carolina McCullough	Stripper
cast	Jim Garrison	Earl Warren
cast	J.J. Johnston	Mobster with Broussard
cast	R. Bruce Elliott	Bolton Ford Dealer
cast	Barry Chambers	Man at Firing Range
cast	Linda Flores Wade	Sylvia Odio
cast	William Larsen	Will Fritz
cast	Alec Gifford	TV Newsman #2
cast	Eric A. Vicini	French Reporter
cast	Michael Gurievsky	Russian Reporter
cast	Caroline Crosthwaite-Eyre	British Reporter
