logline	When a gigantic great white shark begins to menace the small island community of Amity, a police chief, a marine scientist and grizzled fisherman set out to stop it.
tagline	Amity Island had everything. Clear skies. Gentle surf. Warm water. People flocked there every summer. It was the perfect feeding ground.
tagline	The Nation's No.1 Best-Selling Book now the Screen's Super-Thriller
tagline	You yell shark, and we got a panic on our hands on the Fourth of July.
tagline	If you forgot what terror was like...its back.
tagline	See what you missed the first time...after you closed your eyes.
tagline	It's as if God created The Devil, and gave him Jaws.
tagline	The terrifying motion picture from the terrifying No. 1 best seller.
tagline	When beaches open this summer, you will be taken by Jaws.
tagline	She was the first.
tagline	Do you like fish?  Well, he likes you too...
tagline	Don't go in the water
tagline	See it before you go swimming.
tagline	You'll never go in the water again!
