year	2006
imdb score	6.1
meta score	N/A
genre	Crime
genre	Drama
genre	Thriller
keyword	love
keyword	sex
keyword	commune
keyword	revenge
keyword	high school
keyword	gun
keyword	video camera
keyword	on the run
keyword	cocaine
keyword	suburb
keyword	police
keyword	drug
keyword	beating
keyword	singing
keyword	shoplifting
keyword	fugitive
keyword	wig
keyword	drug addict
keyword	dead animal
keyword	vengeance
keyword	escape
keyword	broken windshield
keyword	dead cop
keyword	female nudity
keyword	mother son relationship
keyword	cop killer
keyword	thief
keyword	death
keyword	female rear nudity
keyword	whip
keyword	drugs
keyword	caught having sex
keyword	police officer
keyword	prostitute
keyword	drunkenness
keyword	midlife crisis
keyword	high school senior
keyword	attempted rape
keyword	dancing
keyword	barricade
keyword	murder
keyword	shot to death
keyword	subjective camera
keyword	expelled from school
keyword	ghetto
keyword	hit and run
keyword	cruelty
keyword	voice over narration
keyword	tattoo
keyword	bra
keyword	police car
keyword	black prostitute
keyword	rape
keyword	cult film
keyword	caught on tape
keyword	low budget film
keyword	looking at the camera
keyword	prologue
keyword	therapy
keyword	danger
keyword	ambulance
keyword	boyfriend girlfriend relationship
keyword	promise
keyword	black woman
keyword	fanatic
keyword	shooting
keyword	roadkill
keyword	rifle
keyword	theft
keyword	dyed hair
keyword	singer
keyword	father son relationship
keyword	stealing
keyword	couple
keyword	vandalism
keyword	dead body in a car
keyword	teenage girl
keyword	rapist
keyword	male frontal nudity
keyword	female frontal nudity
keyword	cross dressing
keyword	money
keyword	cigarette smoking
keyword	hostility
keyword	bully
keyword	baseball bat
keyword	violence
keyword	interracial sex
keyword	masturbation
keyword	tension
keyword	marriage
keyword	watching tv
keyword	troubled teenager
keyword	dysfunctional family
keyword	vandalizing a car
keyword	drug dealer
keyword	drug overdose
keyword	therapist
keyword	elvis impersonator
keyword	nudity
keyword	talking to the camera
keyword	sadomasochism
keyword	policeman
keyword	erection
keyword	bonfire
keyword	drug use
keyword	female teacher
keyword	fighting
keyword	party
keyword	suicide
keyword	wound
keyword	blood
keyword	whipping
keyword	kiss
keyword	lovers on the lam
keyword	point of view
keyword	naked bathing
keyword	pursuit
keyword	vomit
keyword	husband wife relationship
keyword	shaving head
keyword	dancer
keyword	corpse
keyword	oppositional defiance disorder
keyword	gurney
keyword	guru
keyword	crime spree
keyword	car accident
keyword	tv news
keyword	police chase
keyword	arrest
keyword	male nudity
keyword	dysfunctional marriage
keyword	fight
keyword	running
keyword	burning dead body
keyword	independent film
keyword	character name in title
cast	Edward Furlong	Jimmy
cast	Rachael Bella	Judy
cast	William Sadler	Uncle Rodney
cast	James Eckhouse	Jimmy's Dad
cast	Gay Storm	Jimmy's Mom
cast	Chaney Kley	Dinko
cast	A.J. Buckley	Buddy
cast	Jane Leigh Connelly	Hazel
cast	Nicole Randall Johnson	Prostitute
cast	Patrick Bristow	Dr. Walters
cast	Lindsay Beamish	Connie
cast	Denver Jade	Billy Rensing
cast	Crystal Wilson	Megan Cleary
cast	Rob Wilds	Grocery Store Manager
cast	Michael Friedman	Police Officer
cast	Darrell Francis	Sheriff
cast	Randy Little	News Reporter
cast	Randall Rubin	Elvis Impersonator
cast	Kathy Carlotta	Herself
cast	Tracey Gilkerson	Uncle Rodney's Cowboy
cast	Mitch Wilson	Sam
cast	Heather Hastings	Sally / Singing Sister
cast	Aaron Rohn	Enforcer
cast	Megan Hastings	Singing Sister
cast	Hope Hastings	Singing Sister
cast	Heidi Hastings	Singing Sister
cast	Emily Hastings	Singing Sister
cast	Shana Rae	Naked girl
cast	Gregory Patrick Agnew	Judy's Father
cast	Bobbi Burton	Mrs. Ambrose
cast	Tammy Hopkins	Judy's Mom
cast	Colleen Mooney Wright	Extra
cast	Chas Pangburn	Extra
