year	2004
imdb score	8.0
meta score	83
genre	Action
genre	Crime
genre	Thriller
keyword	bride
keyword	vengeance
keyword	assassination
keyword	assassin
keyword	death
keyword	bouncer
keyword	revenge
keyword	teacher
keyword	wedding chapel
keyword	martial arts
keyword	snake
keyword	execution
keyword	training
keyword	sword
keyword	female assassin
keyword	black mamba
keyword	hattori hanzo
keyword	strip club
keyword	syringe
keyword	tragic love
keyword	warrior
keyword	bar
keyword	coffin
keyword	hit in the crotch
keyword	rice
keyword	pimp
keyword	fistfight
keyword	nonlinear timeline
keyword	head in toilet
keyword	el paso texas
keyword	betrayal
keyword	violence
keyword	no opening credits
keyword	homage
keyword	flashback
keyword	restaurant
keyword	mother daughter relationship
keyword	promise
keyword	desert
keyword	shaolin temple
keyword	death by samurai sword
keyword	combat
keyword	hitlist
keyword	injection
keyword	loyalty
keyword	heroine
keyword	super hero
keyword	chopsticks
keyword	flash forward
keyword	imperative in title
keyword	cartoon on tv
keyword	priest
keyword	vigilante
keyword	classroom
keyword	buddhist temple
keyword	shooting
keyword	duology
keyword	respect
keyword	samurai sword
keyword	wedding singer
keyword	brutality
keyword	cantonese
keyword	spit in face
keyword	surprise after end credits
keyword	mexico
keyword	reference to spiderman
keyword	female murderer
keyword	buried alive
keyword	femme fatale
keyword	mother child reunion
keyword	warrior woman
keyword	murder
keyword	cigarette smoking
keyword	action heroine
keyword	money
keyword	showdown
keyword	intentional goof
keyword	honor
keyword	headstone
keyword	hitwoman
keyword	straight edge razor
keyword	katana
keyword	roll call
keyword	racial slur
keyword	wedding dress
keyword	reference to annie oakley
keyword	cemetery
keyword	venom
keyword	cafe
keyword	shotgun
keyword	asshole in elbow
keyword	massacre
keyword	returning character killed off
keyword	snake charmer
keyword	shaolin
keyword	dark heroine
keyword	blindness
keyword	retirement
keyword	mace
keyword	truth serum
keyword	head dunked in toilet bowl
keyword	costumer
keyword	sequel
keyword	female protagonist
keyword	mother son relationship
keyword	dead body
keyword	martial arts master
keyword	master apprentice relationship
keyword	poison dart
keyword	huntington cemetery
keyword	rhyme in title
keyword	pistol
keyword	disarming someone
keyword	blood
keyword	treachery
keyword	rifle
keyword	watching tv
keyword	grave
keyword	sheath
keyword	organist
keyword	gore
keyword	flashlight
keyword	wedding rehearsal
keyword	employer employee relationship
keyword	forgiveness
keyword	blinded
keyword	blood splatter
keyword	sword fight
keyword	apprentice kills master
keyword	impervious to bullets
keyword	tough girl
keyword	shot in the knee
keyword	regret
keyword	brawl
keyword	kindness
keyword	holding head under water
keyword	pregnancy test
keyword	poetic justice
keyword	exploding heart
keyword	critically acclaimed
keyword	eagle claw
keyword	pussy wagon
keyword	hitman
keyword	tiger crane
keyword	retribution
keyword	2000s
keyword	suffering
keyword	campfire
keyword	poison
keyword	shot through a door
keyword	trailer home
keyword	presumed dead
keyword	shot in the chest
keyword	prostitute
keyword	women fight
keyword	fire
keyword	neo noir
keyword	righteous rage
keyword	head butt
keyword	katana sword
keyword	female warrior
keyword	digging a grave
keyword	hand rising from the earth
keyword	internet
keyword	guilt
keyword	paralysis
keyword	snake bite
keyword	murdered by snakebite
keyword	breaking the fourth wall
keyword	teacher student relationship
keyword	brothel
keyword	reference to batman
keyword	pregnant bride
keyword	anti hero
keyword	split screen
keyword	cocaine
keyword	cobra
keyword	karate special technique
keyword	hate
keyword	samurai
keyword	crying
keyword	redemption
keyword	toilet bowl
keyword	death of title character
keyword	swordsmanship
keyword	dying
keyword	kung fu
keyword	death by snakebite
keyword	love
keyword	girl fight
keyword	martial artist
keyword	tragic hero
keyword	topless female nudity
keyword	neo western
keyword	eye ripped out
keyword	graveyard
keyword	corpse
keyword	cult film
keyword	voice over narration
keyword	mentor protégé relationship
keyword	eyeball
keyword	martial arts
keyword	bathroom
keyword	pregnancy
keyword	eye gouging
keyword	second part
keyword	one woman army
keyword	moral ambiguity
keyword	shot back to back
keyword	kendo
keyword	barstow california
keyword	poisoning
keyword	justice
keyword	father son relationship
keyword	blonde
keyword	glass of water
keyword	tragic heroine
keyword	pain
keyword	goldfish
keyword	stuffed animal
keyword	gun
keyword	flute
keyword	sword duel
keyword	bloodshed
keyword	cell phone
keyword	brother brother relationship
keyword	perth australia
keyword	pretending to be dead
keyword	mentor
keyword	reference to superman
keyword	children
keyword	magpie
keyword	death of pet
keyword	monk
keyword	stripper
keyword	hand to hand combat
keyword	code name
keyword	wink
keyword	black comedy
keyword	philosophy
keyword	wuxia fiction
keyword	uncle niece relationship
keyword	rock salt
keyword	gasping for air
keyword	tears
keyword	exploding heart technique
keyword	eye patch
keyword	helplessness
keyword	father daughter relationship
keyword	renegade
keyword	fight
keyword	tragic villain
keyword	character name in title
keyword	title spoken by character
keyword	surprise ending
keyword	
cast	Vivica A. Fox	Vernita Green
cast	Ambrosia Kelley	Nikki
cast	Michael Parks	Earl McGraw / Esteban Vihaio
cast	James Parks	Edgar McGraw
cast	Jonathan Loughran	Trucker
cast	Michael Bowen	Buck
cast	Kenji Ohba	Bald Guy
cast	Yoshiyuki Morishita	Tokyo Businessman
cast	Jun Kunimura	Boss Tanaka
cast	Goro Daimon	Boss Honda
cast	Kazuki Kitamura	Boss Koji / Crazy 88
cast	Akaji Maro	Boss Ozawah
cast	Shun Sugata	Boss Benta
cast	Sachiko Fujii	The 5, 6, 7, 8's
cast	Ronnie Yoshiko Fujiyama	The 5, 6, 7, 8's
cast	Yoshiko Yamaguchi	The 5, 6, 7, 8's
cast	Sakichi Satô	Charlie Brown
cast	Tetsuro Shimaguchi	Crazy 88
cast	Yôji Tanaka	Crazy 88
cast	Sô Yamanaka	Crazy 88
cast	Issei Takahashi	Crazy 88
cast	Julie Manase	Crazy 88
cast	Chiaki Kuriyama	Gogo
cast	Chia-Hui Liu	Johnny / Pai Mei
cast	Yuki Kazamatsuri	Proprietor
cast	Lucy Liu	O-Ren Ishii
cast	Shin'ichi Chiba	Hattori Hanzo
cast	Julie Dreyfus	Sofie Fatale
cast	Bo Svenson	Reverend Harmony
cast	Jeannie Epper	Mrs. Harmony
cast	Stephanie L. Moore	Joleen
cast	Shana Stein	Erica
cast	Caitlin Keats	Janeen
cast	Christopher Allen Nelson	Tommy Plympton
cast	Samuel L. Jackson	Rufus
cast	Reda Beebe	Lucky
cast	Sid Haig	Jay
cast	Larry Bishop	Larry Gomez
cast	Laura Cayouette	Rocket
cast	Clark Middleton	Ernie
cast	Michael Madsen	Budd
cast	Daryl Hannah	Elle Driver
cast	Claire Smithies	Clarita
cast	Helen Kim	Karen
cast	David Carradine	Bill
cast	Perla Haney-Jardine	B.B.
cast	Uma Thurman	Beatrix Kiddo
cast	Victoria Lucai	Trixie
cast	Venessia Valentino	1st Grade Teacher
cast	Thea Rose	Melanie Harrhouse
cast	William Paul Clark	Soda Jerk
cast	Stevo Polyi	Tim
cast	Al Manuel Douglas	Marty Kitrosser
cast	Patricia Silva	Hooker #1
cast	Maria Del Rosario Gutiérrez	Hooker #2
cast	Sonia Angelica Padilla Curiel	Hooker #3
cast	Veronica Janet Martinez	Hooker #4
cast	Lucia Cruz Marroquin	Hooker #5
cast	Citlati Guadalupe Bojorquez	Hooker #6
cast	Graciela Salazar Mendoza	Hooker #7
cast	Maria de Lourdes Lombera	Hooker #8
cast	Jorge Silva	Bartender / Pimp
cast	Lawrence Bender	Hotel Clerk
cast	Tom Hartig	My Oh My Club Pool Player
cast	Gary Rodriguez	Precision Driver
cast	Quentin Tarantino	Himself
