year	1997
imdb score	7.7
meta score	N/A
genre	Drama
keyword	friendship
keyword	trailer home
keyword	girl
keyword	squirt gun
keyword	urinating on top of a car
keyword	kicked in the head
keyword	mooning
keyword	attacked by a dog
keyword	blocking traffic
keyword	high dive
keyword	fresh start
keyword	chicken
keyword	tackle box
keyword	lawn mowing
keyword	dancing
keyword	mailman
keyword	mowing lawn
keyword	doberman
keyword	steak
keyword	security guard
keyword	male nudity
keyword	semiautomatic pistol
keyword	peeping
keyword	campfire
keyword	handgun
keyword	party
keyword	straw hat
keyword	carried on someone's shoulders
keyword	manicured lawn
keyword	cookie
keyword	ribbon
keyword	compact disc
keyword	howling
keyword	pistol
keyword	oral sex
keyword	falling from a tree
keyword	mother daughter relationship
keyword	doll
keyword	baseball cap worn backwards
keyword	beating
keyword	girl nudity
keyword	towel
keyword	white socks
keyword	bullet
keyword	burping
keyword	sabotage
keyword	run over with a lawn mower
keyword	father son relationship
keyword	voice over
keyword	skinny dipping
keyword	panties around ankles
keyword	gay kiss
keyword	gate
keyword	wealth
keyword	hanging upside down
keyword	public nudity
keyword	lawn service
keyword	girl scout
keyword	gay interest
keyword	suburbia
keyword	memento
keyword	lying to one's parents
keyword	boy with glasses
keyword	intergenerational friendship
keyword	bmw
keyword	outsider
keyword	burp
keyword	dog
keyword	grass trimmer
keyword	fable
keyword	climbing through a window
keyword	drinking and driving
keyword	cigarette smoking
keyword	baking cookies
keyword	family relationships
keyword	hole in shirt
keyword	infidelity
keyword	rake
keyword	shot in the belly
keyword	sex
keyword	little boy
keyword	pedophile witchhunt
keyword	cowboy hat
keyword	cadillac convertible
keyword	voyeurism
keyword	breasts
keyword	poor white trash
keyword	spitting
keyword	bridge
keyword	sucking on one's cut finger
keyword	preteenage heroine
keyword	river
keyword	urination
keyword	mother son relationship
keyword	child molester
keyword	discrimination
keyword	bicycle
keyword	work gloves
keyword	scar
keyword	poverty
keyword	doghouse
keyword	forbidden friendship
keyword	raisin
keyword	diving off a bridge
keyword	climbing a tree
keyword	chicken house
keyword	grill
keyword	beer
keyword	penis
keyword	cunnilingus
keyword	heart
keyword	toy gun
keyword	nonsense song
keyword	wagon
keyword	television news
keyword	salad
keyword	watching tv
keyword	pet turtle
keyword	lawn mower
keyword	comb
keyword	adultery
keyword	fairy tale
keyword	turtle
keyword	beaten to death
keyword	buttocks
keyword	lawnmower
keyword	blood
keyword	thief
keyword	little red wagon
keyword	fisherman
keyword	hit with a club
keyword	nipples
keyword	husband wife relationship
keyword	chicken coop
keyword	heart trouble
keyword	cowboys and indians
keyword	pay phone
keyword	forest
keyword	taunting
keyword	girl man relationship
keyword	upskirt
keyword	undressing
keyword	gingerbread man
keyword	cut on face
keyword	nudity
keyword	suspicion
keyword	little girl
keyword	car won't start
keyword	chicken feet
keyword	loneliness
keyword	returning home
keyword	nude bathing
keyword	checkers
keyword	selling cookies
keyword	gardening
keyword	male rear nudity
keyword	lawn sprinkler
keyword	hot dog
keyword	sugar in gas tank
keyword	hypocrisy
keyword	beret
keyword	urinating in a cup
keyword	older woman younger man relationship
keyword	dog hit by a car
keyword	fishing tackle
keyword	golf club
keyword	pickup truck
keyword	male frontal nudity
keyword	panties
keyword	cookout
keyword	man with glasses
keyword	bare breasts
keyword	jumping off a bridge
keyword	lamp shade
keyword	naked bathing
keyword	chasing a dog
keyword	usa flag
keyword	female nudity
keyword	child nudity
keyword	magic
keyword	father daughter relationship
keyword	independent film
cast	Mischa Barton	Devon Stockard
cast	Sam Rockwell	Trent
cast	Christopher McDonald	Morton Stockard
cast	Kathleen Quinlan	Clare Stockard
cast	Miles Meehan	Billy
cast	Bruce McGill	Nash
cast	David Barry Gray	Brett
cast	Eric Mabius	Sean Torrance
cast	Angie Harmon	Pamela 'Pam' Gregory
cast	José Orlando Araque	Salvador the Mailman
cast	Beth Grant	Trent's Mother
cast	Tom Aldredge	Jake - Trent's Father
cast	Odin the Dog	Tracker
cast	Tafeki the Dog	Tracker
