year	1999
imdb score	6.6
meta score	63
genre	Comedy
genre	Crime
genre	Drama
keyword	flashback
keyword	criminal
keyword	watch
keyword	life imprisonment
keyword	mississippi
keyword	sheriff
keyword	profanity
keyword	interracial relationship
keyword	fistfight
keyword	prison guard
keyword	prison violence
keyword	new york city
keyword	fat man
keyword	false accusation
keyword	prison life
keyword	racism
keyword	bare knuckle fighting
keyword	prison labor
keyword	death
keyword	bald
keyword	bootleg liquor
keyword	strong language
keyword	winchester rifle
keyword	shooting
keyword	repeating rifle
keyword	african american
keyword	crop duster
keyword	bloopers during credits
keyword	racist
keyword	prison farm
keyword	bootlegger
keyword	1990s
keyword	prison
keyword	friendship
keyword	affection
keyword	racial injustice
keyword	bully
keyword	friendship between men
keyword	black humor
keyword	bootlegging
keyword	black american
keyword	jail time
keyword	poker
keyword	f word
keyword	prison escape
keyword	segregation
keyword	wasted life
keyword	african americans
keyword	baseball
keyword	prison fight
keyword	violence
keyword	prison sentence
keyword	obesity
keyword	pie
keyword	bully comeuppance
keyword	1930s
keyword	southern u.s.
keyword	held at gunpoint
keyword	depression
keyword	jail
keyword	comeuppance
keyword	comic violence
keyword	escape attempt
keyword	pump action shotgun
keyword	prison cell
keyword	surprise ending
cast	Eddie Murphy	Rayford Gibson
cast	Martin Lawrence	Claude Banks
cast	Obba Babatundé	Willie Long
cast	Nick Cassavetes	Sergeant Dillard
cast	Anthony Anderson	Cookie
cast	Barry Shabaka Henley	Pokerface
cast	Brent Jennings	Hoppin' Bob
cast	Bernie Mac	Jangle Leg
cast	Miguel A. Núñez Jr.	Biscuit
cast	Michael Taliferro	Goldmouth
cast	Guy Torry	Radio
cast	Bokeem Woodbine	Can't Get Right
cast	Ned Beatty	Dexter Wilkins
cast	Lisa Nicole Carson	Sylvia
cast	O'Neal Compton	Superintendant Abernathy
cast	Noah Emmerich	Stan Blocker
cast	Rick James	Spanky Johnson
cast	Clarence Williams III	Winston Hancock
cast	Heavy D	Jake
cast	Bonz Malone	Leon
cast	Ned Vaughn	Young Sheriff Pike
cast	R. Lee Ermey	Older Sheriff Pike
cast	Sanaa Lathan	Daisy
cast	Allyson Call	Young Mae Rose Abernathy
cast	Poppy Montgomery	Older Mae Rose Abernathy
cast	James D. Brubaker	Judge E.M. Byrne
cast	Walter K. Jordan	Slim
cast	Brooks Almy	Billy's Mama
cast	Hal Havins	Billy
cast	Hildy Brooks	Nurse Doherty
cast	Kenn Whitaker	Isaac
cast	Ernie Lee Banks	Bathroom Attendant
cast	David Alexander	Doctor
cast	Johnny Brown	Blind Reverend Clay
cast	Armelia McQueen	Mrs. Clay
cast	Nate Evans	Juke Bartender
cast	Todd Everett	Deputy at Mansion
cast	Don Harvey	Billy Bob
cast	Venus DeMilo	Juke Joint Waitress
cast	Zaid Farid	Shady Cardplayer
cast	Keith Burke	Shady Cardplayer
cast	Kenneth White	Deputy
cast	Leonard O. Turner	Superintendant Burke
cast	Augie Blunt	Man in Prison
cast	Quantae Love	Trustee at Line
cast	Sean Lampkin	Trustee at Line
cast	James Emory Jr.	Goldmouth's Son
cast	Bill Gratton	Fire Inspector
cast	Reamy Hall	Mrs. Dillard
cast	George Hartmann	Prison Guard
cast	Zack Helvey	Captain Tom Burnette
cast	Haskell V. Anderson III	Junkie
cast	Kimble Jemison	Gang Banger
cast	Jordan Mahome	Gang Banger
cast	William S. Taylor	Bagman
cast	Jay Arlen Jones	Bagman
cast	Oscar Jordan	Juke Joint Guitarist
cast	Jordan Lund	Funeral Chaplain
cast	Ronald Moss	Bouncer
cast	Betty Murphy	Mrs. Abernathy
cast	Walter Powell	Waiter
cast	Christophe Prévost	Pilot
cast	Dawn Robinson	Club Crooner
cast	Leon Sanders	Barkeeper
cast	Steve Boyles	Mule Cart Driver
cast	Muhammad Ali	Himself
cast	Jimi Hendrix	Himself
cast	Martin Luther King	Himself
cast	Elvis Presley	Himself
cast	Shayne Benton	Farm Boy
cast	Sydney 'Big Dawg' Colston	Henchman #2
cast	Bridget Morrow	Cocktail Waitress
cast	Leon Turner	Arm That Went Up
