year	1976
imdb score	6.8
meta score	N/A
genre	Action
genre	Adventure
genre	Sci-Fi
keyword	runner
keyword	sanctuary
keyword	computer
keyword	domed city
keyword	escape
keyword	sandman
keyword	dome
keyword	carousel
keyword	on the run
keyword	crystal
keyword	friend
keyword	washington d.c.
keyword	future
keyword	23rd century
keyword	ritual
keyword	ankh
keyword	population control
keyword	fight for freedom
keyword	group of children
keyword	lizard
keyword	belief in the afterlife
keyword	torture
keyword	growing old
keyword	undercover mission
keyword	killer robot
keyword	captive
keyword	ruins
keyword	ice sculpture
keyword	old man
keyword	attempted escape
keyword	swimming pool
keyword	falling from height
keyword	cat
keyword	laser
keyword	dead woman
keyword	2200s
keyword	utopia
keyword	grave
keyword	decadence
keyword	secret mission
keyword	ritual killing
keyword	automation
keyword	getting older
keyword	reference to t.s. eliot
keyword	chase
keyword	youth
keyword	lincoln memorial
keyword	death
keyword	brief female frontal nudity
keyword	bra less
keyword	man hunt
keyword	machine intelligence
keyword	baby
keyword	nudity
keyword	science
keyword	clock
keyword	cult film
keyword	reincarnation
keyword	gun
keyword	hunt
keyword	water tank
keyword	totalitarianism
keyword	foot chase
keyword	breasts
keyword	explosion
keyword	washington monument
keyword	cosmetic surgery
keyword	mini skirt
keyword	dead man
keyword	dystopia
keyword	murder
keyword	surveillance
keyword	police officer
keyword	buttocks
keyword	hunter
keyword	destruction
keyword	religion
keyword	female rear nudity
keyword	graveyard
keyword	discrimination
keyword	utopia quest
keyword	girl
keyword	will
keyword	death ray
keyword	woman shot
keyword	nude swimming
keyword	turning thirty
keyword	post apocalypse
keyword	teleportation
keyword	brawl
keyword	laser beam
keyword	loss of memory
keyword	custom
keyword	exterminator
keyword	freedom
keyword	reference to abraham lincoln
keyword	underwater
keyword	friendship gone bad
keyword	applause
keyword	fear
keyword	rite
keyword	disillusionment
keyword	dying
keyword	future shock
keyword	covert
keyword	female nudity
keyword	boy
keyword	skinny dipping
keyword	casual sex
keyword	frozen in ice
keyword	male nudity
keyword	library
keyword	u.s. capitol building
keyword	it was only a cat
keyword	killing
keyword	hologram
keyword	ice cave
keyword	woods
keyword	painting
keyword	dead woman on floor
keyword	cemetery
keyword	male rear nudity
keyword	old age
keyword	burial
keyword	robot
keyword	key
keyword	orgy
keyword	plastic surgery
keyword	oppression
keyword	ice
keyword	beach
keyword	artificial intelligence
keyword	lying about one's age
keyword	frozen body
keyword	statue
keyword	futuristic city
keyword	dying in someone's arms
keyword	mind reading
keyword	refusing sex
keyword	book
keyword	death of friend
keyword	based on novel
keyword	character name in title
keyword	
cast	Michael York	Logan
cast	Richard Jordan	Francis
cast	Jenny Agutter	Jessica
cast	Roscoe Lee Browne	Box
cast	Farrah Fawcett	Holly
cast	Michael Anderson Jr.	Doc
cast	Peter Ustinov	Old Man
cast	Randolph Roberts	2nd Sanctuary Man
cast	Lara Lindsay	The Woman Runner
cast	Gary Morgan	Billy
cast	Michelle Stacy	Mary 2
cast	Laura Hippe	Woman Customer
cast	David Westberg	Sandman
cast	Camilla Carr	Sanctuary Woman
cast	Greg Lewis	Cub
cast	Ashley Cox	Timid Girl
cast	Bill Couch	Sandman
cast	Glenn R. Wilder	Runner
cast	Joe L. Blevins	Last Day Character
cast	Roger Borden	Sandman Daniel
cast	Paula Crist	City Dweller
cast	Dick DeCoit	
cast	Chuck Gaylord	Cub
cast	Mitchell Gaylord	Cub
cast	Johnny Haymer	
cast	William E. Johnson III	Extra
cast	Richard Kelton	Sanctuary Man
cast	Jessie Kirby	Confused City Dweller
cast	Greg Michaels	3rd Sanctuary Man / Ambush Man
cast	Bob Neill	1st Sanctuary Man
cast	Candice Rialson	1st Screamer in Logan's Apartment
cast	Johnny Timko	
