year	2012
imdb score	7.5
meta score	84
genre	Action
genre	Crime
genre	Sci-Fi
genre	Thriller
keyword	criminal
keyword	future
keyword	farm
keyword	kansas
keyword	chase
keyword	year 2074
keyword	year 2044
keyword	30 years
keyword	gold bar
keyword	floor safe
keyword	diner
keyword	wisp of smoke
keyword	topless female nudity
keyword	self mutilation
keyword	social commentary
keyword	2040s
keyword	younger version of character
keyword	dead wife
keyword	secret tunnel
keyword	stripper
keyword	motorcycle
keyword	american abroad
keyword	interracial marriage
keyword	grenade
keyword	critically acclaimed
keyword	ethics
keyword	morality
keyword	lens flare
keyword	tent
keyword	dismemberment
keyword	severed foot
keyword	death of protagonist
keyword	assassin
keyword	shot through a window
keyword	shot in the leg
keyword	falling on a car
keyword	title spoken by narrator
keyword	obscene finger gesture
keyword	death of wife
keyword	remington 870 shotgun
keyword	bound and gagged
keyword	supernatural power
keyword	thong
keyword	woman slaps a man
keyword	wedding ring
keyword	pickup truck
keyword	slow motion scene
keyword	drug addict
keyword	starts with narration
keyword	strip club
keyword	sunset
keyword	boy
keyword	misfire
keyword	rifle
keyword	shooting a woman
keyword	torture
keyword	cyberpunk
keyword	camera shot of feet
keyword	hand drawn map
keyword	organized crime
keyword	dystopia
keyword	dual wield
keyword	shotgun loaded with rock salt
keyword	wood chopping
keyword	murder
keyword	revenge
keyword	shot in the back
keyword	gold
keyword	blood
keyword	single mother
keyword	urban decay
keyword	voice over narration
keyword	shotgun
keyword	child in peril
keyword	starts with a murder
keyword	body landing on a car
keyword	subtitled scene
keyword	character repeating someone else's dialogue
keyword	cigarette smoking
keyword	retirement
keyword	drug addiction
keyword	blood splatter
keyword	death
keyword	killer child
keyword	flashback
keyword	dead woman with eyes open
keyword	severed nose
keyword	held at gunpoint
keyword	hit with a hammer
keyword	map
keyword	night cityscape
keyword	bag over head
keyword	disposing of a dead body
keyword	gore
keyword	dirt road
keyword	axe
keyword	interracial kiss
keyword	shot in the forehead
keyword	murder of a child
