year	2005
imdb score	7.6
meta score	62
genre	Crime
genre	Drama
genre	Thriller
keyword	arms dealer
keyword	1980s
keyword	warlord
keyword	interpol
keyword	gunrunner
keyword	immigrant
keyword	cold war
keyword	submachine gun
keyword	dream girl
keyword	honor
keyword	breaking the fourth wall
keyword	anti hero
keyword	assembly line
keyword	cocaine
keyword	machine gun
keyword	bullet point of view
keyword	lion skin
keyword	satire
keyword	bare breasts
keyword	box office flop
keyword	grenade
keyword	bus ride
keyword	ammunition belt
keyword	kitchen
keyword	shipping container
keyword	factory
keyword	hallucination
keyword	new york skyline
keyword	bullet time
keyword	platitude
keyword	quality inspection
keyword	slow motion scene
keyword	american flag
keyword	champagne
keyword	soccer
keyword	berlin arms fair
keyword	death
keyword	shot in the forehead
keyword	bullet
keyword	shot to death
keyword	husband wife relationship
keyword	shot in the back
keyword	city in ruins
keyword	executive jet
keyword	tank
keyword	cynic
keyword	infidelity
keyword	snorricam
keyword	helicopter
keyword	loss of brother
keyword	uzi
keyword	calla lily
keyword	finger gun
keyword	armored personnel carrier
keyword	telescope
keyword	hand grenade
keyword	dutch flag
keyword	drug trip
keyword	convoluted plan
keyword	liberia
keyword	mp 5 machine gun
keyword	prostitute
keyword	wedding party
keyword	beach resort
keyword	talking to the camera
keyword	africa
keyword	pistol
keyword	new york city
keyword	m 60 machine gun
keyword	shower
keyword	firing squad
keyword	loss of son
keyword	loss of wife
keyword	jfk international airport queens new york city
keyword	supermodel
keyword	trophy wife
keyword	organized crime
keyword	drug lord
keyword	ak 47
keyword	tuxedo
keyword	random violence
keyword	rivalry
keyword	coyote
keyword	russian national anthem
keyword	little odessa brooklyn new york city
keyword	knife held to someone's throat
keyword	united nations mission
keyword	tragic event
keyword	bikini
keyword	exploding car
keyword	st barts
keyword	betrayal
keyword	archive footage
keyword	judaism
keyword	alternate identity
keyword	beirut lebanon
keyword	1990s
keyword	snorting cocaine
keyword	m 16
keyword	odessa ukraine
keyword	sierra leone
keyword	vodka
keyword	manrovia liberia
keyword	woman on top
keyword	brother brother relationship
keyword	machete
keyword	anti villain
keyword	shot in the shoulder
keyword	chandelier
keyword	shot in the belly
keyword	false passport
keyword	brown brown
keyword	drug rehab
keyword	t 72 tank
keyword	interrogation
keyword	desert
keyword	execution
keyword	shot in the leg
keyword	shot multiple times
keyword	atf agent
keyword	counter intelligence
keyword	airplane
keyword	bunker
keyword	plastic gun
keyword	cigar smoking
keyword	dictator
keyword	shot in the chest
keyword	liberian flag
keyword	panamian flag
keyword	sex standing up
keyword	pack of money
keyword	mi 24 hind helicopter
keyword	car explosion
keyword	hyena
keyword	evil man
keyword	male bonding
keyword	goodbye
keyword	blood diamonds
keyword	missing limb
keyword	limousine
keyword	2000s
keyword	conversion to judaism
keyword	convoy
keyword	antonov an 12 cargo plane
keyword	assassination attempt
keyword	star of david
keyword	nickname
