year	2003
imdb score	7.8
meta score	89
genre	Drama
keyword	photographer
keyword	meet
keyword	commercial
keyword	marriage
keyword	hotel
keyword	bar
keyword	japan
keyword	american abroad
keyword	japanese
keyword	yale
keyword	actor
keyword	surprise after end credits
keyword	airplane
keyword	reference to joey bishop
keyword	tuxedo
keyword	call girl
keyword	upskirt
keyword	culture clash
keyword	prostitute
keyword	female frontal nudity
keyword	wig
keyword	language barrier
keyword	urban setting
keyword	culture shock
keyword	one night stand
keyword	airhead
keyword	swimming
keyword	james bond spoof scene
keyword	nudity
keyword	height
keyword	billboard
keyword	east west
keyword	film star
keyword	college graduate
keyword	panties
keyword	reference to the rat pack
keyword	pool
keyword	city traffic
keyword	hooker
keyword	shrine
keyword	wheelchair
keyword	whispering
keyword	x ray
keyword	alienation
keyword	strip club
keyword	karaoke
keyword	female rear nudity
keyword	train
keyword	mini skirt
keyword	fatigue
keyword	world weariness
keyword	housewife
keyword	television commercial
keyword	limousine
keyword	ennui
keyword	reference to sean connery
keyword	actress
keyword	bathtub
keyword	restaurant
keyword	arcade game
keyword	isolation
keyword	thong
keyword	girl in panties
keyword	bare butt
keyword	stripper
keyword	underwear
keyword	lounge singer
keyword	translation
keyword	yale university
keyword	scantily clad female
keyword	disorientation
keyword	loneliness
keyword	party
keyword	director
keyword	video arcade
keyword	foot injury
keyword	see through panties
keyword	may december romance
keyword	breasts
keyword	hotel room
keyword	nylons
keyword	three word title
keyword	fish out of water
keyword	talk show host
keyword	temple
keyword	reflection
keyword	press conference
keyword	exotic dancing
keyword	fax machine
keyword	stockings
keyword	jet lag
keyword	kyoto japan
keyword	erotic dancing
keyword	long distance call
keyword	hospital
keyword	sauna
keyword	swimming pool
keyword	television broadcasting
keyword	nude girl
keyword	bb gun
keyword	elevator
keyword	exotic dancer
keyword	older man younger woman relationship
keyword	pink panties
keyword	travel
keyword	orient
keyword	arcade
keyword	topless female nudity
keyword	insomnia
keyword	female nudity
keyword	adultery
keyword	public nudity
keyword	bride
keyword	reference to dean martin
keyword	oriental
keyword	fictional talk show
keyword	whiskey
keyword	business trip
keyword	agent
keyword	bare breasts
keyword	advertisement
keyword	boredom
keyword	reference to roger moore
keyword	tokyo japan
keyword	scotch whisky
keyword	midlife crisis
keyword	cleavage
keyword	title directed by female
keyword	nude
keyword	tv show in film
keyword	shower
keyword	pachinko
keyword	husband wife relationship
keyword	advertising
keyword	satire
keyword	independent film
cast	Scarlett Johansson	Charlotte
cast	Bill Murray	Bob Harris
cast	Akiko Takeshita	Ms. Kawasaki
cast	Kazuyoshi Minamimagoe	Press Agent
cast	Kazuko Shibata	Press Agent
cast	Take	Press Agent
cast	Ryuichiro Baba	Concierge
cast	Akira Yamaguchi	Bellboy
cast	Catherine Lambert	Jazz Singer
cast	François du Bois	Sausalito Piano
cast	Tim Leffman	Sausalito Guitar
cast	Gregory Pekar	American Businessman #1
cast	Richard Allen	American Businessman #2
cast	Giovanni Ribisi	John
cast	Daiamondo Yukai	Commercial Director
cast	Jun Maki	Suntory Client
cast	Nao Asuka	Premium Fantasy Woman
cast	Tetsuro Naka	Stills Photographer
cast	Kanako Nakazato	Make-Up Person
cast	Fumihiro Hayashi	Charlie
cast	Hiroko Kawasaki	Hiroko
cast	Daikon	Bambie
cast	Anna Faris	Kelly
cast	Asuka Shimuzu	Kelly's Translator
cast	Ikuko Takahashi	Ikebana Instructor
cast	Koichi Tanaka	Bartender, NY Bar
cast	Hugo Codaro	Aerobics Instructor
cast	Akiko Monô	P Chan
cast	Akimitsu Naruyama	French Japanese Nightclub Patron
cast	Hiroshi Kawashima	Bartender, Nightclub
cast	Hiromi Toshikawa	Hiromix
cast	Nobuhiko Kitamura	Nobu
cast	Nao Kitman	Nao
cast	Akira	Hans
cast	Kunichi Nomura	Kun
cast	Yasuhiko Hattori	Charlie's Friend
cast	Shigekazu Aida	Mr. Valentine
cast	Kazuo Yamada	Hospital Receptionist
cast	Akira Motomura	Old Man
cast	Osamu Shigematu	Doctor
cast	Takashi Fujii	TV Host
cast	Kei Takyo	TV Translator
cast	Ryo Kondo	Politician
cast	Yumi Ikeda	Politician's Aide
cast	Yumika Saki	Politician's Aide
cast	Yuji Okabe	Politician's Aide
cast	Dietrich Bollmann	German Hotel Guest
cast	Georg O.P. Eschert	German Hotel Guest
cast	Mark Willms	Carl West
cast	Lisle Wilkerson	Sexy Businesswoman
cast	Nancy Steiner	Lydia Harris
