year	2010
imdb score	6.8
meta score	60
genre	Action
genre	Crime
genre	Thriller
keyword	machete
keyword	senator
keyword	set up
keyword	revenge
keyword	federale
keyword	mexican
keyword	texas
keyword	immigration
keyword	mexico
keyword	bullet
keyword	rescue
keyword	border fence
keyword	resistance fighter
keyword	on the run
keyword	resistance
keyword	priest
keyword	vigilante
keyword	sniper
keyword	showdown
keyword	shot through a window
keyword	hispanic woman murdered
keyword	frame up
keyword	police officer
keyword	flack vest
keyword	hand to hand combat
keyword	topless female nudity
keyword	one man army
keyword	killed with high heeled shoe
keyword	bomb
keyword	title at the end
keyword	sword fight
keyword	hand through chest
keyword	corpse
keyword	strangulation
keyword	thrown from a car
keyword	bare breasts
keyword	killer
keyword	death of pregnant woman
keyword	newspaper clipping
keyword	policewoman
keyword	lowrider
keyword	explosion
keyword	aikido
keyword	shooting a police officer
keyword	car crash
keyword	cult film
keyword	illegal immigrant
keyword	premarital sex
keyword	decapitation
keyword	intestines
keyword	cell phone
keyword	weed whacker
keyword	hit by a car
keyword	title appears in writing
keyword	american citizenship
keyword	government agent
keyword	stabbed in the crotch
keyword	nurse
keyword	cowboy hat
keyword	lighting cigar
keyword	camcorder
keyword	assassination attempt
keyword	bare knuckle fighting
keyword	parking garage
keyword	head cut in half
keyword	videotaped sex
keyword	knife in the head
keyword	warrior
keyword	mingun mounted on motorcycle
keyword	hedge clippers
keyword	fistfight
keyword	sniper rifle
keyword	stabbed in the head
keyword	female warrior
keyword	green card
keyword	rooftop
keyword	hired killer
keyword	photograph
keyword	surveillance
keyword	killed in car
keyword	body landing on a car
keyword	internet feed
keyword	silencer
keyword	shot in the chest
keyword	wilhelm scream
keyword	female agent
keyword	character repeating someone else's dialogue
keyword	propaganda
keyword	tough girl
keyword	black humor
keyword	suitcase of money
keyword	surveillance camera
keyword	bound hand and foot
keyword	limousine
keyword	revolver
keyword	female assassin
keyword	time bomb
keyword	corruption
keyword	murder of a pregnant woman
keyword	shot at the camera
keyword	stabbed in the back
keyword	media coverage
keyword	knife throwing
keyword	father daughter relationship
keyword	uzi
keyword	shooting a pregnant woman
keyword	female murderer
keyword	news reporter
keyword	fugitive
keyword	betting
keyword	confession
keyword	kidnapping
keyword	death of wife
keyword	tough guy
keyword	home invasion
keyword	fight
keyword	chauffeured limousine
keyword	shot in the forehead
keyword	katana
keyword	exploding car
keyword	extreme closeup
keyword	ethnic slur
keyword	threatened with a knife
keyword	fake kidnapping
keyword	two on a motorcycle
keyword	bulletproof vest
keyword	machine gun
keyword	death of brother
keyword	corrupt official
keyword	u.s. mexico border
keyword	brother brother relationship
keyword	punched in the chest
keyword	car accident
keyword	camera
keyword	flamethrower
keyword	pregnant woman murdered
keyword	compact disc
keyword	axe
keyword	pistol
keyword	cross
keyword	chop shop
keyword	meat cleaver
keyword	35 mm camera
keyword	masked intruder
keyword	racism
keyword	sardonic
keyword	older man younger woman relationship
keyword	stabbed in the mouth
keyword	hitman
keyword	female rear nudity
keyword	hands tied
keyword	female nudity
keyword	stabbed in the face
keyword	shot in the head
keyword	stabbed in the hand
keyword	blood
keyword	stabbed in the eye
keyword	hidden camera
keyword	sex in a pool
keyword	drug overdose
keyword	model
keyword	spin off
keyword	duct tape over mouth
keyword	social commentary
keyword	poetic justice
keyword	walkie talkie
keyword	kitchen
keyword	police corruption
keyword	exploitation film
keyword	flashback
keyword	murder
keyword	exploding house
keyword	nude woman murdered
keyword	punched in the face
keyword	throat slitting
keyword	anti hero
keyword	sword
keyword	repeated line
keyword	arrest
keyword	gunshot wound
keyword	mexican food
keyword	murdered priest
keyword	crushed by a car
keyword	electric fence
keyword	murder of wife
keyword	corrupt businessman
keyword	drug addict
keyword	stabbing a police officer
keyword	latin woman murdered
keyword	partner
keyword	immigration agent
keyword	blood splatter
keyword	bad taste humour
keyword	desecrating a church
keyword	split screen
keyword	bus stop
keyword	egg
keyword	reverse footage
keyword	nudity
keyword	day laborer
keyword	severed hand
keyword	bodyguard
keyword	murder of a police officer
keyword	hummer
keyword	taco
keyword	sadist
keyword	text message
keyword	disguise
keyword	kicked in the stomach
keyword	nailed to a cross
keyword	swimming pool
keyword	stabbed to death
keyword	scalpel
keyword	house explosion
keyword	man with glasses
keyword	press conference
keyword	police vigilantism
keyword	strangle
keyword	rifle
keyword	text messaging
keyword	grindhouse
keyword	threesome
keyword	news report
keyword	flame thrower
keyword	laundromat
keyword	cell phone
keyword	minigun
keyword	cigarette smoking
keyword	2000s
keyword	immigration officer
keyword	motorcycle
keyword	bare butt
keyword	improvised weapon
keyword	evil man
keyword	nun's habit
keyword	maid
keyword	food truck
keyword	escape
keyword	over the top
keyword	disembowelment
keyword	eye patch
keyword	fast motion scene
keyword	shot in the back
keyword	freeze frame
keyword	homage
keyword	sexy nurse
keyword	black comedy
keyword	bare chested male
keyword	ambulance
keyword	skinny dipping
keyword	henchman
keyword	shootout in a church
keyword	laptop
keyword	shot in the face
keyword	stealing a car
keyword	broken arm
keyword	shot to death
keyword	personal vendetta
keyword	mother daughter relationship
keyword	scene before opening credits
keyword	betrayal
keyword	construction site
keyword	knife
keyword	shotgun
keyword	spoof
keyword	tattoo
keyword	impalement
keyword	held at gunpoint
keyword	drunkenness
keyword	corkscrew
keyword	vomit
keyword	interrogation
keyword	mansion
keyword	drawing
keyword	katana sword
keyword	pickaxe
keyword	violence
keyword	church
keyword	bound and gagged
keyword	filmed killing
keyword	shot in the knee
keyword	investigation
keyword	rocket launcher
keyword	electrocution
keyword	political corruption
keyword	battlefield
keyword	explosive
keyword	carjacking
keyword	stabbed in the arm
keyword	doctor
keyword	carrying someone
keyword	butt
keyword	gash in the face
keyword	nail gun
keyword	hara kiri
keyword	desert
keyword	shootout
keyword	hospital
keyword	gore
keyword	handcuffs
keyword	psychopath
keyword	female frontal nudity
keyword	shot in the eye
keyword	shot in the arm
keyword	security guard
keyword	female full frontal nudity
keyword	femme fatale
keyword	shower
keyword	racial slur
keyword	hearse
keyword	one word title
keyword	falling from height
keyword	arsenal
keyword	contract killer
keyword	lunch wagon
keyword	stabbed in the shoulder
keyword	taxi
keyword	corpse falling on car
keyword	impersonating a police officer
keyword	object in vagina
keyword	kicked in the face
keyword	tortured to death
keyword	covered in blood
keyword	flash forward
keyword	masked man
keyword	police brutality
keyword	trap
keyword	framed for murder
keyword	firearm pointed at the camera
keyword	security camera
keyword	interracial kiss
keyword	body count
keyword	slow motion scene
keyword	stopped by police
keyword	battle
keyword	gunfight
keyword	gardner
keyword	female fighter
keyword	machismo
keyword	supply and demand
keyword	martial arts
keyword	crucifix
keyword	socialite
keyword	cockroach
keyword	blood
keyword	stabbed in the leg
keyword	crucifixion
keyword	racist
keyword	husband wife relationship
keyword	exploitation
keyword	cigar smoking
keyword	jumping through a window
keyword	gatling gun
keyword	stabbed in the forehead
keyword	sequel mentioned during end credits
keyword	knife in the chest
keyword	hostage
keyword	death of partner
keyword	double cross
keyword	webcam
keyword	drug lord
keyword	chase
keyword	latino stereotype
keyword	severed head
keyword	assassination
keyword	assassin
keyword	crushed to death
keyword	corrupt cop
keyword	interracial sex
keyword	shot in the leg
keyword	subtitled scene
keyword	mexican immigrant
keyword	undercover agent
keyword	action hero
keyword	deception
keyword	shot in the shoulder
keyword	torture
keyword	rocket
keyword	undercover
keyword	campaign commercial
keyword	barbed wire fence
keyword	police officer shot in the chest
keyword	immigrant
keyword	stabbed in the chest
keyword	sawed off shotgun
keyword	death of father
keyword	character name in title
keyword	title spoken by character
cast	Danny Trejo	Machete Cortez
cast	Robert De Niro	Senator John McLaughlin
cast	Jessica Alba	Sartana
cast	Steven Seagal	Rogelio Torrez
cast	Michelle Rodriguez	Luz
cast	Jeff Fahey	Michael Booth
cast	Cheech Marin	Padre
cast	Don Johnson	Von Jackson
cast	Shea Whigham	Sniper
cast	Lindsay Lohan	April
cast	Daryl Sabara	Julio
cast	Gilbert Trejo	Jorge
cast	Ara Celi	Reporter
cast	Tom Savini	Osiris Amanpour
cast	Billy Blair	Von's Henchman
cast	Felix Sabates	Doc Felix
cast	Electra Avellan	Nurse Mona
cast	Elise Avellan	Nurse Lisa
cast	Marci Madison	Nurse Fine
cast	Vic Trevino	Federale Officer
cast	Mayra Leal	Chica
cast	Alejandro Antonio	Chief
cast	Juan Gabriel Pareja	Rico
cast	Alicia Rachel Marek	June
cast	Jason Douglas	Patrolman #1
cast	Mitchell Lance Adams	Patrolman #2
cast	Brent Smiga	Sniper's Henchman
cast	Chris Warner	Hospital Security Guard
cast	Jim Henry	Guard
cast	Tina Rodriguez	Tristana
cast	Roland Ruiz	Luis
cast	Greg Ingram	Cristos
cast	Tito Larriva	Culebra Cruzado
cast	Cheryl Chin	Torrez's Henchwoman
cast	Hugo Perez	Driver
cast	Nina Leon	Machete's Wife
cast	Doran Ingram	Billy's Henchman
cast	James Brownlee	Henchman
cast	Nimród Antal	Booth's Bodyguard #1
cast	Alcides Dias	Bodyguard #2
cast	Dimitrius Pulido	Bodyguard #3
cast	Scott Jefferies	Bodyguard #4
cast	Edgar Arreola	Dishwasher #1
cast	Tommy Nix	Dishwasher #2
cast	Rose McGowan	Boots McCoy
cast	Corina Calderon	Poolside girl
cast	Joseph Campos	
cast	JenelleRae Cardenas	Mexican Protestor
cast	D.J. Castillo	Day Laborer
cast	Martina Griffin	Protester
cast	Stacy Keach	Doc Franklin
cast	James Parks	Edgar McGraw
cast	Michael Patrick	Mulisha Man
cast	Jaime De La Rosa	EMT
cast	Cory Scarborough	Mumble
cast	Mary Skaggs	Hairdresser to Senator McLaughlin
cast	Scott A. Stevens	Senator McLaughlin Supporter
cast	Gary Teague	Militia Member
cast	Matthew Tompkins	Guard #2
