year	2007
imdb score	6.0
meta score	66
genre	Comedy
genre	Drama
keyword	secret
keyword	family secret
keyword	jealousy
keyword	tree
keyword	neighbor
keyword	slacker
keyword	marital problem
keyword	writer
keyword	father daughter relationship
keyword	child abuse
keyword	going home
keyword	ensemble film
keyword	beating
keyword	falling into water
keyword	swim race
keyword	vermont
keyword	hotel
keyword	violence
keyword	backyard barbecue
keyword	divorce
keyword	bare breasts
keyword	female masturbation
keyword	dying dog
keyword	church
keyword	slippers
keyword	chase
keyword	cell phone
keyword	journey
keyword	song
keyword	screaming
keyword	goggles
keyword	backyard
keyword	crying man
keyword	dead pig
keyword	library
keyword	underwater scene
keyword	adultery
keyword	dog
keyword	ferry
keyword	search
keyword	stairway
keyword	storytelling
keyword	manic behavior
keyword	sense of smell
keyword	death of a dog
keyword	dancer
keyword	snooping
keyword	mental retardation
keyword	drinking
keyword	pay phone
keyword	singing
keyword	marriage engagement
keyword	lie
keyword	motel
keyword	insect
keyword	kiss
keyword	shaving
keyword	homophobia
keyword	running
keyword	tears
keyword	lost pet
keyword	pedophilia
keyword	book
keyword	stanford university
keyword	drowning
keyword	cousin cousin relationship
keyword	rescue from drowning
keyword	betrayal
keyword	painter
keyword	dysfunctional family
keyword	apology
keyword	defecation
keyword	climbing a tree
keyword	rescue
keyword	cigarette smoking
keyword	topless female nudity
keyword	stuck in a tree
keyword	missing sister
keyword	tent
keyword	voyeurism
keyword	aunt niece relationship
keyword	author
keyword	marriage
keyword	cancer
keyword	taxi
keyword	liar
keyword	pregnancy
keyword	hike
keyword	trust
keyword	sibling rivalry
keyword	pet
keyword	injured animal
keyword	marriage proposal
keyword	husband wife relationship
keyword	mirror
keyword	aunt nephew relationship
keyword	mother daughter relationship
keyword	injection
keyword	white wine
keyword	sister sister relationship
keyword	chainsaw
keyword	street celebration
keyword	teenage girl
keyword	gay couple
keyword	dancing
keyword	infidelity
keyword	running after a bus
keyword	gay
keyword	reading
keyword	harvard university
keyword	snoop
keyword	food
keyword	bug
keyword	manicure
keyword	wedding cake
keyword	nudity
keyword	female nudity
keyword	wedding planning
keyword	brother brother relationship
keyword	fiancé fiancée relationship
keyword	spying
keyword	friendship
keyword	eating
keyword	mother son relationship
keyword	ear
keyword	death of a pet
keyword	bathroom
keyword	beach
keyword	fireman
keyword	family reunion
keyword	woods
keyword	swimming
keyword	crying
keyword	tape recording
keyword	love
keyword	gay slur
keyword	attention deficit disorder
keyword	family relationships
keyword	unemployment
keyword	microphone
keyword	family home
keyword	pillow talk
keyword	sunglasses
keyword	pedophile
keyword	sex
keyword	cafe
keyword	cutting down a tree
keyword	unfaithfulness
keyword	dog hit by a car
keyword	recording
keyword	station wagon
keyword	barnard college
keyword	whistling for a dog
keyword	missing pet
keyword	photograph
keyword	biting
keyword	stoned
keyword	father son relationship
keyword	garbage truck
keyword	bug caught in someone's ear
keyword	memory
keyword	lost dog
keyword	extramarital affair
keyword	autism
keyword	peeping tom
keyword	deodorant
keyword	brother in law sister in law relationship
keyword	pajamas
keyword	masturbation
keyword	bracelet
keyword	rape
keyword	falling tree
keyword	lawn croquet
keyword	earwig
keyword	bookstore
keyword	silent scene
keyword	mustache
keyword	car accident
keyword	confession
keyword	celebration
keyword	second marriage
keyword	listening to music
keyword	letter writing
keyword	earphones
keyword	bare butt
keyword	face slap
keyword	borderline personality disorder
keyword	male nudity
keyword	confrontation
keyword	wedding dress
keyword	mutt
keyword	swimming hole
keyword	artist
keyword	fence
keyword	wedding
keyword	bus
keyword	mental illness
keyword	musician
keyword	singer
keyword	drink
keyword	dysfunctional marriage
keyword	pursuit
keyword	polaroid
keyword	restaurant
keyword	failed brakes
keyword	sitting in a tree
keyword	homosexual
keyword	irreverence
keyword	voyeur
keyword	telephone call
keyword	friend
keyword	kicking
keyword	child's point of view
keyword	train
keyword	guitar
keyword	missing dog
keyword	urination
keyword	ladder
keyword	underwear
keyword	teenage boy
keyword	book signing
keyword	character name in title
cast	Zane Pais	Claude
cast	Susan Blackwell	Woman on Train
cast	Nicole Kidman	Margot
cast	Jack Black	Malcolm
cast	Flora Cross	Ingrid
cast	Jennifer Jason Leigh	Pauline
cast	Seth Barrish	Toby
cast	Matthew Arkin	Alan
cast	Brian Kelley	Bruce
cast	Christian Hansen	Fireman
cast	Michael Cullen	Mr. Vogler
cast	Enid Graham	Mrs. Vogler
cast	Sophie Nyweide	Vogler Daughter
cast	Justin Roth	Vogler Son
cast	Ciarán Hinds	Dick Koosman
cast	Halley Feiffer	Maisy Koosman
cast	Jonathan Schwartz	Malcolm's Friend
cast	John Turturro	Jim
cast	Lisa Emery	Woman with Dog
cast	Michael Medeiros	Karaoke Singer
cast	Ashlie Atkinson	Becky
cast	Alexander Emmet	Hot Guy / Bar Couple
cast	Chuck Gerena	Man in Bar / Street
cast	Tyler Kelley	Orphanage Kid #2
