year	1987
imdb score	7.1
meta score	83
genre	Comedy
genre	Drama
genre	Romance
keyword	love
keyword	brother
keyword	bookkeeper
keyword	opera
keyword	marriage
keyword	bakery
keyword	proposal
keyword	italian opera
keyword	funeral home
keyword	adultery
keyword	reference to adam and eve
keyword	mother daughter relationship
keyword	face slap
keyword	husband wife relationship
keyword	fiancee
keyword	widow
keyword	engagement
keyword	self discovery
keyword	opposites attract
keyword	slice of life
keyword	1980s
keyword	brooklyn new york city
keyword	one word title
keyword	love triangle
keyword	italian american
keyword	espresso
keyword	new york skyline
keyword	water thrown in face
keyword	dysfunctional family
keyword	twin towers
keyword	moon
keyword	extramarital affair
keyword	artificial hand
keyword	battle of the sexes
keyword	female protagonist
keyword	chick flick
keyword	marriage proposal
keyword	italian
keyword	afi
keyword	transformation
keyword	rough sex
keyword	new york city
keyword	family relationships
keyword	blockbuster
keyword	father daughter relationship
keyword	hair salon
keyword	superstition
keyword	italian restaurant
cast	Cher	Loretta Castorini
cast	Nicolas Cage	Ronny Cammareri
cast	Vincent Gardenia	Cosmo Castorini
cast	Olympia Dukakis	Rose Castorini
cast	Danny Aiello	Mr. Johnny Cammareri
cast	Julie Bovasso	Rita Cappomaggi
cast	John Mahoney	Perry
cast	Louis Guss	Raymond Cappomaggi
cast	Feodor Chaliapin Jr.	Old Man
cast	Anita Gillette	Mona
cast	Leonardo Cimino	Felix
cast	Paula Trueman	Lucy
cast	Nada Despotovich	Chrissy
cast	Joe Grifasi	Shy Waiter
cast	Gina DeAngeles	Old Crone
cast	Robin Bartlett	Barbara
cast	Helen Hanft	Lotte
cast	David S. Howard	Irv
cast	Robert Weil	Bobo
cast	Amy Aquino	Bonnie
cast	Tony Azito	Conti
cast	Frank Gio	Florist
cast	Ann McDonough	Nancy
cast	John Christopher Jones	Lowell
cast	Lisa Howard	Patricia
cast	Cynthia Dale	Sheila
cast	Anthony Messuri	Priest
cast	Martha Collins	Mimi
cast	John Fanning	Rodolfo
cast	Antonia Minella	Vesta
cast	Nicholas Pasco	Eddie
cast	Al Therrien	Bob
cast	Lou Pitoscia	Mook
cast	Gilberto Godoy	Rocco
cast	Louis Di Bianco	Jimmy
cast	Betti Orsatti	Woman in Hair Salon
cast	Michael Barbaro	Pietro
cast	Antonio Pariselli	Franco
cast	Corrado Gianna	Old Man
cast	Tommy Hollis	Parking Attendant
cast	Matt Myers	Cab Driver
cast	Michael Dunster	P.A. Announcer
cast	Stella Bruno	Old Woman
cast	Mimi Cecchini	Old Woman
cast	Mimi Lizio	Ruby
cast	Tim Koetting	Al
cast	Gerard Flannery	Harvey
cast	Robert Payson	Man at Bar
cast	Catherine Scorsese	Customer at Bakery
cast	Jack K. Tsirakis	Bar Patron
cast	David Giardina	Opera Patron
cast	Cathy Ladman	Beautician in hair salon
cast	Peter Austin Noto	Opera Patron
cast	Helen Proimos	Opera Patron
