year	2001
imdb score	8.0
meta score	81
genre	Crime
genre	Drama
genre	Mystery
genre	Thriller
keyword	dream
keyword	amnesia
keyword	los angeles california
keyword	actress
keyword	car crash
keyword	conspiracy
keyword	california
keyword	box
keyword	car accident
keyword	director
keyword	flophouse
keyword	starlet
keyword	cigarette smoking
keyword	corral
keyword	spilled paint
keyword	jitterbug
keyword	attempted murder
keyword	panties
keyword	contradictory accounts
keyword	spurned woman
keyword	movie star
keyword	telephone call
keyword	nonlinear timeline
keyword	microphone
keyword	lip synching
keyword	old california
keyword	black book
keyword	paint
keyword	cowboy costume
keyword	innocence
keyword	airtight room
keyword	photograph
keyword	broken cup
keyword	shot through wall
keyword	actress playing multiple roles
keyword	deliberate cruelty
keyword	red dress
keyword	film set
keyword	duality
keyword	mental illness
keyword	upskirt
keyword	double
keyword	man with glasses
keyword	light bulb
keyword	hallucination
keyword	movie director
keyword	death
keyword	mental instability
keyword	nipples visible through clothing
keyword	shot with gun
keyword	limousine
keyword	bullet hole
keyword	disfigured face
keyword	corpse
keyword	telephone
keyword	acting audition
keyword	shot in the chest
keyword	name tag
keyword	shot in the butt
keyword	mother
keyword	homeless man
keyword	dancer
keyword	punctuation in title
keyword	vintage clothing
keyword	female tears
keyword	woman crying
keyword	blonde
keyword	dead body in bed
keyword	vacuum cleaner
keyword	actor's life
keyword	distorted telephone call
keyword	shot in the head
keyword	experimental film
keyword	lighting someone's cigarette
keyword	infidelity
keyword	son
keyword	homosexual
keyword	hollywood california
keyword	hostile takeover
keyword	nightclub
keyword	tragic event
keyword	schizophrenic
keyword	bare breasts
keyword	secret club
keyword	gardener
keyword	guilt
keyword	canadian
keyword	scared to death
keyword	cult film
keyword	audition
keyword	golf club
keyword	casting agent
keyword	espresso
keyword	hollywood star
keyword	stage magician
keyword	surrealism
keyword	broken windshield
keyword	borderline personality disorder
keyword	murder
keyword	hitman
keyword	lighting a cigarette
keyword	red curtain
keyword	aunt
keyword	casting
keyword	strong sexual content
keyword	disorder
keyword	based on dream
keyword	frustration
keyword	shot to death
keyword	taxi
keyword	mob
keyword	suicide by gunshot
keyword	headshot
keyword	lesbian
keyword	kangaroo
keyword	engagement
keyword	filmmaking
keyword	lesbian sex
keyword	grandparent
keyword	tv series pilot
keyword	lesbianism
keyword	detective
keyword	cowboy hat
keyword	garbage dumpster
keyword	enigma
keyword	unfaithful wife
keyword	suicide
keyword	emptiness
keyword	no panties
keyword	mysterious woman
keyword	female nudity
keyword	spurned female
keyword	aerial photography
keyword	avant garde
keyword	airport
keyword	identity swap
keyword	doo wop
keyword	jealousy
keyword	color symbolism
keyword	woman in jeopardy
keyword	divorce
keyword	neo noir
keyword	gunshot wound
keyword	niece
keyword	crying
keyword	mafia don
keyword	movie actress
keyword	period in title
keyword	ghost
keyword	female masturbation
keyword	cowboy
keyword	street in title
keyword	doppelganger
keyword	choke hold
keyword	dead body
keyword	nightmare
keyword	gun
keyword	lesbian kiss
keyword	pistol
keyword	homosexual love
keyword	mafia
keyword	key
keyword	deception
keyword	landlady
keyword	bag of money
keyword	bisexual
keyword	visual hallucination
keyword	loss of memory
keyword	mysterious object
keyword	violence
keyword	cheap hotel
keyword	regret
keyword	cheerfulness
keyword	behind the scenes
keyword	filmmaking
keyword	waitress
keyword	two women in bed
keyword	diner
keyword	2000s
keyword	extramarital affair
keyword	nudity
keyword	pool cleaner
keyword	hollywood glamour
keyword	full circle
keyword	optimist
keyword	show business
keyword	broken dish
keyword	film extra
keyword	hollywood party
keyword	dwarf
keyword	showbiz
keyword	little black book
keyword	independent film
keyword	title spoken by character
keyword	surprise ending
keyword	
cast	Naomi Watts	Betty Elms / Diane Selwyn
cast	Laura Harring	Rita
cast	Ann Miller	Catherine 'Coco' Lenoix
cast	Dan Hedaya	Vincenzo Castigliane
cast	Justin Theroux	Adam Kesher
cast	Brent Briscoe	Detective Neal Domgaard
cast	Robert Forster	Detective Harry McKnight
cast	Katharine Towne	Cynthia Jenzen
cast	Lee Grant	Louise Bonner
cast	Scott Coffey	Wilkins
cast	Billy Ray Cyrus	Gene
cast	Chad Everett	Jimmy Katz
cast	Rita Taggart	Linney James
cast	James Karen	Wally Brown
cast	Lori Heuring	Lorraine Kesher
cast	Angelo Badalamenti	Luigi Castigliani
cast	Michael Des Barres	Billy Deznutz
cast	Marcus Graham	Vincent Darby
cast	Missy Crider	Waitress at Winkies
cast	Robert Katims	Ray Hott
cast	Jeanne Bates	Irene
cast	Dan Birnbaum	Irene's Companion at Airport
cast	Randall Wulff	Limo Driver
cast	Maya Bond	Ruth Elms
cast	Patrick Fischler	Dan
cast	Michael Cooke	Herb
cast	Bonnie Aarons	Bum
cast	Michael J. Anderson	Mr. Roque
cast	Joseph Kearney	Roque's Manservant
cast	Enrique Buelna	Back of Head Man
cast	Richard Mead	Hairy-Armed Man
cast	Sean Everett	Cab Driver at LAX
cast	Daniel Rey	Valet Attendant
cast	David Schroeder	Robert Smith
cast	Tom Morris	Espresso Man
cast	Melissa George	Camilla Rhodes
cast	Mo Gallini	Castigliane Limo Driver
cast	Mark Pellegrino	Joe Messing
cast	Vincent Castellanos	Ed
cast	Diane Nelson	Heavy-Set Woman killed By Messing
cast	Charles Croughwell	Vacuum Man killed By Messing
cast	Rena Riffel	Laney
cast	Tad Horino	Taka
cast	Tony Longo	Kenny
cast	Geno Silva	Cookie Park Hotel Manager / Club Silencio M.C.
cast	Monty Montgomery	Cowboy
cast	Kate Forster	Martha Johnson
cast	Wayne Grace	Bob Brooker
cast	Michele Hicks	Nicki Pelazza
cast	Lisa K. Ferguson	Julie Chadwick
cast	William Ostrander	2nd Assistant Director
cast	Elizabeth Lackey	Carol
cast	Brian Beacock	Backup Singer #1
cast	Blake Lindsley	Backup Singer #2
cast	Adrien Curry	Backup Singer #3
cast	Tyrah M. Lindsey	Backup Singer #4
cast	Michael D. Weatherred	Hank
cast	Michael Fairman	Jason
cast	Johanna Stein	Woman in #12
cast	Richard Green	Bondar
cast	Conte Candoli	Club Silencio Trumpet Player
cast	Cori Glazer	Blue-Haired Lady in balcony seat at Club Silencio
cast	Rebekah Del Rio	Herself
cast	Lyssie Powell	Blond in Bed
cast	Kimberly Clever	Dancer
cast	Joshua Collazo	Dancer
cast	David Frutos	Dancer
cast	Peter Loggins	Dancer
cast	Theresa Salazar	Dancer
cast	Thea Samuels	Dancer
cast	Christian Thompson	Dancer
cast	Jehshua Barnes	Young Actor
cast	Elina Madison	Starlet
cast	Marc Kenneth Robinson	Police officer
cast	Samantha Schacher	Teenager
cast	Desi Singh	First Cab Driver
