year	1975
imdb score	7.8
meta score	N/A
genre	Drama
genre	Music
keyword	reporter
keyword	candidate
keyword	assassination
keyword	female nudity
keyword	deafness
keyword	nashville tennessee
keyword	car accident
keyword	singer
keyword	ripped pantyhose
keyword	tennessee
keyword	striptease
keyword	sex
keyword	deaf child
keyword	adultery
keyword	title appears in text
keyword	financial problem
keyword	multiple storyline
keyword	gospel music
keyword	country music
keyword	ensemble cast
keyword	tragedy
keyword	politics
keyword	critically acclaimed
keyword	sign language
keyword	car racing
keyword	one word title
keyword	title spoken by character
keyword	
cast	David Arkin	Norman
cast	Barbara Baxley	Lady Pearl
cast	Ned Beatty	Delbert Reese
cast	Karen Black	Connie White
cast	Ronee Blakley	Barbara Jean
cast	Timothy Brown	Tommy Brown
cast	Keith Carradine	Tom Frank
cast	Geraldine Chaplin	Opal
cast	Robert DoQui	Wade
cast	Shelley Duvall	L. A. Joan
cast	Allen Garfield	Barnett
cast	Henry Gibson	Haven Hamilton
cast	Scott Glenn	Pfc. Glenn Kelly
cast	Jeff Goldblum	Tricycle Man
cast	Barbara Harris	Albuquerque
cast	David Hayward	Kenny Fraiser
cast	Michael Murphy	John Triplette
cast	Allan F. Nicholls	Bill
cast	Dave Peel	Bud Hamilton
cast	Cristina Raines	Mary
cast	Bert Remsen	Star
cast	Lily Tomlin	Linnea Reese
cast	Gwen Welles	Sueleen Gay
cast	Keenan Wynn	Mr. Green
cast	James Dan Calvert	Jimmy Reese
cast	Donna Denton	Donna Reese
cast	Merle Kilgore	Trout
cast	Carol McGinnis	Jewel
cast	Sheila Bailey	Smokey Mountain Laurel
cast	Patti Bryant	Smokey Mountain Laurel
cast	Richard Baskin	Frog
cast	Jonnie Barnett	Himself
cast	Vassar Clements	Himself
cast	Misty Mountain Boys	Themselves
cast	Sue Barton	Herself
cast	Elliott Gould	Himself
cast	Julie Christie	Herself
cast	Steve Earle	Concert-goer
cast	Maysie Hoy	Maysie Hoy
cast	Bill Jenkins	Announcer at Airfield
cast	Thomas Hal Phillips	Hal Phillip Walker
cast	Patrick Reynolds	Grand Ole Opry Performer
cast	Gailard Sartain	Man at Lunch Counter
cast	Howard K. Smith	Howard K. Smith
cast	Joan Tewkesbury	Tom's Lover / Kenny's Mother
