year	1995
imdb score	6.3
meta score	N/A
genre	Crime
genre	Drama
genre	Thriller
keyword	governor
keyword	accountant
keyword	hotel
keyword	conspiracy
keyword	time
keyword	van
keyword	speech
keyword	husband wife relationship
keyword	shot in the stomach
keyword	partial deafness
keyword	bar
keyword	paranoia
keyword	obsession
keyword	tension
keyword	pistol
keyword	child in peril
keyword	lobbyist
keyword	kidnapping
keyword	electrocution
keyword	raised middle finger
keyword	pistol whip
keyword	punched in the face
keyword	blackmail
keyword	train station
keyword	innocent person killed
keyword	cold blooded murder
keyword	physical abuse
keyword	deeply disturbed person
keyword	widower
keyword	race against time
keyword	beating
keyword	taunting
keyword	wristwatch
keyword	psycho killer
keyword	thrown off a balcony
keyword	falling from height
keyword	mysterious villain
keyword	escape attempt
keyword	cat and mouse
keyword	father daughter relationship
keyword	hostage
keyword	silencer
keyword	real time
keyword	iris shot
keyword	elevator
keyword	murderer duo
keyword	female victim
keyword	nervousness
keyword	impersonating a police officer
keyword	shot in the chest
keyword	prosthetic limb
keyword	vietnam war veteran
keyword	coercion
keyword	strangulation
keyword	deranged
keyword	disposing of a dead body
keyword	conservatism
keyword	menace
keyword	news footage
keyword	fantasy sequence
keyword	walkie talkie
keyword	held at gunpoint
keyword	mercilessness
keyword	intimidation
keyword	abduction
keyword	balloon
keyword	newsman
keyword	betrayal
keyword	envelope
keyword	one day
keyword	character repeating someone else's dialogue
keyword	campaign
keyword	shot in the back
keyword	shootout
keyword	shot in the leg
keyword	duel
keyword	psychopath
keyword	violence
keyword	carrot
keyword	los angeles california
keyword	captive
keyword	fountain
keyword	vomit
keyword	psychological torture
keyword	video camera
keyword	shot to death
keyword	sociopath
keyword	man with glasses
keyword	mysterious stranger
keyword	bellboy
keyword	hors d'oeuvres
keyword	taking law into own hands
keyword	killing spree
keyword	shoeshine boy
keyword	jack daniels
keyword	loss of loved one
keyword	female psychopath
keyword	blood spatter
keyword	psycho thriller
keyword	ripping a telephone from the wall
keyword	plan gone wrong
keyword	murder
keyword	knocked out
keyword	suspense
keyword	ethnic slur
keyword	assassination
keyword	temper
keyword	corpse
keyword	psychotic
keyword	neo noir
keyword	maniac
keyword	skater
keyword	obscene finger gesture
keyword	mexican standoff
keyword	taxi
keyword	shoplifting
keyword	political speech
keyword	metal detector
keyword	bulletproof vest
keyword	dark humor
keyword	foot chase
keyword	clock
keyword	deception
keyword	window cleaner
keyword	hit in the stomach
keyword	punched in the stomach
keyword	falling down stairs
keyword	assassination attempt
keyword	surprise ending
cast	Johnny Depp	Gene Watson
cast	Courtney Chase	Lynn Watson
cast	Charles S. Dutton	Huey
cast	Christopher Walken	Mr. Smith
cast	Roma Maffia	Ms. Jones
cast	Marsha Mason	Gov. Eleanor Grant
cast	Peter Strauss	Brendan Grant
cast	Gloria Reuben	Krista Brooks
cast	Bill Smitrovich	Officer Trust
cast	G.D. Spradlin	Mystery Man
cast	Yul Vazquez	Gustino
cast	Edith Diaz	Irene
cast	Armando Ortega	Hector
cast	C.J. Bau	Mixologist
cast	Cynthena Sanders	Beverage Server
cast	Dana Mackey	Transport Reception Manager
cast	Chris Jacobs	Comestible Server
cast	Charles Carroll	Sanitation Engineer
cast	Miguel Nájera	Franco
cast	Jerry Tondo	Chief Aide
cast	Lance Hunter Voorhees	Weapons Security
cast	John Azevedo Jr.	Security Associate
cast	Lance August	Personal Security
cast	Peter Mackenzie	JBN Reporter
cast	Rick Zieff	JBN Videographer
cast	Tom Bradley	Himself
cast	Michael Chong	Asian Man
cast	Cynthia Noritake	Asian Woman
cast	Holly Kuespert	Physically Attractive Woman
cast	Pamela Dunlap	Centerpiece Poacher
cast	Jan Speck	Rally Orienter
cast	Tom Lawrence	Personal Waste Facility User
cast	Robert Buckingham	Illegal Security Access Carrier
cast	Clark Johnson	Hackney Transportist
cast	Antony Sandoval	Un Homme
cast	Isabel García Lorca	Une Femme
cast	Nicole Mancera	Una Niña
cast	Yolanda Gonzáles	Su Madre
cast	Antonette Saftler	Mrs. Wentzel
cast	Teddy Beeler	Union Station Security
cast	Alison Stuart	Verbally Abusive Spouse
cast	Bobby DeLeon	Romeo
cast	Ray Uhler	Reporter
