year	2009
imdb score	6.4
meta score	34
genre	Action
genre	Crime
genre	Thriller
keyword	ninja
keyword	clan
keyword	revenge
keyword	assassin
keyword	murder
keyword	europol agent
keyword	death
keyword	bloodshed
keyword	falling from height
keyword	gold watch
keyword	death of husband
keyword	escape
keyword	thrown through a wall
keyword	dismemberment
keyword	blood and guts
keyword	carnage
keyword	training
keyword	fight to the death
keyword	surveillance
keyword	gun battle
keyword	slow motion scene
keyword	siren
keyword	flashback
keyword	foot chase
keyword	police officer beheaded
keyword	ninja training
keyword	f word
keyword	stabbed in the back
keyword	cigarette smoking
keyword	gun fu
keyword	severed hand
keyword	police officer stabbed in the chest
keyword	subordination
keyword	fistfight
keyword	kendo
keyword	slow motion scene
keyword	sword
keyword	head cut in half
keyword	bullet ballet
keyword	shot in the back
keyword	torso cut in half
keyword	decapitation
keyword	bloody footprint
keyword	police car
keyword	pain
keyword	female assassin
keyword	shot in the chest
keyword	blood
keyword	stabbed in the head
keyword	hit by a car
keyword	laptop computer
keyword	dextrocardia
keyword	martial arts
keyword	sand
keyword	gun action
keyword	heartbeat
keyword	goreshed
keyword	beaten to death
keyword	shot to death
keyword	severed arm
keyword	orphan
keyword	healing
keyword	tattoo
keyword	police officer
keyword	loss of loved one
keyword	katana
keyword	gash in the face
keyword	self mutilation
keyword	competition
keyword	scent
keyword	brawl
keyword	golden gun
keyword	dual wield
keyword	sliced body
keyword	super speed
keyword	hand cut off
keyword	bloodbath
keyword	beheading
keyword	combat
keyword	berlin germany
keyword	brutality
keyword	head bashed in
keyword	light
keyword	fight
keyword	police officer killed
keyword	police officer strangulated
keyword	arrest
keyword	on the lam
keyword	cruelty
keyword	map
keyword	osaka japan
keyword	covered in blood
keyword	carnage
keyword	scar
keyword	gunfight
keyword	stabbed in the arm
keyword	arm cut off
keyword	police officer stabbed in the leg
keyword	lurking in the shadows
keyword	severed head
keyword	explosion
keyword	ninjitsu
keyword	stabbed to death
keyword	cut hand
keyword	machine gun
keyword	ninja master
keyword	impalement
keyword	swat team
keyword	laundromat
keyword	blood splatter
keyword	sword fight
keyword	exit wound
keyword	police shootout
keyword	watching tv
keyword	severed leg
keyword	tied to a post
keyword	shootout
keyword	gun
keyword	yakuza
keyword	blood
keyword	stabbing
keyword	violence
keyword	video cassette
keyword	pistol
keyword	gangster
keyword	ninja weapon
keyword	bare chested male
keyword	gun kata
keyword	massacre
keyword	gun sau
keyword	fistfight
keyword	diving
keyword	stabbed in the chest
keyword	sword duel
keyword	magic
keyword	dehydration
keyword	investigation
keyword	prisoner
keyword	shower
keyword	supernatural power
keyword	police officer stabbed in the back
keyword	stabbed in the leg
keyword	gore
keyword	punishment
keyword	blindfold
keyword	internal affairs
keyword	gore
keyword	throwing star
keyword	capture
keyword	kung fu
keyword	blood spatter
keyword	shuriken
keyword	martial artist
keyword	stabbed in the neck
keyword	tracking device
keyword	violence
keyword	slaughter
keyword	fugitive
keyword	child abuse
keyword	climbing up a wall
keyword	critically bashed
keyword	rocket launcher
keyword	sword fight
keyword	police officer stabbed
keyword	fear
keyword	shot in the head
keyword	shootout
keyword	rain
keyword	stabbed in the throat
keyword	
cast	Rain	Raizo
cast	Joon Lee	Teenage Raizo
cast	Jonathan Chan-Pensley	Yakuza Henchman
cast	Ill-Young Kim	Yakuza Mohawk
cast	Yuki Iwamoto	Yakuza Couch
cast	Ben Miles	Maslow
cast	Naomie Harris	Mika
cast	Sung Kang	Hollywood
cast	Linh Dan Pham	Pretty Ninja
cast	Fang Yu	Laundromat Manager
cast	Adriana Altaras	Landlady
cast	Shô Kosugi	Ozunu
cast	Kylie Goldstein	Young Kiriko
cast	Sungwoong Yoon	Young Raizo
cast	Eleonore Weisgerber	Mrs. Sabatin
cast	Wladimir Tarasjanz	Aleksei Sabatin
cast	Randall Duk Kim	Tattoo Master
cast	Kai Fung Rieck	Teenage Takeshi
cast	Anna Sawai	Teenage Kiriko
cast	Thorston Manderlay	Agent Zabranski
cast	Richard van Weyden	Battuta
cast	Mina Ghousi	Kid with Envelope
cast	Hans Hohlbein	Mika's Neighbor
cast	Rick Yune	Takeshi
cast	Stephen Marcus	Kingpin
cast	Nhi Ngoc Nguyen-Hermann	Girl on Roof
cast	Guido Föhrweißer	Lead Europol Agent
cast	Tim Williams	Europol Cell Guard
cast	David Leitch	Europol Door Guard
cast	Wolfgang Stegemann	Europol Pointman
cast	Steffen Groth	Europol Guard
cast	Jens Neuhaus	Europol Guard
cast	Patriq Pinheiro	Maslow's Aide
cast	Matthias Schendel	Task Force Agent
cast	Johannes Ahn	Medic
cast	Hoang Dang-Vu	
cast	Paul Leonard	Jamison
cast	Alexander Yassin	Indonesian Shopman - Istanbul
