year	2000
imdb score	6.3
meta score	69
genre	Comedy
genre	Crime
genre	Romance
genre	Thriller
keyword	soap opera
keyword	nurse
keyword	salesman
keyword	hospital
keyword	kansas
keyword	waitress
keyword	obsession
keyword	drugs
keyword	kansas city
keyword	birthday
keyword	murder
keyword	underwear
keyword	shot in the chest
keyword	ambulance
keyword	date
keyword	newspaper headline
keyword	secretary
keyword	shot to death
keyword	nurse cap
keyword	car keys
keyword	post traumatic stress
keyword	stealing a car
keyword	chase
keyword	nurse uniform
keyword	hotel room
keyword	gunshot
keyword	rome italy
keyword	american indian
keyword	pocket knife
keyword	female protagonist
keyword	on the road
keyword	new mexico
keyword	crush
keyword	aquarium
keyword	race relations
keyword	gag
keyword	car accident
keyword	roadtrip
keyword	man crying
keyword	tears
keyword	sincerity
keyword	black comedy
keyword	nervous breakdown
keyword	soap opera star
keyword	bar
keyword	watching tv
keyword	cardboard cut out
keyword	mother daughter relationship
keyword	head nurse
keyword	insanity
keyword	character repeating someone else's dialogue
keyword	tv writer
keyword	crazy woman
keyword	mullet haircut
keyword	death of husband
keyword	shootout
keyword	patient
keyword	hollywood
keyword	recording
keyword	sheriff
keyword	roommate
keyword	infidelity
keyword	duct tape over mouth
keyword	pursuit
keyword	nightmare
keyword	garage
keyword	amnesia
keyword	character says i love you
keyword	friend
keyword	policeman
keyword	actor
keyword	motel room
keyword	motel
keyword	dreamer
keyword	kiss
keyword	deadpan
keyword	fish
keyword	nursing
keyword	lesbian kiss
keyword	heart surgeon
keyword	undershirt
keyword	crying man
keyword	dark comedy
keyword	hallucination
keyword	swimming pool
keyword	death
keyword	eye witness
keyword	arizona
keyword	theft
keyword	obsessed fan
keyword	tied to a chair
keyword	best friend
keyword	tv commercial
keyword	road trip
keyword	drink
keyword	murderer duo
keyword	sexual assault
keyword	highway travel
keyword	celebrity
keyword	formosa cafe hollywood
keyword	briefs
keyword	actress
keyword	thug
keyword	police car
keyword	reference to audrey hepburn
keyword	female bartender
keyword	los angeles california
keyword	critically acclaimed
keyword	blood splatter
keyword	cowboy hat
keyword	first date
keyword	television set
keyword	cafe
keyword	small town
keyword	punched in the face
keyword	father daughter relationship
keyword	mansion
keyword	knife
keyword	nurse costume
keyword	father son relationship
keyword	jealousy
keyword	blood
keyword	crying
keyword	assassin
keyword	tv set
keyword	bowling
keyword	scene of the crime
keyword	dubbing session
keyword	videotaping
keyword	white briefs
keyword	going crazy
keyword	neo noir
keyword	nudity
keyword	television
keyword	restaurant
keyword	birthday cake
keyword	racial slur
keyword	journey
keyword	surgical theatre
keyword	ignorance
keyword	scalp
keyword	birthday card
keyword	doctor
keyword	gun
keyword	shooting
keyword	grand canyon
keyword	thief
keyword	innocence
keyword	drug deal
keyword	violence
keyword	tv camera
keyword	professional killer
keyword	watching a soap opera on tv
keyword	unrequited love
keyword	psychopath
keyword	silver lake california
keyword	loma vista california
keyword	tv show
keyword	operating room
keyword	irreverence
keyword	co worker
keyword	prejudice
keyword	heart specialist
keyword	cupcake
keyword	drinking
keyword	cross country
keyword	dead man
keyword	hitman
keyword	cynicism
keyword	held at gunpoint
keyword	tv producer
keyword	cross country trip
keyword	oklahoma
keyword	used car dealer
keyword	tv studio
keyword	computer
keyword	pistol
keyword	keys
keyword	investigation
keyword	drug use
keyword	trauma
keyword	diner
keyword	woman crying
keyword	suitcase
keyword	therapy
keyword	love
keyword	tape recorder
keyword	reality
keyword	ex fiancee
keyword	mullet
keyword	fictional soap opera
keyword	husband wife relationship
keyword	emmy award
keyword	coffee shop
keyword	reference to david hasselhoff
keyword	cult film
keyword	sex with secretary
keyword	police
keyword	native american
keyword	editorial
keyword	tv soap opera
keyword	psychotic
keyword	record player
keyword	male underwear
keyword	witness
keyword	satire
keyword	tragedy
keyword	robbery
keyword	writer
keyword	silencer
keyword	bartender
keyword	car theft
keyword	stupidity
keyword	lesbian
keyword	crying woman
keyword	friendship
keyword	lawyer
keyword	reporter
keyword	smiling
keyword	sex
keyword	shot in the head
keyword	leaving home
keyword	security guard
keyword	scalping
keyword	telephone call
keyword	wizard of oz
