year	1998
imdb score	7.1
meta score	85
genre	Comedy
genre	Crime
genre	Romance
genre	Thriller
keyword	u.s. marshal
keyword	prison
keyword	escaped convict
keyword	no opening credits
keyword	tied up
keyword	literary adaptation
keyword	pet fish
keyword	fbi
keyword	swat team
keyword	bathtub
keyword	f word
keyword	shot in the head
keyword	checkers
keyword	semiautomatic pistol
keyword	panties
keyword	basketball
keyword	sawed off shotgun
keyword	criminal
keyword	aquarium
keyword	revolver
keyword	carjacking
keyword	1990s
keyword	overhead shot
keyword	kissing while having sex
keyword	wallet
keyword	cigarette lighter
keyword	cross pendant
keyword	jewel thief
keyword	kidnapper kidnapped relationship
keyword	police car
keyword	snow
keyword	prisoner
keyword	upskirt
keyword	opening action scene
keyword	cigar smoking
keyword	prison chapel
keyword	person in a car trunk
keyword	blood
keyword	sunglasses
keyword	jewelry heist
keyword	goatee
keyword	refrigerator
keyword	bank robbery
keyword	one last job
keyword	detroit michigan
keyword	brother sister relationship
keyword	fistfight
keyword	shorts
keyword	long take
keyword	flashlight
keyword	fish
keyword	hotel
keyword	axe
keyword	parking garage
keyword	car trunk
keyword	career criminal
keyword	taxi
keyword	car chase
keyword	lipstick
keyword	purse
keyword	father daughter relationship
keyword	rabbit
keyword	kissing
keyword	cult film
keyword	robbery
keyword	ex boxer
keyword	told in flashback
keyword	miami florida
keyword	love
keyword	hospital
keyword	prison fight
keyword	shootout
keyword	jewel heist
keyword	bedroom
keyword	flashback
keyword	searchlight
keyword	chest
keyword	prison escape
keyword	shot in the leg
keyword	eyeglasses
keyword	kidnapping
keyword	elevator
keyword	perfume
keyword	shot in the back
keyword	undressing
keyword	heist
keyword	boxing match
keyword	bank heist
keyword	love at first sight
keyword	gym
keyword	neo noir
keyword	car accident
keyword	paddy wagon
keyword	policewoman
keyword	boxing
keyword	library
keyword	bra
keyword	diamond
keyword	van
keyword	.45 automatic
keyword	jail break
keyword	sex
keyword	nonlinear timeline
keyword	pistol
keyword	airport
keyword	arrest
keyword	mustache
keyword	shot in the chest
keyword	bound and gagged
keyword	prison guard
keyword	indirect lighting
keyword	love
keyword	mansion
keyword	cadillac
keyword	pump action shotgun
keyword	dream
keyword	decolletage
keyword	machine gun
keyword	shotgun
keyword	safe
keyword	violence
keyword	bar bell
keyword	murder
keyword	handcuffs
keyword	sweatband
keyword	jewel theft
keyword	fish tank
keyword	toupee
keyword	lighter
keyword	ashtray
keyword	caper
keyword	bathrobe
keyword	opposites attract
keyword	diamond theft
keyword	fbi agent
keyword	balaclava
keyword	cigarette smoking
keyword	goldfish
keyword	gentleman thief
keyword	freeze frame
keyword	based on novel
keyword	
cast	George Clooney	Jack Foley
cast	Jennifer Lopez	Karen Sisco
cast	Jim Robinson	Bank Employee
cast	Mike Malone	Bank Customer
cast	Ving Rhames	Buddy Bragg
cast	Don Cheadle	Maurice Miller
cast	Donna Frenzel	Bank Teller
cast	Catherine Keener	Adele
cast	Manny Suárez	Bank Cop
cast	Dennis Farina	Marshall Sisco
cast	Keith Hudson	Bank Cop
cast	Steve Zahn	Glenn Michaels
cast	Albert Brooks	Richard Ripley
cast	Luis Guzmán	Chino
cast	Paul Soileau	Lulu
cast	Isaiah Washington	Kenneth
cast	Scott Allen	Pup
cast	Susan Hatfield	Parking Lot Woman
cast	Brad Martin	White Boxer
cast	James Black	Himey
cast	Wendell B. Harris Jr.	Daniel Burdon
cast	Chuck Castleberry	Library Guard
cast	Chic Daniel	Shock Lock FBI Man
cast	Connie Sawyer	Old Elevator Lady
cast	Philip Perlman	Old Elevator Gent
cast	Keith Loneker	White Boy Bob
cast	Paul Calderon	Raymond Cruz
cast	Gregory Alpert	Officer Grant
cast	Viola Davis	Moselle
cast	Mark Brown	Ripley Personnel
cast	Sandra Ives	Ripley Receptionist
cast	Joe Hess	Ripley Guard
cast	Betsy Monroe	Waitress
cast	Wayne Pére	Philip
cast	Joe Chrest	Andy
cast	Joe Coyle	Third Ad Guy
cast	Nancy Allen	Midge
cast	Stephen M. Horn	Federal Marshal
cast	Oscar A. Diaz	Airport Patron
cast	Jennifer Dorogi	Waitress
cast	Mike Gerzevitz	Xenon Light Guard
cast	Thelma Gutiérrez	Flight Attendant
cast	Samuel L. Jackson	Hejira Henry
cast	Michael Keaton	Ray Nicolette
cast	Pati Lauren	Bank Patron
cast	Rick Michaels	Homicide Detective
cast	Sherrie Peterson	Shopper
cast	Al Quinn	Businessman
cast	Ronnie Stutes	Gas Station Attendant
cast	Dee Tew	Businesswoman
