year	2009
imdb score	6.8
meta score	28
genre	Action
genre	Horror
genre	Mystery
genre	Sci-Fi
genre	Thriller
keyword	mission
keyword	spaceship
keyword	survival
keyword	radio
keyword	box office flop
keyword	stabbed in the chest
keyword	drowning
keyword	hallucination
keyword	ear bleeding
keyword	martial arts
keyword	mutation
keyword	engineer
keyword	knocked out
keyword	paranoia
keyword	fighting with self
keyword	shot in the head
keyword	space
keyword	fish
keyword	corpse
keyword	power surge
keyword	mutant
keyword	spider
keyword	suspense
keyword	held at gunpoint
keyword	killer child
keyword	insanity
keyword	eaten alive
keyword	survival horror
keyword	stabbed in the eye
keyword	decomposing body
keyword	dna
keyword	psycho thriller
keyword	post apocalypse
keyword	planet
keyword	murder
keyword	biology
keyword	destruction of planet
keyword	vent
keyword	cult film
keyword	cult film
keyword	creature
keyword	laser
keyword	gun
keyword	child in peril
keyword	peeling skin
keyword	kicked in the stomach
keyword	hand cut off
keyword	stabbed in the neck
keyword	news report
keyword	stabbed in the head
keyword	nuclear reactor
keyword	babe scientist
keyword	flashlight
keyword	claustrophobia
keyword	gas
keyword	blood splatter
keyword	flood
keyword	gothic
keyword	far future
keyword	bones
keyword	fear
keyword	villain played by lead actor
keyword	severed hand
keyword	noah's ark
keyword	talking to one's self
keyword	self mutilation
keyword	impalement
keyword	punched in the stomach
keyword	incineration
keyword	threatened with a knife
keyword	stabbed to death
keyword	waterfall
keyword	crushed to death
keyword	deception
keyword	glow stick
keyword	pod
keyword	hanging upside down
keyword	exploding body
keyword	sedative
keyword	revelation
keyword	woman punching a man
keyword	blood
keyword	mass murder
keyword	unmanned spaceship
keyword	man punching a woman
keyword	earth
keyword	head blown off
keyword	flashback
keyword	skeleton
keyword	hanged man
keyword	playing god
keyword	punched in the face
keyword	stabbed in the leg
keyword	husband wife relationship
keyword	future
keyword	stabbed in the hand
keyword	cannibalism
keyword	memory
keyword	gore
keyword	biologist
keyword	tattoo
keyword	nosebleed
keyword	foot chase
keyword	chase
keyword	kicked in the head
keyword	bare chested male
keyword	genetics
keyword	31st century
keyword	shaving off one's beard
keyword	end of mankind
keyword	cult film
keyword	outer space
keyword	falling from height
keyword	end of the world
keyword	fight to the death
keyword	spear
keyword	younger version of self
keyword	breaking a mirror
keyword	madness
keyword	falling down a shaft
keyword	short term memory loss
keyword	stabbed in the stomach
keyword	oxygen mask
keyword	cult film
keyword	universe
keyword	younger version of character
keyword	throwing a spear
keyword	food shortage
keyword	pit
keyword	underwater
keyword	hull breach
keyword	throat slitting
keyword	flight crew
keyword	one word title
keyword	looking at one's self in a mirror
keyword	eating an insect
keyword	alien planet
keyword	trap
keyword	independent film
keyword	title spoken by character
keyword	surprise ending
keyword	
cast	Dennis Quaid	Payton
cast	Ben Foster	Bower
cast	Cam Gigandet	Gallo
cast	Antje Traue	Nadia
cast	Cung Le	Manh
cast	Eddie Rouse	Leland
cast	Norman Reedus	Shepard
cast	André Hennicke	Hunter Leader
cast	Friederike Kempter	Evalon
cast	Niels-Bruno Schmidt	Insane Officer 'Eden'
cast	Asia Luna Mohmand	Childhunter
cast	Delphine Chuillot	Young Bower's Mother
cast	Wotan Wilke Möhring	Young Bower's Father
cast	Julian Rappe	Young Bower
cast	Domenico D'Ambrosio	Wounded Officer 'Eden'
cast	Jon Foster	Big Russian Passenger
cast	Jeff Burrell	Trapped Officer 'Eden'
cast	Neelesha BaVora	Female Crew Officer
cast	Yangzom Brauen	2nd Lieutenant
cast	Albrecht Marco	Hunter Weasel
cast	Dawid Szatarski	Hunter Shape
cast	Nico Marquardt	Hunter Brute
cast	Don Jeanes	Mateo
cast	David P. Johnson	Cooper
cast	Virginia Welch	Lucy
