logline	Pearl Harbor follows the story of two best friends, Rafe and Danny, and their love lives as they go off to join the war.
tagline	It takes a moment to change history. It takes love to change lives.
tagline	December 7, 1941 - It Was A Sunday Morning...
tagline	December 7, 1941 - A Surprise Attack That Changed Their Lives Forever
tagline	It was the end of innocence, and the dawn of a nation's greatest glory.
tagline	December 7, 1941 - A day that shall live in infamy
tagline	Experience the event that changed the world.
tagline	Man the Guns - Join the Fight[WWII Retro Poster]
tagline	Nurses Are Needed Now! To Have and to Hold![WWII Retro Poster]
tagline	Victory[WWII Retro Poster]
tagline	Buy War Bonds - Keep him flying![WWII Retro Poster]
tagline	December 7, 1941 - The Day America Stood Still!
