year	1993
imdb score	7.7
meta score	66
genre	Drama
keyword	aids
keyword	lawyer
keyword	gay
keyword	homophobia
keyword	gay love
keyword	illness
keyword	dying
keyword	death of lover
keyword	male nurse
keyword	bigotry
keyword	man dancing with man
keyword	courtroom drama
keyword	medical
keyword	male male kiss
keyword	mother son relationship
keyword	trial
keyword	blockbuster
keyword	philadelphia pennsylvania
keyword	dancing
keyword	party
keyword	partner
keyword	dancer
keyword	inspiring story
keyword	gay kiss
keyword	library
keyword	tragic hero
keyword	death of hero
keyword	gay hero
keyword	ends with funeral
keyword	pennsylvania
keyword	hypocrite
keyword	unfair dismissal
keyword	hospital
keyword	human immunodeficiency virus
keyword	gay lead character
keyword	city name in title
keyword	place name in title
keyword	main character dies
keyword	gay interest
keyword	kiss
keyword	home movie
keyword	disease
keyword	gay rights
keyword	terminal illness
keyword	tragic ending
keyword	cult film
keyword	wrongful termination
keyword	homosexual
keyword	one word title
keyword	death of boyfriend
keyword	prejudice
keyword	thinness
keyword	hypocrisy
keyword	tough guy
keyword	gay slur
keyword	costume party
keyword	sexuality
keyword	
cast	Tom Hanks	Andrew Beckett
cast	Denzel Washington	Joe Miller
cast	Roberta Maxwell	Judge Tate
cast	Buzz Kilman	Crutches
cast	Karen Finley	Dr. Gillman
cast	Daniel Chapman	Clinic Storyteller
cast	Mark Sorensen Jr.	Clinic Patient
cast	Jeffrey Williamson	Tyrone
cast	Charles Glenn	Kenneth Killcoyne
cast	Ron Vawter	Bob Seidman
cast	Anna Deavere Smith	Anthea Burton
cast	Stephanie Roth Haberle	Rachel Smilow
cast	Lisa Talerico	Shelby
cast	Joanne Woodward	Sarah Beckett
cast	Jason Robards	Charles Wheeler
cast	Robert Ridgely	Walter Kenton
cast	Chandra Wilson	Chandra
cast	Ford Wheeler	Alan
cast	David Drake	Bruno
cast	Peter Jacobs	Peter / Mona Lisa
cast	Antonio Banderas	Miguel Alvarez
cast	Paul Lazar	Dr. Klenstein
cast	Bradley Whitford	Jamey Collins
cast	Lisa Summerour	Lisa Miller
cast	Freddie Foxxx	Hospital Patient
cast	Paul Moore	Hospital Patient
cast	Warren Miller	Mr. Finley
cast	Lauren Roselli	Iris
cast	Jane Moore	Lydia Glines
cast	Joey Perillo	Filko
cast	Bill Rowe	Dr. Armbruster
cast	Dennis Radesky	Santa Claus
cast	Glen Hartell	Library Guard
cast	Tracey Walter	Librarian
cast	John Ignarri	Young Man in Library
cast	Richard Ehrlich	Young Man in Library
cast	Julius Erving	Himself
cast	Ann Dowd	Jill Beckett
cast	Katie Lintner	Alexis
cast	Peg French	The Bronte Sisters
cast	Ann Howard	The Bronte Sisters
cast	Meghan Tepas	Meghan
cast	John Bedford Lloyd	Matt Beckett
cast	Robert W. Castle	Bud Beckett
cast	Molly Hickok	Molly Beckett
cast	Dan Olmstead	Randy Beckett
cast	Elizabeth Roby	Elizabeth Beckett
cast	Adam LeFevre	Jill's Husband
cast	Gary Goetzman	Guido Paonessa
cast	Daniel von Bargen	Jury Foreman
cast	Melissa Fraser Brown	Juror
cast	Jordan Cael	Juror
cast	Dodie Demme	Juror
cast	Patricia Greenwell	Juror
cast	Donovan Mannato	Juror
cast	Harry Northup	Juror
cast	Steven Scales	Juror
cast	Billy Ray Tyson	Juror
cast	Kenneth Utt	Juror
cast	Steve Vignari	Juror
cast	Lawrence T. Wrentz	Juror
cast	Mary Steenburgen	Belinda Conine
cast	Obba Babatundé	Jerome Green
cast	James B. Howard	Dexter Smith
cast	Charles Techman	Ralph Peterson
cast	Charles Napier	Judge Garnett
cast	Roger Corman	Mr. Laird
cast	Jim Roche	Not Adam and Steve
cast	Donna Hamilton	Angela Medina
cast	Edward Rendell	Himself
cast	Daniel Wolff	Filko's Buddy
cast	John T. O'Connell	Macho Barfly
cast	Edward Kirkland	Cousin Eddie
cast	Tony Fitzpatrick	Bartender
cast	Kathryn Witt	Melissa Benedict
cast	Debra H. Ballard	Court Stenographer
cast	Andre B. Blake	Young Man in Pharmacy
cast	Ira Flitter	Andrew's Friend
cast	Gene Borkan	Bailiff
cast	Jon Arterton	The Flirtations
cast	Michael Callen	The Flirtations
cast	Aurelio Font	The Flirtations
cast	Jimmy Rutland	The Flirtations
cast	Cliff Townsend	The Flirtations
cast	Q. Lazzarus	Party Singer
cast	Lucas Platt	Robert
cast	Jiggs Walker	Punchline
cast	Carmen Mahiques	Miguel's Mom
cast	José Castillo	Miguel's Dad
cast	Leigh Smiley	Younger Sarah Beckett
cast	Philip Joseph 'PJ' McGee	Child Andrew
cast	Robert Breslo	
cast	Valerio Bevilacqua	Hot Dog Stand
cast	Roy Blount Jr.	Partygoer
cast	Bob Bowersox	PR Director
cast	Quentin Crisp	Guest at Party
cast	Tom Detrik	Reporter
cast	Randy Aaron Fink	Emergency Room Doctor
cast	Tak Fujimoto	Doctor
cast	Jaime Gomez	Guy in Library
cast	Cristina Guzman	Teen in Hallway
cast	Ana Leza	Guest
cast	Bonnie Loev	ER Nurse
