year	2006
imdb score	7.3
meta score	53
genre	Action
genre	Adventure
genre	Fantasy
keyword	compass
keyword	pirate
keyword	heart
keyword	chest
keyword	key
keyword	kraken
keyword	governor
keyword	sword fight
keyword	escape
keyword	undead
keyword	island
keyword	rowboat
keyword	eyes pecked out
keyword	steampunk
keyword	father son relationship
keyword	pigsty
keyword	flies
keyword	naval officer
keyword	pendant
keyword	rope bridge
keyword	face slap
keyword	jamaica
keyword	sequel
keyword	male drag
keyword	squid
keyword	blockbuster
keyword	apostrophe in title
keyword	eaten alive
keyword	rescue
keyword	ginger plant
keyword	lifting person in air
keyword	betrayal
keyword	chandelier
keyword	jar
keyword	chasm
keyword	falling from height
keyword	beach
keyword	based on theme park attraction
keyword	pirate ship
keyword	1700s
keyword	dice game
keyword	monster
keyword	explosion
keyword	treasure chest
keyword	peg leg
keyword	scene after end credits
keyword	bird attack
keyword	slow motion
keyword	midget
keyword	drunkenness
keyword	part of trilogy
keyword	arrest
keyword	murder
keyword	blowgun
keyword	organ
keyword	whipping
keyword	swashbuckler
keyword	bell tower
keyword	castaway
keyword	rainstorm
keyword	vomit
keyword	ruins
keyword	dress
keyword	cemetery
keyword	no opening credits
keyword	native tribe
keyword	crab
keyword	death sentence
keyword	cgi
keyword	surprise after end credits
keyword	severed head
keyword	glass eye
keyword	jail
keyword	gambling
keyword	presumed dead
keyword	cliffhanger
keyword	treasure
keyword	seashell
keyword	signet
keyword	slime
keyword	hanging upside down
keyword	sea monster
keyword	rum
keyword	cult figure
keyword	wager
keyword	dreadlocks
keyword	axe
keyword	superstition
keyword	sea captain
keyword	curse
keyword	liar's dice
keyword	bat
keyword	voodoo
keyword	father son reunion
keyword	dice
keyword	slavery
keyword	self sacrifice
keyword	gunpowder
keyword	dog
keyword	music box
keyword	canceled wedding
keyword	skeleton
keyword	ship sinking
keyword	cannon
keyword	bridal gown
keyword	wedding superstition
keyword	capuchin monkey
keyword	cult film
keyword	mace and chain
keyword	theft
keyword	british empire
keyword	cannibalism
keyword	underwater
keyword	altered version of studio logo
keyword	hat
keyword	historical fiction
keyword	dark fantasy
keyword	anti hero
keyword	father daughter relationship
keyword	monkey
keyword	parrot on shoulder
keyword	seven word title
keyword	macguffin
keyword	old flame
keyword	coffin
keyword	tentacle
keyword	macaw
keyword	colon in title
keyword	snake
keyword	double cross
keyword	love triangle
keyword	second part
keyword	water wheel
keyword	chase
keyword	fire
keyword	wilhelm scream
keyword	bone
keyword	east indian company
keyword	telescope
keyword	giant squid
keyword	jealousy
keyword	crow
keyword	flaming sword
keyword	lifting someone into the air
keyword	caribbean
keyword	ghost ship
keyword	cage
keyword	surprise ending
cast	Johnny Depp	Jack Sparrow
cast	Orlando Bloom	Will Turner
cast	Keira Knightley	Elizabeth Swann
cast	Jack Davenport	Norrington
cast	Bill Nighy	Davy Jones
cast	Jonathan Pryce	Governor Weatherby Swann
cast	Lee Arenberg	Pintel
cast	Mackenzie Crook	Ragetti
cast	Kevin McNally	Gibbs
cast	davidbailie	Cotton
cast	Stellan Skarsgård	Bootstrap Bill
cast	Tom Hollander	Cutler Beckett
cast	Naomie Harris	Tia Dalma
cast	Martin Klebba	Marty
cast	David Schofield	Mercer
cast	Alex Norton	Captain Bellamy
cast	Lauren Maher	Scarlett
cast	Nej Adamson	Short Sailor
cast	Jimmy Roussounis	Large Sailor
cast	Moray Treadwell	Sunburned Sailor
cast	San Shella	Leech
cast	Jim Cody Williams	Fisherman - Montage
cast	Michael Miranda	Cannibal Warrior
cast	Luke de Woolfson	Frightened Sailor
cast	Derrick O'Connor	Very Old Man
cast	Georges Trillat	Skinny Man
cast	Israel Oyelumade	Crippled Man
cast	Gerry O'Brien	Irish Man
cast	Dermot Keaney	Maccus - Dutchman
cast	Clive Ashborn	Koleniko - Dutchman
cast	Robbie Gee	Shrimper - Montage
cast	Neil Panlasigui	Cannibal Boy
cast	Matthew Bower	Sailor - Edinburgh
cast	Max Baker	Burser - Edinburgh
cast	Steve Speirs	Quartermaster - Edinburgh
cast	John Boswall	Wyvern
cast	Winston Ellis	Palafico - Dutchman
cast	Christopher Adamson	Jimmy Legs - Dutchman
cast	Andy Beckwith	Clacker - Dutchman
cast	Jonathan Linsley	Ogilvey - Dutchman
cast	Sylver	Shrimper's Brother
cast	Simon Meacock	Chaplain
cast	Natsuko Ohama	Cannibal Woman
cast	Josie Dapar	Cannibal Woman
cast	Vanessa Branch	Giselle
cast	David Sterne	Edinburgh Cook
cast	David Keyes	Scuttled Ship Helmsman
cast	Anthony Patricio	Cannibal
cast	Barry McEvoy	Carruthers Guard
cast	Michael Enright	Deckhand - Edinburgh
cast	Hernando Molina	Sweepy
cast	John Mackie	Turkish Prisoner
cast	Spider Madison	Turkish Prisoner
cast	Bud Mathis	Turkish Prisoner
cast	Marco Khan	Turkish Guard
cast	David Zahedian	Turkish Guard
cast	Faouzi Brahimi	Turkish Guard
cast	Jonathan Limbo	Torch Native
cast	Alex Cong	Native Bridge Guard
cast	Ho-Kwan Tse	Ho-Kwan
cast	Reggie Lee	Headless
cast	LeJon	Lejon
cast	Christopher S. Capp	Parrot
cast	Félix Castro	Moises: Jack's Crew
cast	Mike Haberecht	Kursar - Jack's Crew
cast	Rudolph McCollum	Matelot - Jack's Crew
cast	Gerard J. Reyes	Tearlach - Jack's Crew
cast	M. Scott Shields	Duncan - Jack's Crew
cast	Christopher Sullivan	Ladbroc - Jack's Crew
cast	Craig Thomson	Crimp - Jack's Crew
cast	Fred Toft	Quartetto - Jack's Crew
