year	1968
imdb score	8.0
meta score	N/A
genre	Adventure
genre	Mystery
genre	Sci-Fi
keyword	ape
keyword	planet
keyword	astronaut
keyword	escape
keyword	trial
keyword	future
keyword	brain surgery
keyword	death
keyword	chimpanzee
keyword	friend
keyword	desert
keyword	mute
keyword	scientist
keyword	man forced to strip
keyword	religion
keyword	nude swimming
keyword	search
keyword	holding hands
keyword	attempted escape
keyword	gun
keyword	murder
keyword	villain
keyword	screaming
keyword	first of series
keyword	dystopia
keyword	hiding
keyword	cave
keyword	animal in title
keyword	aunt
keyword	hairy chest
keyword	domination
keyword	paper
keyword	male rear nudity
keyword	bare chested male
keyword	nephew
keyword	tied up
keyword	wound
keyword	post apocalypse
keyword	male nudity
keyword	dead man
keyword	stranded
keyword	dead woman
keyword	cornfield
keyword	chase
keyword	character's point of view camera shot
keyword	shaving
keyword	space exploration
keyword	human in cage
keyword	vivisection
keyword	corpse
keyword	time travel
keyword	friendship
keyword	paper airplane
keyword	map
keyword	doll
keyword	throwing
keyword	crash landing
keyword	ladder
keyword	violence
keyword	heroine
keyword	talking animal
keyword	love
keyword	rescue
keyword	future time travel
keyword	inflatable life raft
keyword	loincloth
keyword	journey
keyword	water
keyword	lifting person in air
keyword	satire
keyword	hero
keyword	loss of friend
keyword	beard
keyword	horse
keyword	stolen clothes
keyword	horse riding
keyword	40th century
keyword	forbidden zone
keyword	space travel
keyword	foreign language adaptation
keyword	lake
keyword	artifact
keyword	scarecrow
keyword	forced to strip
keyword	statue of liberty
keyword	skinny dipping
keyword	lover
keyword	explosion
keyword	basket
keyword	kissing
keyword	lobotomy
keyword	planet of the apes
keyword	earth
keyword	waterfall
keyword	orangutan
keyword	denied to speak
keyword	plant
keyword	laughing
keyword	class differences
keyword	science runs amok
keyword	writing in the sand
keyword	barefoot
keyword	american flag
keyword	cane
keyword	pistol
keyword	beach
keyword	death of woman
keyword	spacecraft
keyword	gorilla
keyword	swimming
keyword	prologue
keyword	sole black character dies cliche
keyword	ape man
keyword	weapon
keyword	cryogenics
keyword	net
keyword	rifle
keyword	flag
keyword	hunter
keyword	fire
keyword	torch
keyword	caged human
keyword	museum
keyword	danger
keyword	shootout
keyword	science
keyword	cult film
keyword	black horse
keyword	captive
keyword	caught in a net
keyword	life raft
keyword	creationism
keyword	hunting
keyword	relative
keyword	racism
keyword	blockbuster
keyword	inflatable boat
keyword	first part
keyword	evolution
keyword	death of friend
keyword	based on book
keyword	based on novel
keyword	surprise ending
keyword	
cast	Charlton Heston	George Taylor
cast	Roddy McDowall	Cornelius
cast	Kim Hunter	Zira
cast	Maurice Evans	Dr. Zaius
cast	James Whitmore	President of the Assembly
cast	James Daly	Honorious
cast	Linda Harrison	Nova
cast	Robert Gunner	Landon
cast	Lou Wagner	Lucius
cast	Woodrow Parfrey	Maximus
cast	Jeff Burton	Dodge
cast	Buck Kartalian	Julius
cast	Norman Burton	Hunt Leader
cast	Wright King	Dr. Galen
cast	Paul Lambert	Minister
cast	Gene O'Donnell	
cast	Army Archerd	Gorilla
cast	James Bacon	Ape
cast	Erlynn Mary Botelho	Gorilla
cast	Priscilla Boyd	Human #1
cast	Eldon Burke	Gorilla
cast	David Chow	Chimpanzee
cast	Billy Curtis	Child Ape
cast	Frank Delfino	Child Ape
cast	Buddy Douglas	Child Ape
cast	Chuck Fisher	Gorilla
cast	William Graeff Jr.	Gorilla
cast	Irvin 'Zabo' Koszewski	Gorilla
cast	Norma Jean Kron	Chimpanzee
cast	Robert Lombardo	Gorilla Photographer
cast	Jerry Maren	Child Ape
cast	Cass Martin	Chimpanzee
cast	Steve Merjanian	Gorilla
cast	Harry Monty	Child Ape
cast	John Michael Quijada	Gorilla
cast	Smokey Roberds	Chimpanzee
cast	Dave Rodgers	Gorilla
cast	Jane Ross	Human
cast	George Sasaki	Chimpanzee
cast	Felix Silla	Child Gorilla
cast	Emory Souza	Child Ape
cast	Dianne Stanley	Astronaut Stewart
cast	Joe Tornatore	Gorilla
