year	1987
imdb score	7.9
meta score	36
genre	Action
genre	Adventure
genre	Sci-Fi
genre	Thriller
keyword	jungle
keyword	cia
keyword	helicopter
keyword	predator
keyword	alien
keyword	hunting
keyword	hunt
keyword	special forces
keyword	prey
keyword	warrior
keyword	central america
keyword	hostage
keyword	terror
keyword	hunter
keyword	guerrilla
keyword	skull
keyword	skinned alive
keyword	death
keyword	green beret
keyword	rainforest
keyword	bare chested male
keyword	gay slur
keyword	shot in the back
keyword	shot in the arm
keyword	binoculars
keyword	snare trap
keyword	general
keyword	corpse
keyword	infra red
keyword	trap
keyword	covert operation
keyword	wild pig
keyword	dog tag
keyword	knife
keyword	map
keyword	lifted by the throat
keyword	timebomb
keyword	red light
keyword	shot in the leg
keyword	slow motion
keyword	1980s
keyword	exploding body
keyword	actor playing multiple roles
keyword	hunting people
keyword	death of title character
keyword	shot in the chest
keyword	lasersight
keyword	dragging a body
keyword	character's point of view camera shot
keyword	flask
keyword	pistol
keyword	spine ripping
keyword	unsubtitled foreign language
keyword	self destruction
keyword	punched in the face
keyword	gore
keyword	chewing tobacco
keyword	characters killed one by one
keyword	infrared vision
keyword	human prey
keyword	killing an animal
keyword	blood on camera lens
keyword	hunted people
keyword	shot to death
keyword	shot in the head
keyword	telling a joke
keyword	exploding helicopter
keyword	tracker
keyword	covered in mud
keyword	shaving
keyword	machine gun
keyword	hole in chest
keyword	person on fire
keyword	male camaraderie
keyword	mine
keyword	snake
keyword	kicking in a door
keyword	fear
keyword	survival horror
keyword	invisibility
keyword	masked villain
keyword	gatling gun
keyword	torch
keyword	grenade launcher
keyword	chase
keyword	hanging upside down
keyword	free fall
keyword	cult film
keyword	disappearance
keyword	explosion
keyword	one word title
keyword	impalement
keyword	native american
keyword	stabbed to death
keyword	human hunted down for sport
keyword	fictional country
keyword	laser gun
keyword	guerilla base
keyword	camouflage
keyword	latin america
keyword	falling from height
keyword	minigun
keyword	box office hit
keyword	spaceship
keyword	murder
keyword	green blood
keyword	trail of blood
keyword	waterfall
keyword	monster
keyword	extraterrestrial
keyword	intestines
keyword	subjective camera
keyword	scene during opening credits
keyword	famous line
keyword	knife throwing
keyword	scorpion
keyword	cigar smoking
keyword	reverse footage
keyword	gothic
keyword	character repeating someone else's dialogue
keyword	bow and arrow
keyword	stabbed in the chest
keyword	arm blown off
keyword	blood splatter
keyword	invisible monster
keyword	trip wire
keyword	human versus alien
keyword	shot in the forehead
keyword	severed arm
keyword	invisibility cloak
keyword	end credits roll call
keyword	foot chase
keyword	most dangerous game
keyword	held at gunpoint
keyword	predator chases prey
keyword	first of series
keyword	shootout
keyword	arm wrestling
keyword	booby trap
keyword	exploding car
keyword	old friend
keyword	boom box
keyword	creature feature
keyword	series
keyword	death of friend
keyword	character name in title
cast	Arnold Schwarzenegger	Dutch
cast	Carl Weathers	Dillon
cast	Elpidia Carrillo	Anna
cast	Bill Duke	Mac
cast	Jesse Ventura	Blain
cast	Sonny Landham	Billy
cast	Richard Chaves	Poncho
cast	R.G. Armstrong	General Phillips
cast	Shane Black	Hawkins
cast	Kevin Peter Hall	The Predator / Helicopter Pilot
cast	Steve Boyum	Hostage Executed by the Russian
cast	William H. Burton	Guerilla Soldier Shot Down from Tree
cast	Peter Cullen	The Predator
cast	Henry Kingi	Guerilla Soldier Blown Up in Van
cast	Sven-Ole Thorsen	Russian Officer
