year	2011
imdb score	5.7
meta score	41
genre	Action
genre	Fantasy
genre	Horror
genre	Sci-Fi
genre	Thriller
keyword	priest
keyword	vampire
keyword	church
keyword	warrior
keyword	sheriff
keyword	disobey
keyword	outpost
keyword	rescue
keyword	hive
keyword	villain
keyword	knife throwing
keyword	chase
keyword	bar
keyword	man with no name
keyword	some scenes animated
keyword	disembowelment
keyword	jail cell
keyword	blood splatter
keyword	train
keyword	riding motorcycle
keyword	train derailment
keyword	carving in bullet
keyword	vampire slayer
keyword	dark past
keyword	gun
keyword	murder
keyword	interrogation
keyword	hand to hand combat
keyword	monolith
keyword	crushed to death
keyword	vigilantism
keyword	subterranean
keyword	death of brother
keyword	cyberpunk
keyword	blade
keyword	desert
keyword	superhero
keyword	hostage
keyword	shootout
keyword	neck breaking
keyword	redemption
keyword	flare
keyword	creature
keyword	tattoo
keyword	anti hero
keyword	confession
keyword	explosion
keyword	nightmare
keyword	killing an animal
keyword	poetic justice
keyword	superhuman speed
keyword	hero
keyword	solar panel
keyword	meat cleaver
keyword	dark hero
keyword	cellar
keyword	british actor playing american character
keyword	female soldier
keyword	presumed dead
keyword	one man army
keyword	shot with an arrow
keyword	farmer
keyword	mutant
keyword	ambush
keyword	justice
keyword	machine gun
keyword	asian woman
keyword	3 dimensional
keyword	no opening credits
keyword	revelation
keyword	quitting a job
keyword	social commentary
keyword	survival
keyword	betrayal
keyword	kicked in the stomach
keyword	stabbed in the shoulder
keyword	gore
keyword	council
keyword	tough girl
keyword	guard
keyword	transformation
keyword	violence
keyword	race against time
keyword	home invasion
keyword	passenger train
keyword	bible
keyword	kung fu
keyword	geiger counter
keyword	torture
keyword	mission
keyword	future
keyword	blood on shirt
keyword	brother brother relationship
keyword	blood
keyword	goggles
keyword	shotgun
keyword	person on fire
keyword	beaten to death
keyword	heavy rain
keyword	coming out of retirement
keyword	dagger
keyword	mass grave
keyword	skull
keyword	cowboy hat
keyword	flashback
keyword	target practice
keyword	christ allegory
keyword	combat
keyword	train explosion
keyword	stylized violence
keyword	stabbed in the leg
keyword	based on graphic novel
keyword	corpse
keyword	world domination
keyword	clergy
keyword	fight on train roof
keyword	kidnapping
keyword	severed head
keyword	future
keyword	damsel in distress
keyword	lightning
keyword	repeated line
keyword	covered in blood
keyword	bare chested male
keyword	cave
keyword	flask
keyword	cross
keyword	darkness
keyword	boyfriend girlfriend relationship
keyword	trapdoor
keyword	small town
keyword	prologue
keyword	cigarette smoking
keyword	voice over narration
keyword	funeral
keyword	falling from height
keyword	fictional war
keyword	decapitation
keyword	husband wife relationship
keyword	ex soldier
keyword	gash in the face
keyword	dynamite
keyword	sand
keyword	tracking device
keyword	animal attack
keyword	crossbow
keyword	vigilante
keyword	gramophone
keyword	jumping through a window
keyword	honor
keyword	tracking
keyword	punched in the chest
keyword	insubordination
