year	1960
imdb score	8.6
meta score	N/A
genre	Horror
genre	Mystery
genre	Thriller
keyword	motel
keyword	money
keyword	shower
keyword	california
keyword	alimony
keyword	phoenix arizona
keyword	rain
keyword	secretary
keyword	private detective
keyword	long take
keyword	missing woman
keyword	corpse
keyword	curtain
keyword	loss of girlfriend
keyword	looking in window
keyword	loss of sister
keyword	dating
keyword	divorce
keyword	bra
keyword	countryside
keyword	broken engagement
keyword	disposing of a dead body
keyword	older woman younger man relationship
keyword	old woman
keyword	psychiatrist
keyword	hidden money
keyword	meeting
keyword	spurned woman
keyword	sheriff
keyword	jealous man
keyword	small town
keyword	looking through a window
keyword	extortion
keyword	gash in the face
keyword	mislaid trust
keyword	director cameo
keyword	stabbed with knife
keyword	breaking the fourth wall
keyword	bathtub
keyword	dead woman with eyes open
keyword	carrying dead body
keyword	villain
keyword	impersonation
keyword	villain arrested
keyword	dead woman on floor
keyword	murder in a shower
keyword	objectified woman
keyword	interview
keyword	psycho next door
keyword	human monster
keyword	bra removing
keyword	bathroom
keyword	black bra
keyword	cult film
keyword	night driving
keyword	stolen money
keyword	threatened with a knife
keyword	stabbing
keyword	peeping tom
keyword	talking to one's self
keyword	voyeur
keyword	basement
keyword	fly
keyword	impostor
keyword	skull
keyword	stairwell
keyword	jail
keyword	theft
keyword	matricide
keyword	taxidermy
keyword	female removes her clothes
keyword	eyeglasses
keyword	mother son relationship
keyword	listening to classical music
keyword	police car
keyword	underwear
keyword	flashback
keyword	role reversal
keyword	phone booth
keyword	photograph
keyword	family relationships
keyword	false accusation of murder
keyword	cleaning up
keyword	famous score
keyword	looking at self in mirror
keyword	hidden corpse
keyword	guilt
keyword	good versus evil
keyword	peep hole
keyword	all knowing psychiatrist
keyword	motel owner
keyword	maniac
keyword	license plate
keyword	cellar
keyword	abandoned house
keyword	psychopath
keyword	voyeurism
keyword	driving in the rain
keyword	driving all night
keyword	nude woman murdered
keyword	highway patrol
keyword	mysterious stranger
keyword	subjective camera
keyword	lifting a female into the air
keyword	old dark house
keyword	posing as married couple
keyword	recluse
keyword	murder weapon
keyword	fade to black
keyword	confronting a murderer
keyword	victim invited to dinner
keyword	swinging light
keyword	sister sister relationship
keyword	following
keyword	blockbuster
keyword	car in water
keyword	used car dealer
keyword	blood
keyword	embezzlement
keyword	bedridden mother
keyword	sweeping floor
keyword	jealous woman
keyword	rural setting
keyword	bath
keyword	naked dead woman
keyword	posing as husband and wife
keyword	famous twist
keyword	stabbed to death
keyword	unrequited love
keyword	bloody corpse
keyword	pressure from mother
keyword	serial killer
keyword	apartment building
keyword	fainting
keyword	suspecting self of murder
keyword	working out
keyword	house of horrors
keyword	murder
keyword	identity crisis
keyword	screaming in fear
keyword	mental illness
keyword	disguise
keyword	scream
keyword	alone in house
keyword	female removes her dress
keyword	homicidal maniac
keyword	female in bra
keyword	toilet
keyword	mistaken identity
keyword	covering a dead body
keyword	stalker
keyword	swamp
keyword	murder in shower
keyword	dead mother
keyword	hearing voices
keyword	death
keyword	widower
keyword	thief
keyword	overhead camera shot
keyword	driving a car
keyword	neon sign
keyword	dissociative identity disorder
keyword	funeral
keyword	witness
keyword	hotel
keyword	rainstorm
keyword	lifting an adult into the air
keyword	bird
keyword	nervous breakdown
keyword	hallucination
keyword	realtor
keyword	deception
keyword	lifting someone into the air
keyword	secret
keyword	friend
keyword	impotence
keyword	trap
keyword	widow
keyword	horror movie remade
keyword	silhouette
keyword	character's point of view camera shot
keyword	woman in bra
keyword	slasher
keyword	death threat
keyword	hatred against mother
keyword	dragging dead body
keyword	domineering mother
keyword	voice over narration
keyword	motel clerk
keyword	stabbed in the chest
keyword	mysterious man
keyword	remade
keyword	unreliable employee
keyword	one word title
keyword	stopped by police
keyword	shower murder
keyword	first of series
keyword	red herring
keyword	policeman
keyword	ambitious woman
keyword	safe sex
keyword	threat to kill
keyword	rotting corpse
keyword	church
keyword	screaming in horror
keyword	split personality
keyword	career woman
keyword	murder suspect
keyword	madman
keyword	based on ed gein
keyword	falling down stairs
keyword	scared by mirror image
keyword	marriage
keyword	sleeping in a car
keyword	female in shower
keyword	wife leaves husband
keyword	slip the undergarment
keyword	bad mother
keyword	famous opening theme
keyword	missing person
keyword	hardware store
keyword	telephone call
keyword	shower curtain
keyword	oedipal complex
keyword	villain played by lead actor
keyword	temptation
keyword	murdered in a shower
keyword	spurned female
keyword	breaking and entering
keyword	shower curtain ring
keyword	undressing
keyword	fruit cellar
keyword	based on novel
keyword	independent film
keyword	surprise ending
keyword	
cast	Anthony Perkins	Norman Bates
cast	Vera Miles	Lila Crane
cast	John Gavin	Sam Loomis
cast	Janet Leigh	Marion Crane
cast	Martin Balsam	Det. Milton Arbogast
cast	John McIntire	Sheriff Al Chambers
cast	Simon Oakland	Dr. Fred Richman
cast	Frank Albertson	Tom Cassidy
cast	Patricia Hitchcock	Caroline
cast	Vaughn Taylor	George Lowery
cast	Lurene Tuttle	Mrs. Chambers
cast	John Anderson	California Charlie
cast	Mort Mills	Highway Patrol Officer
cast	Fletcher Allen	Policeman on Steps
cast	Prudence Beers	Extra
cast	Kit Carson	Extra
cast	Francis De Sales	Deputy District Attorney Alan Deats
cast	George Dockstader	Extra
cast	George Eldredge	Police Chief James Mitchell
cast	Harper Flaherty	Extra
cast	Sam Flint	County Sheriff
cast	Virginia Gregg	Norma Bates
cast	Alfred Hitchcock	Man Outside Real Estate Office
cast	Paul Jasmin	Norma Bates
cast	Lee Kass	Extra
cast	Frank Killmond	Bob Summerfield
cast	Ted Knight	Policeman in Hallway Opening Door
cast	Pat McCaffrie	Police Guard
cast	Jeanette Nolan	Norma Bates
cast	Lillian O'Malley	Extra
cast	Fred Scheiwiller	Extra
cast	Helen Wallace	Hardware Store Customer
