year	2008
imdb score	6.7
meta score	82
genre	Drama
genre	Romance
keyword	friend
keyword	wedding
keyword	maid of honor
keyword	group therapy
keyword	loss of son
keyword	train
keyword	crying baby
keyword	money lending
keyword	grandmother granddaughter relationship
keyword	divorce
keyword	microphone
keyword	intoxication
keyword	12 step program
keyword	hate
keyword	the color lilac
keyword	camera
keyword	death
keyword	tent
keyword	female protagonist
keyword	wedding at home
keyword	giving someone a bath
keyword	sobriety
keyword	giving a toast
keyword	car accident
keyword	grandmother grandson relationship
keyword	speech
keyword	family relationships
keyword	bath
keyword	psychiatry
keyword	reference to hannibal
keyword	bathtub
keyword	topless female nudity
keyword	ambulance
keyword	forgiveness
keyword	mandolin
keyword	beauty salon
keyword	fire
keyword	sister giving a bath to her sister
keyword	kiss
keyword	junkie
keyword	brother sister relationship
keyword	dishwasher
keyword	best friend
keyword	violin
keyword	dysfunctional family
keyword	bridge
keyword	fight
keyword	paranoia
keyword	ice pack
keyword	psychology
keyword	police
keyword	passive aggression
keyword	interracial relationship
keyword	father daughter relationship
keyword	ring
keyword	hysteria
keyword	loss of brother
keyword	reconciliation
keyword	nausea
keyword	husband wife relationship
keyword	ice skating
keyword	drug addict
keyword	divorced parents
keyword	eyeglasses
keyword	black eye
keyword	paramedic
keyword	hawaii
keyword	underwater scene
keyword	chanting
keyword	bra
keyword	urination
keyword	punched in the face
keyword	guilt
keyword	drowning
keyword	jogging
keyword	family reunion
keyword	boy
keyword	liar
keyword	memory
keyword	nurse
keyword	dancer
keyword	guitar
keyword	connecticut
keyword	caboose
keyword	girl
keyword	father son relationship
keyword	bathroom
keyword	drug rehabilitation
keyword	rest and recreation
keyword	video camera
keyword	purposeful car accident
keyword	u.s. soldier
keyword	washing dishes
keyword	washing hair
keyword	love
keyword	stockade
keyword	jazz band
keyword	pregnancy
keyword	interracial marriage
keyword	electric guitar
keyword	dog
keyword	candle
keyword	dancing
keyword	song
keyword	cynicism
keyword	anorexia
keyword	sibling rivalry
keyword	dress
keyword	lie
keyword	drinking
keyword	mother son relationship
keyword	wedding reception
keyword	asian couple
keyword	bare breasts
keyword	drummer
keyword	vomiting
keyword	accidental drowning
keyword	tattoo
keyword	sex
keyword	telephone call
keyword	cigarette smoking
keyword	contest
keyword	park
keyword	sister sister relationship
keyword	stepfather stepdaughter relationship
keyword	drug addiction
keyword	drug abuse
keyword	singer
keyword	food
keyword	friendship
keyword	model
keyword	woman punching a woman
keyword	reference to neil young
keyword	scene during end credits
keyword	lei
keyword	accidental death
keyword	convenience store
keyword	band
keyword	here comes the bride
keyword	atonement
keyword	marriage
keyword	crying
keyword	cell phone
keyword	beautician
keyword	trumpet
keyword	teaching someone how to drive
keyword	singing
keyword	bride
keyword	girl fight
keyword	reference to barry manilow
keyword	shaving one's armpit
keyword	passing out in a bathtub
keyword	wedding vow
keyword	death of brother
keyword	thief
keyword	bicycle
keyword	sex standing up
keyword	theft
keyword	policeman
keyword	musician
keyword	black american
keyword	storytelling
keyword	tears
keyword	addicts anonymous
keyword	apology
keyword	helium tank
keyword	search
keyword	french kiss
keyword	sitting on a toilet
keyword	violinist
keyword	saxophone player
keyword	accidental fire
keyword	running
keyword	vicodin
keyword	kitchen
keyword	eating
keyword	blame
keyword	watching through a window
keyword	mother in law son in law relationship
keyword	stepmother stepdaughter relationship
keyword	driving off a bridge
keyword	car seat
keyword	neighbor
keyword	drink
keyword	mental illness
keyword	winter olympics
keyword	military leave
keyword	illness
keyword	drums
keyword	learning to drive
keyword	rain
keyword	barbecue
keyword	wedding rehearsal dinner
keyword	face slap
keyword	stoned
keyword	groom
