year	1980
imdb score	8.3
meta score	92
genre	Biography
genre	Drama
genre	Sport
keyword	jealousy
keyword	paranoia
keyword	boxing
keyword	violence
keyword	boxer
keyword	rage
keyword	hotel
keyword	monologue
keyword	ice
keyword	marriage
keyword	snorricam
keyword	talking to one's self in a mirror
keyword	hematoma
keyword	troubled marriage
keyword	nagging wife
keyword	washed up star
keyword	boxing gym
keyword	punch
keyword	wedding
keyword	character study
keyword	endurance
keyword	ethnic slur
keyword	self hatred
keyword	miami florida
keyword	championship belt
keyword	broken nose
keyword	woman beater
keyword	price of fame
keyword	sports man
keyword	backstage
keyword	rise and fall
keyword	male slaps male
keyword	blood
keyword	fight
keyword	hit in the face
keyword	1940s
keyword	coach
keyword	hit with a car door
keyword	statutory rape
keyword	rampage
keyword	mirror
keyword	bar
keyword	italian american
keyword	blood
keyword	brother in law sister in law relationship
keyword	marriage crisis
keyword	underage girls
keyword	racial slur
keyword	1960s
keyword	anger
keyword	sadness
keyword	cigar smoking
keyword	competition
keyword	black eye
keyword	slow motion scene
keyword	brother brother relationship
keyword	champion
keyword	jail
keyword	stand up comedy
keyword	redemption
keyword	parking garage
keyword	bum
keyword	comedian
keyword	restaurant
keyword	hot temper
keyword	fist
keyword	dysfunctional family
keyword	confrontation
keyword	arena
keyword	face slap
keyword	drunkenness
keyword	solitary confinement
keyword	flashback
keyword	freeze frame
keyword	dysfunctional marriage
keyword	telephone
keyword	madison square garden manhattan new york city
keyword	bronx new york city
keyword	black & white to color
keyword	stage show
keyword	wrath
keyword	brawl
keyword	1950s
keyword	husband wife relationship
keyword	detroit michigan
keyword	police
keyword	brutality
keyword	arrest
keyword	photographer
keyword	fixed fight
keyword	divorce
keyword	color element in black and white film
keyword	sweat
keyword	boyfriend girlfriend relationship
keyword	chicago illinois
keyword	fistfight
keyword	animal in title
keyword	slap
keyword	based on autobiography
keyword	wife beater
keyword	decadence
keyword	big brother
keyword	cleveland ohio
keyword	tough guy
keyword	self destructiveness
keyword	home movie
keyword	man punching a woman
keyword	nightclub
keyword	underage drinking
keyword	pride
keyword	phone booth
keyword	overweight
keyword	abusive husband
keyword	machismo
keyword	middle age
keyword	extramarital affair
keyword	gay slur
keyword	jealous husband
keyword	male male kiss
keyword	swimming pool
keyword	two word title
keyword	rough
keyword	nagging
keyword	telephone call
keyword	domestic violence
keyword	beating
keyword	infatuation
keyword	manhattan new york city
keyword	discussion
keyword	jail cell
keyword	nonlinear timeline
keyword	cult film
keyword	new york city
keyword	based on novel
keyword	title spoken by character
keyword	
cast	Robert De Niro	Jake La Motta
cast	Cathy Moriarty	Vickie La Motta
cast	Joe Pesci	Joey
cast	Frank Vincent	Salvy
cast	Nicholas Colasanto	Tommy Como
cast	Theresa Saldana	Lenore
cast	Mario Gallo	Mario
cast	Frank Adonis	Patsy
cast	Joseph Bono	Guido
cast	Frank Topham	Toppy
cast	Lori Anne Flax	Irma
cast	Charles Scorsese	Charlie - Man with Como
cast	Don Dunphy	Himself - Radio Announcer for Dauthuille Fight
cast	Bill Hanrahan	Eddie Eagan
cast	Rita Bennett	Emma - Miss 48's
cast	James V. Christy	Dr. Pinto
cast	Bernie Allen	Comedian
cast	Floyd Anderson	Jimmy Reeves - Reeves Fight
cast	Gene LeBell	Ring Announcer - Reeves Fight
cast	Harold Valan	Referee - Reeves Fight
