year	1981
imdb score	8.6
meta score	90
genre	Action
genre	Adventure
keyword	nazis
keyword	escape
keyword	ark of the covenant
keyword	indiana jones
keyword	archeologist
keyword	professor
keyword	statue
keyword	german
keyword	nepal
keyword	archeology
keyword	idol
keyword	chase
keyword	jungle
keyword	egypt
keyword	snake
keyword	seaplane
keyword	death
keyword	boulder
keyword	poison
keyword	adventurer
keyword	bullwhip
keyword	poetic justice
keyword	studio logo segues into film
keyword	mp 40 machine gun
keyword	tarantula
keyword	barefoot
keyword	action hero
keyword	hat
keyword	submarine
keyword	cairo egypt
keyword	cursed object
keyword	pit
keyword	good versus evil
keyword	torch
keyword	famous score
keyword	whip
keyword	crushed to death
keyword	ophidiophobia
keyword	main character shot
keyword	spider
keyword	buried alive
keyword	nazi flag
keyword	kidnapping
keyword	cult film
keyword	archeological dig
keyword	imam
keyword	swastika
keyword	unsubtitled foreign language
keyword	car chase
keyword	shot in the shoulder
keyword	exploding truck
keyword	falling over a cliff
keyword	pet snake
keyword	revolver
keyword	dates
keyword	mercedes
keyword	person on fire
keyword	sucker punch
keyword	actor playing multiple roles
keyword	holding shoes in hand
keyword	heroine
keyword	female tied up
keyword	nazi
keyword	opening action scene
keyword	bar shootout
keyword	u boat
keyword	killed by a propeller
keyword	street shootout
keyword	professor as hero
keyword	bondage
keyword	washington monument washington d.c.
keyword	desert
keyword	character's point of view camera shot
keyword	man with glasses
keyword	shootout
keyword	lifting someone into the air
keyword	explosion
keyword	fireplace poker
keyword	fear of snakes
keyword	airplane accident
keyword	archaeology professor
keyword	possession
keyword	rpg
keyword	rivalry
keyword	shot in the head
keyword	famous opening scene
keyword	leather jacket
keyword	slow motion
keyword	1930s
keyword	street fight
keyword	apple for the teacher
keyword	blockbuster
keyword	able to outdrink others
keyword	submarine pen
keyword	bar fight
keyword	faith
keyword	famous opening theme
keyword	sitting
keyword	angry spirit
keyword	famous wardrobe
keyword	mummy
keyword	booby trap
keyword	macguffin
keyword	journey shown on map
keyword	amazon
keyword	biplane
keyword	divine retribution
keyword	german submarine
keyword	gore
keyword	rescue
keyword	monkey corpse
keyword	blood
keyword	famous entrance
keyword	crate
keyword	mechanic
keyword	bazaar
keyword	american abroad
keyword	magic
keyword	fire
keyword	tough guy
keyword	burnt hand
keyword	sword fight
keyword	part of trilogy
keyword	bravery
keyword	ancient civilization
keyword	cult hero
keyword	melting
keyword	gun whipped out of hand
keyword	murder
keyword	exploding head
keyword	pistol
keyword	reverse footage
keyword	first part
keyword	car accident
keyword	sand thrown in eyes
keyword	canyon
keyword	bar
keyword	horse
keyword	supernatural power
keyword	g man
keyword	scream
keyword	love interest
keyword	disarming someone
keyword	washington d.c.
keyword	hero
keyword	college
keyword	punched in the stomach
keyword	relic
keyword	airplane
keyword	part of series
keyword	native american
keyword	fedora
keyword	ship
keyword	jack daniels
