year	1940
imdb score	8.3
meta score	N/A
genre	Drama
genre	Mystery
genre	Thriller
keyword	death
keyword	love
keyword	housekeeper
keyword	monte carlo
keyword	cornwall
keyword	bride
keyword	estate
keyword	accidental death
keyword	gothic romance
keyword	woman in jeopardy
keyword	husband wife relationship
keyword	haunted by the past
keyword	upper class
keyword	mentally disabled
keyword	figurine
keyword	investigation
keyword	cliff
keyword	intrusiveness
keyword	murder
keyword	fancy dress ball
keyword	transformation
keyword	cousin cousin relationship
keyword	master servant relationship
keyword	confession
keyword	opening narration
keyword	source music
keyword	physician
keyword	fog
keyword	inquest
keyword	fistfight
keyword	suspense
keyword	pub
keyword	obsession
keyword	marriage ceremony
keyword	pregnancy
keyword	doctor
keyword	enigmatic
keyword	london england
keyword	boat
keyword	burned alive
keyword	one word title
keyword	betrayal
keyword	dark past
keyword	scheme
keyword	sadist
keyword	collapsing house
keyword	arson
keyword	shrine
keyword	newlywed
keyword	village
keyword	cruelty
keyword	title character never seen
keyword	flashback
keyword	family honor
keyword	home movie
keyword	narcissism
keyword	butler
keyword	death obsession
keyword	shyness
keyword	costume party
keyword	fire
keyword	suicide
keyword	luxury hotel
keyword	mirror
keyword	socialite
keyword	note
keyword	elevator
keyword	drowning
keyword	dead body
keyword	constable
keyword	extramarital affair
keyword	secret from wife
keyword	widower
keyword	revolving door
keyword	voice over narration
keyword	cigarette smoking
keyword	infidelity
keyword	wealth
keyword	enigma
keyword	gothic
keyword	director cameo
keyword	tennis
keyword	hotel
keyword	dream
keyword	costume
keyword	nickname
keyword	film projector
keyword	marriage proposal
keyword	nameless character
keyword	painting
keyword	paid companion
keyword	sunken boat
keyword	jealousy
keyword	full moon
keyword	rain
keyword	cancer
keyword	duplicity
keyword	family secret
keyword	lesbian subtext
keyword	marriage
keyword	gown
keyword	knickers
keyword	underwear
keyword	inferiority complex
keyword	monogram
keyword	foundering ship
keyword	orchestral music score
keyword	older man younger woman relationship
keyword	rural setting
keyword	mansion
keyword	deception
keyword	house fire
keyword	shipwreck
keyword	marly horse
keyword	portrait painting
keyword	dog
keyword	boathouse
keyword	hidden character
keyword	stairway
keyword	homosexual subtext
keyword	servant
keyword	limousine
keyword	unrequited love
keyword	insecurity
keyword	south of france
keyword	leitmotif
keyword	cabin
keyword	blackmail
keyword	holiday resort
keyword	clumsiness
keyword	costume ball
keyword	telephone box
keyword	iron gate
keyword	british
keyword	devotion
keyword	class differences
keyword	temper control problem
keyword	based on novel
keyword	title spoken by character
keyword	character name in title
cast	Laurence Olivier	'Maxim' de Winter
cast	Joan Fontaine	Mrs. de Winter
cast	George Sanders	Jack Favell
cast	Judith Anderson	Mrs. Danvers
cast	Nigel Bruce	Major Giles Lacy
cast	Reginald Denny	Frank Crawley
cast	C. Aubrey Smith	Colonel Julyan
cast	Gladys Cooper	Beatrice Lacy
cast	Florence Bates	Mrs. Van Hopper
cast	Melville Cooper	Coroner
cast	Leo G. Carroll	Dr. Baker
cast	Leonard Carey	Ben
cast	Lumsden Hare	Tabbs
cast	Edward Fielding	Frith
cast	Philip Winter	Robert
cast	Forrester Harvey	Chalcroft
cast	Billy Bevan	Policeman
cast	Egon Brecher	Hotel Desk Clerk
cast	Gino Corrado	Hotel Manager
cast	Alfred Hitchcock	Man Outside Phone Booth
cast	Leyland Hodgson	Mullen
cast	Alphonse Martell	Hotel Headwaiter
cast	William H. O'Brien	Hotel Waiter
cast	Ronald R. Rondell	Hotel Dining Room Guest
