year	2002
imdb score	6.7
meta score	33
genre	Action
genre	Horror
genre	Sci-Fi
keyword	computer
keyword	virus
keyword	corporation
keyword	military
keyword	gas
keyword	amnesia
keyword	underground
keyword	mutant
keyword	scientist
keyword	creature
keyword	quarantine
keyword	elevator crash
keyword	hologram
keyword	chase
keyword	disaster
keyword	thrown from a train
keyword	tongue cut out
keyword	spin off from video game
keyword	cure
keyword	evil corporation
keyword	doberman
keyword	cannibalism
keyword	death of sister
keyword	shower
keyword	spilled coffee
keyword	anti virus
keyword	held at gunpoint
keyword	gore
keyword	impalement
keyword	one woman army
keyword	hospital
keyword	futuristic train
keyword	subterranean
keyword	shot in the chest
keyword	pistol
keyword	laser cutter
keyword	bite on leg
keyword	axe
keyword	survival horror
keyword	red dress
keyword	eaten alive
keyword	bio hazard
keyword	flashback
keyword	walking dead
keyword	kicked in the face
keyword	female protagonist
keyword	towel
keyword	betrayal
keyword	sole survivor
keyword	woman shot in the forehead
keyword	bio organic weapon
keyword	dark heroine
keyword	critically bashed
keyword	research
keyword	bare breasts
keyword	dead dog
keyword	bitten on the arm
keyword	severed head
keyword	torso cut in half
keyword	woman with a gun
keyword	monster
keyword	first part
keyword	killer dog
keyword	cut into pieces
keyword	slide locked back
keyword	megacorporation
keyword	drowning
keyword	burned to death
keyword	cult film
keyword	undead
keyword	mansion
keyword	trapped in an elevator
keyword	dog
keyword	cut arm
keyword	raccoon city
keyword	vomit
keyword	decapitation
keyword	machine gun
keyword	stabbed in the back
keyword	bitten hand
keyword	action heroine
keyword	password
keyword	two way mirror
keyword	female nudity
keyword	laser
keyword	special forces
keyword	resident evil
keyword	vagina
keyword	shot in the head
keyword	killing an animal
keyword	female frontal nudity
keyword	nudity
keyword	2000s
keyword	sewer
keyword	zombie
keyword	sole black character dies cliche
keyword	fake marriage
keyword	axe murder
keyword	brother sister relationship
keyword	explosion
keyword	legs
keyword	experiment
keyword	impersonating a police officer
keyword	death
keyword	posing as husband and wife
keyword	part of series
keyword	female gunfighter
keyword	corporate crime
keyword	killed in an elevator
keyword	bio weapon
keyword	zombie apocalypse
keyword	gun in mouth
keyword	posing as married couple
keyword	finger cut off
keyword	bitten in the throat
keyword	shot in the back
keyword	suicidal
keyword	person on fire
keyword	train
keyword	commando
keyword	long tongue
keyword	shot in the leg
keyword	severed finger
keyword	artificial intelligence
keyword	shot to death
keyword	based on video game
keyword	reverse footage
keyword	flesh eater
keyword	hunger
keyword	theft
keyword	shot in the forehead
keyword	corpse
keyword	gun
keyword	two word title
keyword	near future
keyword	neck breaking
keyword	independent film
keyword	
cast	Ryan McCluskey	Mr. Grey
cast	Oscar Pearce	Mr. Red
cast	Indra Ové	Ms. Black
cast	Anna Bolt	Dr. Green
cast	Joseph May	Dr. Blue
cast	Robert Tannion	Dr. Brown
cast	Heike Makatsch	Lisa
cast	Jaymes Butler	Clarence
cast	Stephen Billington	Mr. White
cast	Fiona Glascott	Ms. Gold
cast	Milla Jovovich	Alice
cast	Eric Mabius	Matt
cast	Colin Salmon	One
cast	Martin Crewes	Kaplan
cast	Pasquale Aleardi	J.D.
cast	Michelle Rodriguez	Rain
cast	Liz May Brice	Medic
cast	Torsten Jerabek	Commando 1
cast	Marc Logan-Black	Commando 2
cast	James Purefoy	Spence
cast	Michaela Dicker	Red Queen
cast	Barry Best	Zombie
cast	Jeremy Bolt	Zombie
cast	Jamie Harding	Mail Boy
cast	Jason Isaacs	Dr. William Birkin / Narrator
cast	Giovanna Spuria	Nurse Adina Scott
