year	1983
imdb score	8.4
meta score	52
genre	Action
genre	Adventure
genre	Fantasy
genre	Sci-Fi
keyword	rebel
keyword	death star
keyword	empire
keyword	princess
keyword	battle
keyword	emperor
keyword	gangster
keyword	lightsaber
keyword	smuggler
keyword	jedi knight
keyword	saga
keyword	moon
keyword	bounty hunter
keyword	final battle
keyword	evil
keyword	rescue
keyword	punctuation in title
keyword	battlefield
keyword	slime
keyword	far far away
keyword	hutt sex
keyword	father son relationship
keyword	slapstick comedy
keyword	bestiality
keyword	last words
keyword	funeral pyre
keyword	strangulation
keyword	fictional war
keyword	laser gun
keyword	cult figure
keyword	dancing
keyword	metal bikini
keyword	father son estrangement
keyword	promise
keyword	psychokinesis
keyword	war violence
keyword	roman numbered sequel
keyword	famous score
keyword	long time ago
keyword	allegory of multiple historical events.
keyword	galactic war
keyword	desert
keyword	forest
keyword	gunfight
keyword	fate of the universe
keyword	sex slave
keyword	redemption
keyword	victory
keyword	good versus evil
keyword	bondage
keyword	explosion
keyword	shootout
keyword	no opening credits
keyword	villain turns good
keyword	space opera
keyword	alien civilization
keyword	cult film
keyword	space battle
keyword	cremation
keyword	symphonic music score
keyword	hologram
keyword	sequel
keyword	eaten alive
keyword	puppet
keyword	zoophilia
keyword	blockbuster
keyword	sliminess
keyword	force lightning
keyword	human alien sexual relations
keyword	fictional planet
keyword	tough guy
keyword	sword duel
keyword	female fighter
keyword	sword fight
keyword	rebellion
keyword	tragic villain
keyword	parallelism in prequel
keyword	giant monster
keyword	patricide
keyword	christ allegory
keyword	part of trilogy
keyword	messiah
keyword	firework
keyword	tyrant
keyword	sword
keyword	desert planet
keyword	chase
keyword	lifting someone into the air
keyword	violence
keyword	death ray
keyword	tragedy
keyword	family relationships
keyword	space travel
keyword	overweight
keyword	booby trap
keyword	alien
keyword	musical number
keyword	android
keyword	laser pistol
keyword	lifting male in air
keyword	martial arts
keyword	trap
keyword	falling from height
keyword	lifting person in air
keyword	action hero
keyword	invented language
keyword	electrocution
keyword	jet pack
keyword	brother sister relationship
keyword	mistaken for god
keyword	kicked down the stairs
keyword	reverse footage
keyword	character's point of view camera shot
keyword	warp speed
keyword	leitmotif
keyword	slop kissing
keyword	sixth part
keyword	combat
keyword	wilhelm scream
keyword	scream
keyword	x rayed skeleton
keyword	space station
keyword	subjective camera
keyword	man eating monster
keyword	exotic dancer
keyword	tough girl
keyword	lifting an adult into the air
keyword	mixed martial arts
keyword	epic
keyword	roman numeral in title
keyword	destiny
keyword	chains
keyword	love
keyword	swordplay
keyword	poetic justice
keyword	warrior
keyword	disarming someone
keyword	severed hand
keyword	evil empire
keyword	storm trooper
keyword	orchestral music score
keyword	mandalorian
keyword	end of trilogy
keyword	enslavement
keyword	telekinesis
keyword	wookiee
keyword	kendo
keyword	ambush
keyword	spacecraft
keyword	compassion
keyword	computer
keyword	kindness
keyword	robot
keyword	elongated cry of no
keyword	planet
keyword	showdown
keyword	disguise
keyword	kissing
keyword	frozen body
keyword	female spy
keyword	hang gliding
keyword	gun fu
keyword	outrunning explosion
keyword	licking
keyword	tongue
keyword	hand to hand combat
keyword	electrical torture
keyword	future
keyword	chained
keyword	gun battle
keyword	returning character killed off
keyword	hero
keyword	stop motion animation
keyword	kiss
keyword	outer space
keyword	sorcerer
keyword	numbered sequel
keyword	number in title
cast	Mark Hamill	Luke Skywalker
cast	Harrison Ford	Han Solo
cast	Carrie Fisher	Princess Leia
cast	Billy Dee Williams	Lando Calrissian
cast	Anthony Daniels	C-3PO
