year	2012
imdb score	7.9
meta score	81
genre	Comedy
genre	Drama
genre	Romance
keyword	problem
keyword	bipolar disorder
keyword	friend
keyword	restraining order
keyword	philadelphia eagles
keyword	ex wife
keyword	institutionalization
keyword	house
keyword	best friend
keyword	beating
keyword	mental institution
keyword	friendship
keyword	medication
keyword	home
keyword	sex
keyword	letter
keyword	bookie
keyword	reference to stevie wonder
keyword	father son relationship
keyword	foul mouth
keyword	unfaithfulness
keyword	based on comic
keyword	violence
keyword	sex in a shower
keyword	car driving
keyword	brother brother relationship
keyword	laughing
keyword	staring
keyword	reading a book
keyword	fear
keyword	mental breakdown
keyword	jogging in a street
keyword	reflection in a mirror
keyword	lens flare
keyword	tailgating
keyword	song
keyword	profanity
keyword	positivity
keyword	secret
keyword	police
keyword	sports betting
keyword	yelling
keyword	loss of control
keyword	money
keyword	necklace
keyword	psychological drama
keyword	forged letter
keyword	running
keyword	no opening credits
keyword	audience
keyword	dance practice
keyword	mental patient
keyword	husband wife relationship
keyword	female rear nudity
keyword	rage
keyword	dance studio
keyword	indiscretion
keyword	philadelphia pennsylvania
keyword	borderline personality disorder
keyword	football game
keyword	dance competition
keyword	trouble
keyword	character's point of view camera shot
keyword	conversation
keyword	stadium
keyword	ballroom dance contest
keyword	fury
keyword	love interest
keyword	color in title
keyword	attraction
keyword	school
keyword	unconventional romance
keyword	release from a mental institution
keyword	mirror
keyword	audio begins before video
keyword	diner
keyword	discussion
keyword	memories
keyword	black humor
keyword	smiling
keyword	out of control
keyword	wedding ring
keyword	street
keyword	female principal
keyword	ipod
keyword	bet
keyword	depression
keyword	electronic music score
keyword	falling in love
keyword	bittersweet
keyword	conflict
keyword	desire
keyword	insult
keyword	mental illness
keyword	infidelity
keyword	dancing
keyword	confession
keyword	police officer
keyword	hostility
keyword	family life
keyword	nervous breakdown
keyword	character repeating someone else's dialogue
keyword	ex teacher
keyword	sign
keyword	mother son relationship
keyword	talking while driving
keyword	two in a shower
keyword	tailgate party
keyword	woman with glasses
keyword	watching tv
keyword	dance contest
keyword	reading a letter
keyword	widow
keyword	reference to benjamin franklin
keyword	joy
keyword	surprise
keyword	adultery
keyword	psychiatrist
keyword	revelation
keyword	reference to ernest hemingway
keyword	flashback
keyword	halloween
keyword	written by director
keyword	sidewalk
keyword	reference to arnold schwarzenegger
keyword	superstition
keyword	anger
keyword	latin dancing
keyword	jogging
keyword	embarrassment
keyword	neighborhood
keyword	reference to metallica
keyword	christmas
keyword	wager
keyword	fighting
keyword	punched in the face
keyword	car
keyword	difficulties
keyword	humor
keyword	nudity
keyword	reference to william shakespeare
keyword	sadness
keyword	crowd
keyword	caught having sex
keyword	talking about sex
keyword	love
keyword	argument
keyword	male female friendship
keyword	plastic bag
keyword	man with glasses
