year	1985
imdb score	7.2
meta score	64
genre	Action
genre	Crime
genre	Drama
genre	Western
keyword	small town
keyword	1880s
keyword	spit
keyword	sex in a barn
keyword	cult film
keyword	duel
keyword	gambler
keyword	shackles
keyword	gun shot out of hand
keyword	shot in the leg
keyword	stable
keyword	buckboard
keyword	covered wagon
keyword	cowboy hat
keyword	shot in the hand
keyword	disarming someone
keyword	arm sling
keyword	silver buckle
keyword	chewing tobacco
keyword	pistol
keyword	canyon
keyword	murder
keyword	stranded in the desert
keyword	crooked sheriff
keyword	old west
keyword	gambling
keyword	trampled by a horse
keyword	19th century
keyword	chess
keyword	brother sister relationship
keyword	cowboy boots
keyword	tumbleweed
keyword	long ride
keyword	deputy
keyword	cantina
keyword	gun violence
keyword	brand
keyword	pinto
keyword	cattle
keyword	stabbed in the belly
keyword	table broken in a fight
keyword	bourbon
keyword	showdown
keyword	posse
keyword	repeating rifle
keyword	square dance
keyword	western town
keyword	fire
keyword	derringer
keyword	jail
keyword	gun battle
keyword	widow
keyword	eye patch
keyword	outlaw
keyword	lasso
keyword	swinging on a rope
keyword	shotgun
keyword	fort
keyword	cavalry
keyword	bar shootout
keyword	stylized violence
keyword	rocking chair
keyword	teepee
keyword	love interest
keyword	racial slur
keyword	snow
keyword	jumping through a window
keyword	saved from hanging
keyword	horse
keyword	fistfight
keyword	cowboys and outlaws
keyword	campfire
keyword	rancher
keyword	canteen
keyword	shot through a wall
keyword	hideout
keyword	hero
keyword	quick draw
keyword	long underwear
keyword	kicked in the head
keyword	barroom brawl
keyword	shot
keyword	bar fight
keyword	stampede
keyword	return favor
keyword	six shooter
keyword	wanted poster
keyword	shooting practice
keyword	running out of ammo
keyword	violence
keyword	ranch
keyword	sheriff
keyword	western hero
keyword	beer
keyword	kissing while having sex
keyword	gag
keyword	kiss
keyword	american flag
keyword	sunset
keyword	friendship
keyword	wild west
keyword	gunslinger
keyword	street fight
keyword	barmaid
keyword	saddle
keyword	opening action scene
keyword	shack
keyword	raid
keyword	gun fu
keyword	rifle
keyword	shot in the chest
keyword	whiskey
keyword	black cowboy
keyword	pistol duel
keyword	outlaw gang
keyword	pearl handle
keyword	murder of father
keyword	action hero
keyword	cave
keyword	soldier
keyword	cowboy
keyword	dual wield
keyword	small western town
keyword	chest of money
keyword	revolver
keyword	hanging from the ceiling
keyword	home burned
keyword	racism
keyword	shot in the belly
keyword	famous score
keyword	wind
keyword	warrior
keyword	dog
keyword	falling off horse
keyword	african american
keyword	colt .45
keyword	handcuffs
keyword	poker
keyword	river
keyword	stabbed in the back
keyword	brawl
keyword	winchester rifle
keyword	wagon train
keyword	shot glass
keyword	cactus
keyword	knife in boot
keyword	tough guy
keyword	kicking in a door
keyword	kidnapping
keyword	street shootout
keyword	ambush
keyword	stagecoach
keyword	gunfight
keyword	thrown out of a bar
keyword	saloon
keyword	cowboy shirt
keyword	gunfighter
keyword	shootout
keyword	death of father
keyword	title spoken by character
keyword	surprise ending
keyword	
cast	Kevin Kline	Paden
cast	Scott Glenn	Emmett
cast	Kevin Costner	Jake
cast	Danny Glover	Mal
cast	Marvin J. McIntyre	Clerk
cast	Brad Williams	Trooper
cast	Sheb Wooley	Cavalry Sergeant
cast	Jon Kasdan	Boy at Outpost
cast	John Cleese	Sheriff Langston
cast	Todd Allen	Deputy Kern
cast	Kenny Call	Deputy Block
cast	Bill Thurman	Carter
cast	Meg Kasdan	Barmaid
cast	Dick Durock	Bar Fighter
cast	Gene Hartline	Bar Fighter
cast	Autry Ward	Hat Thief
cast	Jake Kasdan	Stable Boy
cast	Rosanna Arquette	Hannah
cast	Rusty Meyers	Conrad
cast	Zeke Davidson	Mr. Parker
cast	Lois Geary	Mrs. Parker
cast	James Gammon	Dawson
cast	Troy Ward	Baxter
cast	Roy McAdams	Tall outlaw
cast	Brian Dennehy	Cobb
cast	Linda Hunt	Stella
cast	Jeff Goldblum	Slick
cast	Ray Baker	McKendrick
cast	Joe Seneca	Ezra
cast	Lynn Whitfield	Rae
cast	Jeff Fahey	Tyree
cast	Patricia Gaul	Kate
cast	Amanda Wyss	Phoebe
cast	Earl Hindman	J.T.
cast	Thomas Wilson Brown	Augie
cast	Jim Haynie	Bradley
cast	Richard Jenkins	Kelly
cast	Jerry Biggs	Bartender
cast	Sam Gauny	Deputy Garth
cast	Ken Farmer	Deputy Kyle
cast	Bill McIntosh	Deputy Charlie
cast	Charles Seybert	Shopkeeper
cast	Jane Beauchamp	Neighbor Woman
cast	Jerry Block	Townsman
cast	Ben Zeller	Townsman
cast	Pepe Serna	Scruffy
cast	Ted White	Hoyt
cast	Ross Loney	Red
cast	Walter Scott	Swann
cast	Bob Terhune	Guard Cowboy
cast	Mark Kasdan	Doc Skinner
cast	Matthew Hotsinpiller	Townsperson
cast	Brion James	Hobart
cast	Richard Lester	Saloon patron
cast	Bob Morgan	McKendrick Man
