year	1999
imdb score	6.8
meta score	44
genre	Drama
genre	Mystery
genre	Romance
genre	Thriller
keyword	fisherman
keyword	japanese american
keyword	trial
keyword	small town
keyword	reporter
keyword	1950s
keyword	murder
keyword	washington state
keyword	love
keyword	vomit
keyword	mossyrock washington
keyword	japanese wedding
keyword	husband wife relationship
keyword	grenade
keyword	1930s
keyword	village
keyword	island
keyword	sex
keyword	boat accident
keyword	amputee
keyword	stuck in snow
keyword	december 7 1941
keyword	autopsy
keyword	tree
keyword	documentary footage
keyword	fishing gaf
keyword	writing
keyword	chess
keyword	interracial romance
keyword	lantern
keyword	lighthouse
keyword	prejudice
keyword	ferry
keyword	judge
keyword	coroner
keyword	accident
keyword	world war two
keyword	jury
keyword	battery
keyword	dormitory
keyword	fairness
keyword	boat
keyword	internment camp
keyword	letter
keyword	snow
keyword	forest
keyword	shower
keyword	death
keyword	baby
keyword	head bashed in
keyword	seattle washington
keyword	gun
keyword	journalism
keyword	newspaper man
keyword	sacrifice
keyword	fishing net
keyword	crying
keyword	mistrust
keyword	typewriter
keyword	racial prejudice
keyword	sheriff
keyword	cat
keyword	propaganda
keyword	blizzard
keyword	flashback
keyword	strawberry
keyword	mother daughter relationship
keyword	severed arm
keyword	printing press
keyword	mother son relationship
keyword	pickup truck
keyword	power outage
keyword	doctor
keyword	laceration
keyword	beach
keyword	nonlinear timeline
keyword	race relations
keyword	festival
keyword	fish
keyword	bus
keyword	friend
keyword	san piedro island washington state
keyword	snowstorm
keyword	determination
keyword	origami
keyword	underwater scene
keyword	death of husband
keyword	photograph
keyword	compassion
keyword	killing
keyword	father son relationship
keyword	cedar
keyword	writer
keyword	electric generator
keyword	power failure
keyword	courtroom
keyword	family relationships
keyword	prison
keyword	foghorn
keyword	kiss
keyword	sex in shower
keyword	pacific northwest
keyword	tears
keyword	knitting
keyword	drowning
keyword	cemetery
keyword	one armed man
keyword	fishing boat
keyword	federal bureau of investigation
keyword	cigar smoking
keyword	freighter
keyword	false accusation
keyword	pearl harbor
keyword	silk
keyword	newspaper
keyword	marriage
keyword	rain
keyword	wristwatch
keyword	bicycle
keyword	bible
keyword	burial
keyword	forensic evidence
keyword	father daughter relationship
keyword	parade
keyword	manzanar
keyword	understanding
keyword	lawyer
keyword	umbrella
keyword	newsreel footage
keyword	driftwood
keyword	friendship
keyword	puget sound washington
keyword	woods
keyword	asian american
keyword	u.s. soldier
keyword	farm
keyword	forgiveness
keyword	lie
keyword	fishing
keyword	internment
keyword	heartbeat
keyword	japanese
keyword	wedding
keyword	kendo
keyword	dead body
keyword	unfairness
keyword	american flag
keyword	german american
keyword	dear john letter
keyword	1940s
keyword	funeral
keyword	graveyard
keyword	stick fight
keyword	rifle
keyword	attorney
keyword	flash forward
keyword	marching band
keyword	liar
keyword	typesetting machine
keyword	seagull
keyword	strawberry festival
keyword	great expectations
keyword	fog
keyword	forbidden love
keyword	interracial relationship
keyword	ex lover
keyword	racism
keyword	death of father
keyword	based on novel
keyword	
cast	Ethan Hawke	Ishmael Chambers
cast	Yûki Kudô	Hatsue Miyamoto
cast	Reeve Carney	Young Ishmael Chambers
cast	Anne Suzuki	Young Hatsue Imada
cast	Rick Yune	Kazuo Miyamoto
cast	Max von Sydow	Nels Gudmundsson
cast	James Rebhorn	Alvin Hooks
cast	James Cromwell	Judge Fielding
cast	Richard Jenkins	Sheriff Art Moran
cast	Arija Bareikis	Susan Marie Heine
cast	Eric Thal	Carl Heine Jr.
cast	Celia Weston	Etta Heine
cast	Daniel von Bargen	Carl Heine Sr.
cast	Akira Takayama	Hisao Imada
cast	Ako	Fujiko Imada
cast	Cary-Hiroyuki Tagawa	Zenhichi Miyamoto
cast	Zak Orth	Deputy Abel Martinson
cast	Max Wright	Horace Whaley
cast	Sam Shepard	Arthur Chambers
cast	Caroline Kava	Helen Chambers
cast	Jan Rubes	Ole Jurgensen
cast	Sheila Moore	Liesel Jurgensen
cast	Zeljko Ivanek	Dr. Whitman
cast	Seiji Inouye	Young Kazuo Miyamoto
cast	Saemi Nakamura	Sumiko Imada
cast	Mika Fujii	Yukiko Imada
cast	Dwight McFee	Bus Driver
cast	Bill Harper	Levant
cast	Henry O	Nagaishi
cast	Myles Ferguson	German Soldier
cast	Noah Heney	Ship's Doctor
cast	John B. Destry	Bailiff
cast	A. Arthur Takemoto	Buddhist Priest
cast	Ken Takemoto	Monk
cast	Larry Musser	Gas Station Attendant
cast	Jamie Kang	Singing Girl
cast	Lili Marshall	Strawberry Girl
cast	Lisa Mena	Strawberry Woman
cast	Jethro Heysen-Hicks	Parade Boy with Stick
cast	Tom Heaton	Juror
cast	Frank C. Turner	Juror
cast	Marilyn Norry	Juror
cast	Peter Crook	Fisherman
cast	Ron Snyder	Fisherman
cast	Mark Farrell	Fisherman
cast	Jay Brazeau	Reporter
cast	Tom Scholte	Reporter
cast	Tim Burd	Reporter
cast	Gareth Williams	FBI Agent
cast	Anthony Harrison	FBI Agent
cast	Adam Pospisil	Heine Child
cast	John Brynelsen	Heine Child
cast	Sean Akira	Man in the Courtroom
cast	Barry Brandt	Marine
cast	Robert J. Burke Jr.	Tarawa Marine
cast	Don 'Tex' Clark	Staff Sergeant
