year	1959
imdb score	8.4
meta score	N/A
genre	Comedy
keyword	band
keyword	musician
keyword	witness
keyword	massacre
keyword	all girl band
keyword	spats
keyword	st. valentine's day massacre
keyword	saxophone
keyword	sugar
keyword	yacht
keyword	train
keyword	florida
keyword	millionaire
keyword	police raid
keyword	disguise
keyword	singer
keyword	mob hit
keyword	parking garage
keyword	valentine's day
keyword	dancing
keyword	dressing
keyword	police
keyword	escape
keyword	saxophone player
keyword	gangster
keyword	hotel
keyword	ice
keyword	sex
keyword	fire escape
keyword	diamonds
keyword	wig
keyword	organ
keyword	seashell
keyword	whiskey
keyword	ukelele
keyword	organist
keyword	multiple marriages
keyword	bra
keyword	hiding under a table
keyword	vassar college
keyword	sheboygan wisconsin
keyword	paperboy
keyword	goodbye
keyword	candle
keyword	music conductor
keyword	surprise party
keyword	lipstick
keyword	climbing down a building
keyword	gambling
keyword	gender disguise
keyword	champagne
keyword	impotence
keyword	tango
keyword	pajamas
keyword	gun
keyword	bass the musical instrument
keyword	bath
keyword	wall street journal
keyword	famous line
keyword	shell game
keyword	waiter
keyword	pay phone
keyword	drunkenness
keyword	reference to freud
keyword	lie
keyword	buttermilk
keyword	hanging upside down
keyword	gift
keyword	snow
keyword	overcoat
keyword	mounted fish
keyword	song
keyword	nightgown
keyword	cover up
keyword	birthday
keyword	betrayal
keyword	jazz
keyword	farce
keyword	underwear
keyword	gold digger
keyword	contortionist
keyword	running away
keyword	elopement
keyword	dirty old man
keyword	packing
keyword	boy
keyword	urbana illinois
keyword	on the run
keyword	card playing
keyword	policeman
keyword	dead body
keyword	steamed over eyeglasses
keyword	snowing
keyword	con
keyword	bubble bath
keyword	train conductor
keyword	stockings
keyword	mirror ball
keyword	beach ball
keyword	swimming
keyword	thompson gun
keyword	elevator
keyword	leg
keyword	hotel lobby
keyword	compact mirror
keyword	flask
keyword	roommate
keyword	paper cup
keyword	tripping someone
keyword	actor playing female role
keyword	panties
keyword	singing in a bathtub
keyword	cake
keyword	liar
keyword	hands held in the air
keyword	dog racing
keyword	railway station
keyword	bourbon
keyword	urban setting
keyword	pinching
keyword	frisking
keyword	female impersonation
keyword	face slap
keyword	screwball comedy
keyword	theatrical agent
keyword	chicago illinois
keyword	coleslaw
keyword	rehearsal
keyword	organized crime
keyword	shell oil company
keyword	beach umbrella
keyword	hotel del coronado
keyword	wearing a flower over one's ear
keyword	coffin
keyword	flower in one's mouth
keyword	funeral parlor
keyword	italian opera
keyword	gurney
keyword	bracelet
keyword	grand canyon
keyword	reference to the mayo brothers
keyword	maracas
keyword	cape hatteras north carolina
keyword	crime boss
keyword	pursuit
keyword	love triangle
keyword	gender bender
keyword	bicycle
keyword	marriage proposal
keyword	horniness
keyword	wearing clothes in a bathtub
keyword	fingernail file
keyword	bryn mawr college
keyword	controversy
keyword	deception
keyword	game playing
keyword	golf club
keyword	diamond bracelet
keyword	driving in reverse
keyword	ladder
keyword	vanity fair magazine
keyword	kiss
keyword	hearing aid
keyword	funeral
keyword	pier
keyword	rocking chair
keyword	undressing
keyword	hidden identity
keyword	slip the undergarment
keyword	assumed identity
keyword	orchid
keyword	man with glasses
keyword	gasoline
keyword	bellhop
keyword	death
keyword	drinking
keyword	beach
keyword	birthday cake
keyword	police chase
keyword	1920s
keyword	newspaper headline
keyword	wealth
keyword	ship to shore telephone call
keyword	reference to rudolph valentino
keyword	garter
keyword	typewriter
keyword	reference to cinderella
keyword	tossing coin
keyword	reference to tchaikovsky
keyword	speakeasy
keyword	mother son relationship
keyword	hanging up without saying goodbye
keyword	speech
keyword	eyeglasses
keyword	gambler
keyword	peanut butter
keyword	trophy
keyword	prohibition
keyword	roadhouse
keyword	transvestism
keyword	machine gun
keyword	flowers
