logline	When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.
tagline	With great power comes great responsibility.
tagline	An Ordinary Man. An Extraordinary Power.
tagline	Get Ready For The Ultimate Spin!
tagline	Do you want to know who I am? I'm Spider-Man
tagline	Next Summer, One Hero will take you for the Ultimate Spin
tagline	On May Third, the Entire World Will Connect to the Web.
tagline	A Gift. A Curse. A Destiny.
tagline	If somebody told you I was just your average guy, not a care in the world... somebody lied.
tagline	This is my gift. It is my curse.
tagline	Go for the ultimate spin
tagline	Turn your world upside down
