year	1985
imdb score	6.3
meta score	N/A
genre	Drama
genre	Romance
keyword	college
keyword	friendship
keyword	graduation
keyword	saxophone
keyword	yuppie
keyword	secret admirer
keyword	unrequited love
keyword	virgin
keyword	cocaine
keyword	shower
keyword	drug addiction
keyword	coming of age
keyword	single
keyword	brat pack
keyword	drugs
keyword	cult film
keyword	1980s
keyword	post college
keyword	sex in a coffin
keyword	high school
keyword	ambition
keyword	extramarital affair
keyword	infidelity
keyword	midlife crisis
keyword	washington d.c.
keyword	love triangle
keyword	husband wife relationship
keyword	
cast	Emilio Estevez	Kirby Keger
cast	Rob Lowe	Billy Hicks
cast	Andrew McCarthy	Kevin Dolenz
cast	Demi Moore	Jules
cast	Judd Nelson	Alec Newbary
cast	Ally Sheedy	Leslie Hunter
cast	Mare Winningham	Wendy Beamish
cast	Martin Balsam	Mr. Beamish
cast	Andie MacDowell	Dale Biberman
cast	Joyce Van Patten	Mrs. Beamish
cast	Jenny Wright	Felicia
cast	Blake Clark	Wally
cast	Jon Cutler	Howie Krantz
cast	Matthew Laurance	Ron Dellasandro
cast	Gina Hecht	Judith
cast	Anna Maria Horsford	Naomi
cast	Patrick Winningham	'The New Breed' Band
cast	Andy Scott	'The New Breed' Band
cast	Christian Iraberen	'The New Breed' Band
cast	Daniel Iribarren	'The New Breed' Band
cast	Bennet Bowman	'The New Breed' Band
cast	James Carrington	Guy
cast	Kaaren Lee	Welfare Woman
cast	Nora Meerbaum	Myra
cast	Don Moss	Maitre D'
cast	Whip Hubley	Felicia's Date
cast	Michele Winding	Chauffeur
cast	Jim Turner	Postgrad
cast	Mario Machado	Kim Sung Ho
cast	Judy Kain	Woman Banker
cast	Seth Jaffe	Brother in Law
cast	Jeffrey Lampert	Brother in Law
cast	Elizabeth Arlen	Libby
cast	Scott Nemes	Nephew
cast	Bernadette Birkett	Rachael
cast	Vincent J. Isaac	Cop
cast	Dean R. Miller	Clayton
cast	Jamie Anders	Tommy Bancroft
cast	Cindi Dietrich	Flirt
cast	David Lain Baker	Jules' Date
cast	Daniel Eden	Street Tough
cast	Laurel Page	Nurse
cast	Thom Bierdz	Rowdy Undergrad
cast	J.T. Solomon	Hysterical Woman
cast	Stephanie Feury	Jules' Friend
