year	1953
imdb score	8.2
meta score	N/A
genre	Comedy
genre	Drama
genre	War
keyword	escape
keyword	spy
keyword	barracks
keyword	guard
keyword	christmas
keyword	plant
keyword	security
keyword	self justice
keyword	prisoner of war camp
keyword	military
keyword	bet
keyword	hallucination
keyword	false accusation
keyword	distillery
keyword	prisoner of war
keyword	smoke bomb
keyword	switchblade
keyword	german american
keyword	geneva convention
keyword	ocarina
keyword	air raid
keyword	cynicism
keyword	pin up
keyword	sabotage
keyword	chess pieces
keyword	germany
keyword	stool pigeon
keyword	russian woman
keyword	combat fatigue
keyword	shot to death
keyword	blackout
keyword	tin can
keyword	corkscrew
keyword	nazi
keyword	searchlight
keyword	telescope
keyword	male slaps male
keyword	impostor
keyword	short wave radio
keyword	gagged
keyword	black comedy
keyword	profiteering
keyword	interrogation
keyword	world war two
keyword	mud
keyword	sleep deprivation
keyword	light bulb
keyword	chess
keyword	cynic
keyword	based on play
keyword	number in title
keyword	
cast	William Holden	Sgt. J.J. Sefton
cast	Don Taylor	Lt. James Dunbar
cast	Otto Preminger	Oberst von Scherbach
cast	Robert Strauss	Sgt. Stanislaus 'Animal' Kuzawa
cast	Harvey Lembeck	Sgt. Harry Shapiro
cast	Richard Erdman	Sgt. 'Hoffy' Hoffman
cast	Peter Graves	Sgt. Price
cast	Neville Brand	Duke
cast	Sig Ruman	Sgt. Johann Sebastian Schulz
cast	Michael Moore	Sgt. Manfredi
cast	Peter Baldwin	Sgt. Johnson
cast	Robinson Stone	Joey
cast	Robert Shawley	Sgt. 'Blondie' Peterson
cast	William Pierson	Marko the Mailman
cast	Gil Stratton	Sgt. Clarence Harvey 'Cookie' Cook
cast	Jay Lawrence	Sgt. Bagradian
cast	Erwin Kalser	Geneva Man
cast	Edmund Trzcinski	'Triz' Trzcinski
cast	Marie Ardell	Russian Woman Prisoner
cast	Irene Bacha	Russian Woman Prisoner
cast	Ross Bagdasarian	Singing Prisoner of War
cast	Rodric Beckham	Prisoner of War
cast	Richard P. Beedle	Prisoner of War
cast	Tina Blagoi	Russian Woman Prisoner
cast	Mike Bush	Dancer
cast	Don Cameron	Prisoner of War
cast	Janice Carroll	Russian Woman Prisoner
cast	Jarvis Caston	Prisoner of War
cast	Tommy Cook	Prisoner of War
cast	Beatrice Da Yarr	Russian Woman Prisoner
cast	James Dabney Jr.	Prisoner of War
cast	Zina Dennis	Russian Woman Prisoner
cast	Yvette Eaton	Russian Woman Prisoner
cast	Thomas B. Fleming	Prisoner of War
cast	Carl Forcht	German Lieutenant
cast	Ralph Gaston	Prisoner of War
cast	Jerry Gerber	Prisoner of War
cast	Lana Golubeff	Russian Woman Prisoner
cast	Ross Gould	Von Scherbach's Orderly
cast	Russell Grower	Prisoner of War
cast	Alla Gursky	Russian Woman Prisoner
cast	Willy Kaufman	German Barrack Sergeant
cast	William LaChasse	Prisoner of War
cast	Olga Lebedeff	Russian Woman Prisoner
cast	Forrest Lederer	Prisoner of War
cast	Peter Leeds	Barracks #1 Prisoner of War Getting Distillery
cast	Wesley Ling	Prisoner of War
cast	Harald Maresch	German Lieutenant
cast	Svetlana McLe	Russian Woman Prisoner
cast	Bill McLean	Prisoner of War
cast	Constance C. Meyer	Russian Woman Prisoner
cast	John Mitchum	Prisoner of War
cast	Robin Morse	Prisoner of War
cast	William Mulcahy	Prisoner of War
cast	Joe Ploski	German Guard - Volleyball Player
cast	Harry Reardon	Prisoner of War
cast	Paul Salata	Bearded Prisoner
cast	William Schramm	German Sentry
cast	James R. Scott	Prisoner of War
cast	Bill Sheehan	Prisoner of War
cast	A. Gerald Singer	Steve - The Crutch
cast	Mara Sondakoff	Russian Woman Prisoner
cast	Warren Sortomme	Prisoner of War
cast	Fred Spitz	German Barrack Sergeant
cast	Robert R. Stephenson	German Barrack Sergeant
cast	Audrey Strauss	Russian Woman Prisoner
cast	Herbert Street	Prisoner of War
cast	Anthony M. Taylor	Bit Part
cast	Bob Templeton	Bearded Prisoner
cast	Del Tenney	
cast	Lyda Vashkulat	Russian Woman Prisoner
cast	John Veitch	Prisoner of War
cast	Steve Wayne	Prisoner of War
cast	Alexander J. Wells	Bearded Prisoner
cast	Max Willenz	German Lieutenant Supervisor
cast	William Yetter Jr.	German Private
