year	2009
imdb score	8.1
meta score	83
genre	Action
genre	Adventure
genre	Sci-Fi
keyword	captain
keyword	vulcan
keyword	starship
keyword	alien
keyword	planet
keyword	romulan
keyword	black hole
keyword	supernova
keyword	lieutenant
keyword	bar fight
keyword	evacuation
keyword	fight
keyword	bar
keyword	commander
keyword	birth
keyword	cheating
keyword	revenge
keyword	hiding under a bed
keyword	motorcycle
keyword	argument
keyword	attempted strangulation
keyword	klingon
keyword	phaser
keyword	cult film
keyword	joyride
keyword	cult film
keyword	origin of hero
keyword	court trial
keyword	father son relationship
keyword	russian
keyword	scottish accent
keyword	san francisco california
keyword	human alien
keyword	childbirth
keyword	space battle
keyword	husband wife relationship
keyword	vintage car
keyword	shot to death
keyword	teleportation
keyword	torture
keyword	fictional war
keyword	choke hold
keyword	anti hero
keyword	breaking a bottle over someone's head
keyword	wormhole
keyword	big hands
keyword	fistfight
keyword	punched in the face
keyword	interspecies sex
keyword	tattoo
keyword	loss of wife
keyword	good versus evil
keyword	requel
keyword	green blood
keyword	parachute
keyword	iowa
keyword	interracial love
keyword	implosion
keyword	copped feel
keyword	shootout
keyword	wheelchair
keyword	loss of husband
keyword	space travel
keyword	laser
keyword	giant animal
keyword	impalement
keyword	minister
keyword	lens flare
keyword	famous score
keyword	prelude
keyword	space opera
keyword	eleventh part
keyword	eating apple
keyword	bully comeuppance
keyword	mother son relationship
keyword	finger gun
keyword	red car
keyword	falling to death
keyword	kidnapping
keyword	mass murder
keyword	punched in the stomach
keyword	interracial relationship
keyword	pregnancy
keyword	megalomaniac
keyword	exploding ship
keyword	product placement
keyword	human alien sexual relations
keyword	cave
keyword	bra
keyword	vaporization
keyword	chicken race
keyword	no opening credits
keyword	future
keyword	imploding planet
keyword	apple
keyword	destruction of planet
keyword	escape pod
keyword	star trek
keyword	alternate timeline
keyword	unlikely friendship
keyword	older version of self
keyword	scot
keyword	warp engine
keyword	green skin
keyword	bloody nose
keyword	doctor
keyword	23rd century
keyword	quarrel
keyword	pregnant wife
keyword	oral exam
keyword	corvette convertible
keyword	white panties
keyword	girl in bra and panties
keyword	fake illness
keyword	snow
keyword	spacecraft
keyword	blizzard
keyword	interrupted sex
keyword	reboot of series
keyword	man in a wheelchair
keyword	24th century
keyword	drill
keyword	chaos
keyword	inhabitable planet
