year	1977
imdb score	8.8
meta score	91
genre	Action
genre	Adventure
genre	Fantasy
genre	Sci-Fi
keyword	empire
keyword	planet
keyword	galaxy
keyword	princess
keyword	rescue
keyword	rebellion
keyword	droid
keyword	farm
keyword	desert
keyword	emperor
keyword	alien
keyword	combat
keyword	spacecraft
keyword	farmer
keyword	wookiee
keyword	space station
keyword	jedi
keyword	lightsaber
keyword	epic
keyword	battle
keyword	jedi knight
keyword	knight
keyword	sword
keyword	hermit
keyword	death star
keyword	smuggler
keyword	twin suns
keyword	scavenger
keyword	space battle
keyword	spaceship
keyword	hyperspace
keyword	aerial combat
keyword	sabotage
keyword	anti hero
keyword	space travel
keyword	exhaust shaft
keyword	jet fighter
keyword	no opening credits
keyword	good versus evil
keyword	tough guy
keyword	honor
keyword	disarming someone
keyword	leitmotif
keyword	laser pistol
keyword	lifting an adult into the air
keyword	lifted by the throat
keyword	gunfight
keyword	hangar
keyword	jedi mind trick
keyword	prison
keyword	two word title
keyword	bar fight
keyword	female fighter
keyword	subjective camera
keyword	medal
keyword	single shot
keyword	future
keyword	numbered sequel
keyword	evil empire
keyword	lifting a male into the air
keyword	mind control
keyword	sword duel
keyword	design flaw
keyword	reward
keyword	destiny
keyword	slow motion scene
keyword	lightsaber battle
keyword	fictional planet
keyword	disguise
keyword	force choke
keyword	storm trooper
keyword	walls close in
keyword	spaceport
keyword	famous line
keyword	alien race
keyword	shrinking room
keyword	family relationships
keyword	sword fight
keyword	lifting someone into the air
keyword	uncle nephew relationship
keyword	laser gun
keyword	character's point of view camera shot
keyword	spirit
keyword	part of trilogy
keyword	trash compactor
keyword	destruction of planet
keyword	saga
keyword	fictional war
keyword	swordsman
keyword	general
keyword	exploding ship
keyword	abyss
keyword	prison escape
keyword	tough girl
keyword	android
keyword	stop motion animation
keyword	bounty hunter
keyword	symphonic music score
keyword	science fantasy
keyword	remake of japanese film
keyword	troubled production
keyword	fourth part
keyword	foot chase
keyword	non human
keyword	escape pod
keyword	galactic war
keyword	death ray
keyword	shot with a laser gun
keyword	hologram
keyword	burnt body
keyword	martial arts
keyword	gunslinger
keyword	cult figure
keyword	famous score
keyword	pleading
keyword	shootout
keyword	castle thunder
keyword	governor
keyword	allegory of multiple historical events.
keyword	mask
keyword	telepathy
keyword	space opera
keyword	murder
keyword	poetic justice
keyword	ancient astronaut
keyword	genocide
keyword	duel
keyword	extraterrestrial
keyword	severed arm
keyword	reverse footage
keyword	reluctant hero
keyword	neck breaking
keyword	cantina
keyword	strangulation
keyword	hand to hand combat
keyword	ambush
keyword	underdog
keyword	super villain
keyword	action hero
keyword	band
keyword	cult film
keyword	wilhelm scream
keyword	loss of family
keyword	assault
keyword	scanimate
keyword	sniper
keyword	robot
keyword	farmboy
keyword	totalitarianism
keyword	husband wife relationship
keyword	exploding planet
keyword	aunt nephew relationship
keyword	preemptive strike
keyword	computer
keyword	courage
keyword	stormtrooper
keyword	alternate version
keyword	chase
keyword	impersonation
keyword	escape
keyword	incestuous kiss
keyword	laser cannon
keyword	hitman
keyword	number in character's name
keyword	the force
keyword	famous opening theme
keyword	tractor beam
keyword	wuxia fiction
keyword	monster
keyword	blockbuster
keyword	sword and planet
keyword	animated chess
keyword	space western
keyword	warrior culture
keyword	nomad
keyword	mixed martial arts
keyword	victory
keyword	long time ago
keyword	outer space
keyword	marksman h combat remote
keyword	self sacrifice
keyword	telekinesis
keyword	translator
keyword	bar
keyword	canyon
keyword	innocent deaths avenged
keyword	sequel
keyword	warp speed
keyword	sword and sorcery
keyword	hypnosis
keyword	space war
keyword	hero
keyword	orchestral music score
keyword	invented language
keyword	death of friend
keyword	
cast	Mark Hamill	Luke Skywalker
cast	Harrison Ford	Han Solo
cast	Carrie Fisher	Princess Leia Organa
