year	1951
imdb score	8.2
meta score	N/A
genre	Crime
genre	Film-Noir
genre	Thriller
keyword	tennis
keyword	murder
keyword	stranger
keyword	divorce
keyword	train
keyword	police
keyword	tennis player
keyword	amusement park
keyword	u.s. senator
keyword	suspect
keyword	island
keyword	tennis match
keyword	guilt
keyword	perfect murder
keyword	love
keyword	cheating wife
keyword	great dane
keyword	being followed
keyword	woman strangled to death
keyword	homosexual villain
keyword	cowboy costume
keyword	death of expectant mother
keyword	parallel montage
keyword	cult director
keyword	driving blindfolded
keyword	fire escape
keyword	pregnant woman murdered
keyword	father daughter relationship
keyword	criss cross
keyword	sports announcer
keyword	oedipus complex
keyword	double exposure effects
keyword	mama's boy
keyword	following someone
keyword	gambling
keyword	kiss
keyword	pregnant wife
keyword	small town
keyword	malice
keyword	insanity
keyword	electric chair
keyword	celebrity
keyword	double life
keyword	director cameo
keyword	old man
keyword	railroad track
keyword	fainting
keyword	giving a toast
keyword	call for help
keyword	gasoline
keyword	carbon monoxide poisoning
keyword	remarriage
keyword	carousel
keyword	accidental killing
keyword	woman with glasses
keyword	pregnant woman
keyword	speech
keyword	athlete
keyword	dog
keyword	investigation
keyword	1950s
keyword	kewpie doll
keyword	black comedy
keyword	sports page
keyword	homosexual subtext
keyword	court
keyword	radio announcer
keyword	hate
keyword	forest hills queens new york city
keyword	tunnel of love
keyword	phone booth
keyword	adulteress
keyword	second marriage
keyword	teacher
keyword	tie clip
keyword	sense of smell
keyword	framed for murder
keyword	swapping murders
keyword	sound booth
keyword	boat ride
keyword	mother son relationship
keyword	death of pregnant woman
keyword	punch into the camera
keyword	professor
keyword	train compartment
keyword	atomic power
keyword	note
keyword	college
keyword	stalking
keyword	blackmail
keyword	scandal
keyword	listening to recording
keyword	drunkenness
keyword	phone book
keyword	infidelity
keyword	rocket to the moon
keyword	piano
keyword	pay phone
keyword	flirting
keyword	bigamy
keyword	pregnant
keyword	jet plane
keyword	boss' daughter
keyword	family quarrel
keyword	double cross
keyword	painter
keyword	society page
keyword	washington d.c.
keyword	suspect tailing
keyword	piano tuner
keyword	reference to st. francis
keyword	nightfall
keyword	glasses
keyword	anger
keyword	cigarette smoking
keyword	stalker
keyword	u.s. president
keyword	chance meeting
keyword	priest
keyword	weakness
