year	2008
imdb score	7.2
meta score	82
genre	Drama
genre	Sport
keyword	baseball
keyword	minor league
keyword	dominican republic
keyword	rags to riches
keyword	caribbean
keyword	fish out of water
keyword	puerto rican
keyword	coming of age
keyword	rookie
keyword	immigration
keyword	furniture
keyword	illegal immigrant
keyword	latino
keyword	american dream
keyword	interracial relationship
keyword	one word title
keyword	athlete
keyword	mother
keyword	character name in title
keyword	
cast	Jose Rijo	Alvarez
cast	Walki Cuevas	Alfonso
cast	Algenis Perez Soto	Miguel
cast	Santo Silvestre	Umpire #1
cast	Emmanuel Nanita Carvajal	Reyes
cast	Cesar Emilio Minaya C.	Pedro
cast	Joendy Pena Brown	Marcos
cast	Kelvin Leonardo Garcia	Salvador
cast	Marcos Rosa	Sanchez
cast	Karl Bury	Rudy
cast	Zaida Alexandra Hernandez	Erica
cast	Lilin Soto Gonzales	Abuela
cast	Dioni Feliciano	Luis
cast	Teodosia Sanchez Reyes	Carmen
cast	Walky Alvarez	Sofia
cast	Letilier A. Foy Jr.	Jaime
cast	Victor Manuel Adon	Javier
cast	Raul Abraham	Floor Manager
cast	Manuel Cache	Uncle Angel
cast	Gisselle Jimenez	Cousin Lupe
cast	Omayra Perez Soto	Prima Omayra
cast	Francia Teresa Andujar	Aunt Lola
cast	Michel Junior Sanchez	Cousin Felipe
cast	Herny Severino	Neighbor Ana
cast	Wilson Daniel	Uncle Jeffe
cast	Braulio Castillo	Frank
cast	Conrad Layton	Julio
cast	Carlos Fermin	Antonio
cast	Rayniel Rufino	Jorge
cast	Marla Frumkin	Waitress
cast	Andre Holland	Brad
cast	Gerardo J. Ramirez	Orlando
cast	Jesus A. Diaz	Ed
cast	Michael Gaston	Stu
cast	Ann Whitney	Helen Higgins
cast	Richard Bull	Earl Higgins
cast	Ellary Porterfield	Anne
cast	Barbara P. Engstrom	Hilary
cast	Larry E. Donaldson	Michael
cast	Issac Thomas Richer Smith	Clubby
cast	Randolph Wehofer	Jack Jeffries
cast	Scott Behn	Umpire #2
cast	Jonathan Gregoire	Jackass
cast	Brandon Steinbrecher	Jeff
cast	Brandon Robert Gorrell	Randy
cast	Ian R. Wiley	Travis
cast	Holly Hanson	Wendy
cast	Ted Timbrook	Umpire #3
cast	Don Umland	Umpire #4
cast	Chris Harkins	Batter
cast	Alina Vargas	Reyna
cast	Eddie Martinez	Rafael
cast	Sándor Técsy	Nikolai
cast	Karolina Wydra	Raquel
cast	Jaime Tirelli	Osvaldo
cast	Rafael Espinal	Caballo
cast	Jose Luis Romero	José
cast	Hamlet Abreu	Hamlet
cast	Jean Carlos Rodriguez	Jean
cast	Harrison Alvarado	Harrison
cast	Roger Pena	Roger
cast	Ramon Calderon	Umpire #5
cast	Richard Anderson	Baseball Fan
cast	Joseph Basile	Subway Commuter
cast	Byron Browne	Kansas City Major League Ball Player
cast	Rhett Ashley Crosby	Kansas City Baseball Player
cast	Greg D'Agostino	Gregory the Delivery Man
cast	Adam Denomme	Baseball Fan
cast	Christopher Denomme	Baseball Fan
cast	James Fuertes	Bouncer
cast	Taylor Hogue	Baseball Fan
cast	Chris Irizarry	Baseball Player
cast	Tomas Johansson	Baseball Fan
cast	Marcus Jordan	Kansas City Pitcher
cast	Jason H. Karniol	Kansas City Baseball Fan
cast	Jack C. Kloppenborg	Wisconsin Rattler Player
cast	Rita Kurtz	Dominican Baseball Fan
cast	Dave Mahr	Kansas City Major League Baseball Player
cast	Sabien Minteer	Hardy / Team Mascot
cast	Antonia Molina	Wife
cast	Daren Palacio	Baseball Fan
cast	Joseph Rao	Baseball Fan
cast	Alyssa Simmons	Baseball Fan
cast	Jeremy Ray Smolik	Baseball Player
cast	Tom Sponberg	Baseball Fan
cast	Michael Robert Yeager	Fan at Spring Training Game
cast	Chelsea Zeleny	Baseball Fan
