year	1987
imdb score	3.6
meta score	22
genre	Action
genre	Adventure
genre	Family
genre	Fantasy
genre	Sci-Fi
keyword	superman
keyword	sun
keyword	museum
keyword	disarmament
keyword	great wall of china
keyword	volcanic eruption
keyword	nuclear disarmament
keyword	explosive
keyword	hair
keyword	creation
keyword	flag on the moon
keyword	airforce one
keyword	pickaxe
keyword	reporter
keyword	speech
keyword	farm
keyword	prison escape
keyword	u.s. army
keyword	letter
keyword	furnace creature
keyword	smallville
keyword	general
keyword	genetic engineering
keyword	nuclear threat
keyword	kissing
keyword	uncle nephew relationship
keyword	soldier
keyword	air force base
keyword	singing
keyword	tuxedo
keyword	cold war
keyword	police shootout
keyword	italy
keyword	action violence
keyword	exploding car
keyword	adidas clothing
keyword	car goes over a cliff
keyword	genius
keyword	u.s. air force
keyword	adapted score
keyword	spacewalk
keyword	duel
keyword	deoxyribonucleic acid
keyword	flag
keyword	roman numeral in title
keyword	numbered sequel
keyword	russian army
keyword	space travel
keyword	fire
keyword	shootout
keyword	horse
keyword	newspaper headline
keyword	journalism
keyword	media manipulation
keyword	scratch
keyword	united nations
keyword	nuclear explosion
keyword	father daughter relationship
keyword	fictional city
keyword	kneed in the face
keyword	moon
keyword	sunlight
keyword	baseball
keyword	elevator
keyword	arms race
keyword	superhero
keyword	deception
keyword	jumping from height
keyword	arms dealer
keyword	school bus
keyword	rooftop
keyword	cape
keyword	exploding building
keyword	opening action scene
keyword	u.s. marshal
keyword	x ray vision
keyword	city
keyword	colon in title
keyword	super powers
keyword	special powers
keyword	school
keyword	secret identity
keyword	subway
keyword	classroom
keyword	press conference
keyword	gymnasium
keyword	fourth part
keyword	hot dog stand
keyword	treadmill
keyword	revolving door
keyword	kicked in the face
keyword	aerobics
keyword	dc comics
keyword	hostage
keyword	hotel
keyword	newsroom
keyword	human alien
keyword	statue of liberty new york city
keyword	snow
keyword	digging
keyword	russian
keyword	kiss
keyword	watching tv
keyword	telekinesis
keyword	walkman
keyword	escape from prison
keyword	clone
keyword	explosion
keyword	hand to hand combat
keyword	levitation
keyword	spaceship
keyword	super villain
keyword	submarine
keyword	world trade center manhattan new york city
keyword	train
keyword	police officer
keyword	village
keyword	teacher
keyword	hot dog vendor
keyword	fitness center
keyword	solar power
keyword	nuclear weapons
keyword	teenager
keyword	moon surface
keyword	sequel
keyword	musical whistling
keyword	taking picture
keyword	chain gang
keyword	product placement
keyword	fire truck
keyword	reference to wolfgang amadeus mozart
keyword	street shootout
keyword	convertible
keyword	nuclear missile
keyword	baseball glove
keyword	pile of money
keyword	vintage car
keyword	six word title
keyword	catholic priest
keyword	lava
keyword	solar eclipse
keyword	u.s. president
keyword	action hero
keyword	kryptonite
keyword	cigar smoking
keyword	workout
keyword	letter read aloud
keyword	san francisco california
keyword	mountain
keyword	boy
keyword	fighting in the air
keyword	fight
keyword	1980s
keyword	electricity
keyword	remote control car
keyword	tycoon
keyword	journalist
keyword	the moon
keyword	long fingernails
keyword	golden gate bridge
keyword	priest
keyword	pistol
keyword	strand of hair
keyword	police car
keyword	world peace
keyword	villain arrested
keyword	fireplace
keyword	based on comic
keyword	volcano
keyword	machine gun
keyword	flying
keyword	hawaiian shirt
keyword	based on comic book
keyword	tough guy
keyword	superhero
keyword	catholic school
keyword	planet
keyword	missile
keyword	newspaper staff
keyword	russia
keyword	guest speaker
keyword	burning money
keyword	secret lair
