year	1996
imdb score	7.5
meta score	71
genre	Comedy
genre	Drama
keyword	friend
keyword	actor
keyword	parking lot
keyword	song
keyword	singing
keyword	mgm grand hotel las vegas
keyword	reference to the manifest destiny
keyword	love
keyword	steadicam
keyword	casino
keyword	1990s
keyword	underwear
keyword	baby
keyword	self esteem
keyword	central park manhattan new york city
keyword	calendar
keyword	following someone
keyword	dancer
keyword	drink
keyword	trailer house
keyword	ice hockey
keyword	reference to frank sinatra
keyword	one word title
keyword	the derby los angeles
keyword	reference to goofy
keyword	michelin tires commercial
keyword	martini
keyword	comedian
keyword	tears
keyword	drinking
keyword	ex boyfriend ex girlfriend relationship
keyword	beer
keyword	telephone
keyword	restaurant
keyword	reference to dewar's
keyword	gambler
keyword	break up
keyword	gay slur
keyword	crying
keyword	singer
keyword	delivery boy
keyword	compton california
keyword	borrowing
keyword	party
keyword	machismo
keyword	sex talk
keyword	swing dancing
keyword	reference to voltaire
keyword	stuffed animal
keyword	depression
keyword	money
keyword	homosexual
keyword	pajamas
keyword	condom
keyword	boyfriend girlfriend relationship
keyword	storytelling
keyword	kindergarten
keyword	golf course
keyword	cafe
keyword	actress
keyword	dance club
keyword	canter's deli los angeles
keyword	calling card
keyword	sex
keyword	towel
keyword	reference to snoop dogg
keyword	michelin tires
keyword	dumped by girlfriend
keyword	reference to johnny cash
keyword	fear of commitment
keyword	synchronized parking
keyword	new york city
keyword	urination
keyword	reference to the disney corporation
keyword	friendship
keyword	gay
keyword	kiss
keyword	hollywood hills california
keyword	bartender
keyword	reference to lee jeans
keyword	bar
keyword	reference to starbucks
keyword	grandmother grandson relationship
keyword	anaheim california
keyword	cocktail lounge
keyword	card dealer
keyword	selling scrap metal
keyword	director also cinematographer
keyword	sausage
keyword	reference to quentin tarantino
keyword	being followed
keyword	wisconsin
keyword	on the road
keyword	los angeles california
keyword	entertainment law
keyword	college
keyword	homophobia
keyword	dating
keyword	audition
keyword	name calling
keyword	night life
keyword	playing cards
keyword	producer
keyword	nightclub
keyword	stealing
keyword	open mike night
keyword	movie ratings
keyword	reference to judy garland
keyword	olive
keyword	golf
keyword	band
keyword	answering machine
keyword	espresso
keyword	el rey hollywood
keyword	hollywood
keyword	gambling
keyword	las vegas nevada
keyword	suit
keyword	swinger
keyword	photograph
keyword	montage
keyword	slow motion
keyword	drunkenness
keyword	reference to wayne gretzky
keyword	unemployment
keyword	reference to martin scorsese
keyword	f word
keyword	horse and carriage driver
keyword	telephone call
keyword	dancing
keyword	instant replay
keyword	reference to the renaissance
keyword	disneyland
keyword	callback
keyword	los feliz
keyword	urban setting
keyword	reference to the age of enlightenment
keyword	gun
keyword	misogynist
keyword	dresden room hollywood
keyword	reference to pluto the dog
keyword	cigar smoking
keyword	falling asleep
keyword	steering wheel lock
keyword	reference to julliard
keyword	car
keyword	kisch
keyword	luau lounge laos angeles
keyword	twenty something
keyword	job hunting
keyword	reference to new kids on the block
keyword	cigarette smoking
keyword	independent film
cast	Jon Favreau	Mike
cast	Vince Vaughn	Trent
cast	Ron Livingston	Rob
cast	Patrick Van Horn	Sue
cast	Alex Désert	Charles
cast	Heather Graham	Lorraine
cast	Deena Martin	Christy
cast	Katherine Kendall	Lisa
cast	Brooke Langton	Nikki
cast	Blake Lindsley	Girl with Cigar
cast	Kevin James Kelly	Vegas Dealer
cast	Stephanie Ittleson	Vegas Waitress
cast	Vernon Vaughn	$100 Gambler
cast	Joan Favreau	$5 Winner
cast	Rio Hackford	Skully
cast	Caitlyn Tyler Cole	Girl at Party
cast	Maddie Corman	Peek-a-Boo Girl
cast	Marty & Elayne	Dresden Lounge Act
cast	Big Bad Voodoo Daddy	Derby Band
cast	Sheri Rosenblum	$100 Gambler
cast	Stasea Rosenblum	$100 Gambler
cast	Pamela Shaw	$5 Gambler
cast	Tom Alley	Pit Boss
cast	Reverend Phil Dixon	Lounge Lizard
cast	Ashley M. Rogers	Bartender
cast	Jay Diola	Skully's Crew / Derby Dancer
cast	Nicholas Gagliarducci	Skully's Crew
cast	David Gould	Skully's Crew
cast	Bill Phillips	Skully's Crew
cast	Mensur Hamud	Pink Dot Guy
cast	Ahmed Ahmed	Party Mystery Guy
cast	Eufemia Plimpton	Derby Lady
cast	Melinda Starr	Derby Lady
cast	Samantha Lemole	Dresden Lady
cast	Jessica Buchman	Dresden Lady
cast	Caroline O'Meara	Diner Waitress
cast	Gary Aurbach	Derby Doorman
cast	Brad Halvorson	Derby Doorman
cast	Christopher R. Joyce	Diner Patron
cast	Edward Rissien	Diner Patron
cast	Jenna Rissien	Diner Patron
cast	Mark Smith	Diner Patron
cast	John Abraham	Derby Dancer
cast	Rachael Lin Gallaghan	Derby Dancer
cast	Lisa Guerriero	Derby Dancer
cast	Thomas Hall	Derby Dancer
cast	Damiana Kamishin	Derby Dancer
cast	Curtis Lindersmith	Derby Dancer
cast	Jennifer Lucero	Derby Dancer
cast	Pinki Marsolek	Derby Dancer
cast	Rhonda Martin	Derby Dancer
cast	Martina Migenes	Derby Dancer
cast	Paul Mojica	Derby Dancer
cast	Sam Mollo	Derby Dancer
cast	Jacob Morris	Derby Dancer
cast	Michael Scott	Derby Dancer
cast	Bernard Serrano	Derby Dancer
cast	Rosalind Smith	Derby Dancer
cast	Molly Stern	Derby Dancer
cast	Johnny Walker	Derby Dancer
cast	Lisa Wolstein	Derby Dancer
cast	Dan Kapelovitz	Partygoer
cast	Tiffany Kuzon	Michelle in Pictures
cast	Nicole LaLoggia	Michelle on Phone
