year	1991
imdb score	8.5
meta score	68
genre	Action
genre	Sci-Fi
genre	Thriller
keyword	future
keyword	cyborg
keyword	the terminator
keyword	mission
keyword	liquid metal
keyword	young boy
keyword	sequel
keyword	warrior
keyword	battle
keyword	voice over narration
keyword	human android relationship
keyword	second part
keyword	robot as menace
keyword	cult film
keyword	dysfunctional family
keyword	rear projection
keyword	shotgun
keyword	stabbed through back
keyword	pole through torso
keyword	famous opening theme
keyword	exploding truck
keyword	t1000
keyword	slow motion scene
keyword	idealism
keyword	love
keyword	skewering
keyword	suspense
keyword	main character dies
keyword	part of series
keyword	mushroom cloud
keyword	nuclear weapons
keyword	gunfight
keyword	goth
keyword	sanitarium
keyword	artificial intelligence
keyword	child drives car
keyword	blockbuster
keyword	boy hero
keyword	promise
keyword	opening action scene
keyword	swat team
keyword	android
keyword	slide locked back
keyword	explosive
keyword	1990s
keyword	13 year old
keyword	car motorcycle chase
keyword	cyberpunk
keyword	subjective camera
keyword	killing a dog
keyword	explosion
keyword	flashback
keyword	exploding body
keyword	trapped in an elevator
keyword	police
keyword	war with machines
keyword	violence
keyword	psychopath
keyword	helicopter
keyword	good versus evil
keyword	hand to hand combat
keyword	kindness
keyword	showdown
keyword	future war
keyword	car chase
keyword	bravery
keyword	combat
keyword	mixed martial arts
keyword	numbered sequel
keyword	credit card fraud
keyword	escape
keyword	female warrior
keyword	woman with a gun
keyword	lifting someone into the air
keyword	motorcycle
keyword	bar brawl
keyword	kissing
keyword	biker
keyword	shopping mall
keyword	sole black character dies cliche
keyword	impersonation
keyword	end of the world
keyword	shot in the shoulder
keyword	los angeles california
keyword	bulletproof vest
keyword	chemistry
keyword	skewered through one's chest
keyword	hand through head
keyword	friendship
keyword	remote controlled toy car
keyword	courage
keyword	lasersight
keyword	number in character's name
keyword	leather jacket
keyword	security guard
keyword	weapons research
keyword	nuclear holocaust
keyword	blood
keyword	teenage boy
keyword	warrior woman
keyword	mother son relationship
keyword	sunglasses
keyword	hope
keyword	sequel to cult favorite
keyword	post apocalypse
keyword	fictional war
keyword	gore
keyword	child in peril
keyword	villain turns good
keyword	mental patient
keyword	morphing
keyword	t800
keyword	gatling gun
keyword	robot vs. robot
keyword	playground
keyword	truck
keyword	los angeles storm drain
keyword	mental institution
keyword	dream
keyword	video arcade
keyword	fate of the universe
keyword	famous entrance
keyword	character's point of view camera shot
keyword	dog
keyword	suicide
keyword	machine gun
keyword	steelworks
keyword	jeep
keyword	nuclear war
keyword	alternate history
keyword	hopscotch
keyword	steel mill
keyword	savior
keyword	brawl
keyword	urban setting
