year	2000
imdb score	6.6
meta score	43
genre	Adventure
genre	Drama
genre	Romance
genre	Thriller
keyword	map
keyword	paradise
keyword	island
keyword	travel
keyword	love
keyword	suicide
keyword	beach
keyword	hotel
keyword	thailand
keyword	crotch grab
keyword	fantasy sequence
keyword	thai
keyword	cannabis
keyword	pretentiousness
keyword	passport
keyword	dancer
keyword	caterpillar
keyword	farmer
keyword	nudity
keyword	self sufficiency
keyword	death
keyword	knife
keyword	male nudity
keyword	jumping from height
keyword	fish
keyword	insanity
keyword	settlement
keyword	booby trap
keyword	hedonism
keyword	pursuit of happiness
keyword	infidelity
keyword	french
keyword	guerilla
keyword	photograph
keyword	shot in the chest
keyword	ostracism
keyword	electronic music
keyword	boat
keyword	kiss
keyword	machine gun
keyword	pet monkey
keyword	guard
keyword	disillusionment
keyword	lie
keyword	wrist slitting
keyword	moon
keyword	photographer
keyword	fishing
keyword	commune
keyword	blood on shirt
keyword	shot in the back
keyword	monkey
keyword	gangrene
keyword	marijuana joint
keyword	tattoo
keyword	cult
keyword	american
keyword	betrayal
keyword	voice over narration
keyword	cartoon on tv
keyword	talking to self
keyword	corpse
keyword	prank
keyword	volleyball
keyword	freedom
keyword	watching tv
keyword	ak 47
keyword	drunkenness
keyword	campfire
keyword	spear fishing
keyword	bed
keyword	dead man
keyword	village
keyword	pursuit of pleasure
keyword	camera
keyword	delusion
keyword	nightmare
keyword	pistol
keyword	shot to death
keyword	secret
keyword	boyfriend girlfriend relationship
keyword	scot
keyword	gameboy
keyword	tent
keyword	dream sequence
keyword	christianity
keyword	southeast asia
keyword	female nudity
keyword	liar
keyword	discovery
keyword	drugs
keyword	murder
keyword	secrecy
keyword	drug use
keyword	rain
keyword	dancing
keyword	bangkok thailand
keyword	plant
keyword	blackmail
keyword	marijuana
keyword	utopia
keyword	injury
keyword	guerilla war
keyword	blood
keyword	underwater scene
keyword	sound of sex
keyword	beach resort
keyword	urban myth
keyword	jungle
keyword	love triangle
keyword	bare breasts
keyword	trap
keyword	computer
keyword	shark attack
keyword	snake blood
keyword	backpack
keyword	pot smoking
keyword	kissing
keyword	topless female nudity
keyword	community
keyword	secret society
keyword	trail of blood
keyword	beer
keyword	sex
keyword	resort
keyword	soccer
keyword	decency
keyword	backpacker
keyword	gun
keyword	cricket the game
keyword	bite
keyword	tourist
keyword	eating a caterpillar
keyword	impalement
keyword	cook
keyword	train
keyword	fleeing
keyword	drink
keyword	bare chested male
keyword	shark
keyword	waterfall
keyword	soap
keyword	police station
keyword	vomit
keyword	funeral
keyword	leg biting
keyword	flashback
keyword	cheating on girlfriend
keyword	backpacking
keyword	washing
keyword	english
keyword	survival
keyword	tooth extraction
keyword	box office flop
keyword	pleasure
keyword	grave
keyword	tropical island
keyword	swimming
keyword	chase
keyword	pursuit
keyword	blood drinking
keyword	happiness
keyword	jumping off a cliff
keyword	lagoon
keyword	ship
keyword	errand
keyword	burial
keyword	internet café
keyword	blood spatter
keyword	telephone call
keyword	listening to sex
keyword	police
keyword	secret island
keyword	dentist
keyword	drinking
keyword	field
keyword	passion
keyword	dead body
keyword	desire
keyword	drug trafficking
keyword	death of friend
keyword	based on novel
keyword	title spoken by character
keyword	
cast	Leonardo DiCaprio	Richard
cast	Daniel York	Hustler
cast	Patcharawan Patarakijjanon	Hotel Receptionist
cast	Virginie Ledoyen	Françoise
cast	Guillaume Canet	Étienne
cast	Robert Carlyle	Daffy
cast	Somboon Phutaroth	Cleaning Woman
cast	Weeratham 'Norman' Wichairaksakui	Detective
cast	Jak Boon	Travel Agent
cast	Peter Youngblood Hills	Zeph
cast	Jerry Swindall	Sammy
cast	Krongthong Thampradith	Woman with Key
cast	Apichart Chusakul	Senior Farmer
cast	Sanya 'Gai' Cheunjit	Farmer
cast	Kaneung 'Nueng' Kenia	Farmer
cast	Somchai Santitharangkun	Farmer
cast	Seng Kawee	Farmer
cast	Somkuan 'Kuan' Siroon	Farmer
cast	Paterson Joseph	Keaty
cast	Zelda Tinska	Sonja
cast	Victoria Smurfit	Weathergirl
cast	Daniel Caltagirone	Unhygenix
cast	Peter Gevisser	Gregorio
cast	Lars Arentz-Hansen	Bugs
cast	Tilda Swinton	Sal
cast	Lidija Zovkic	Mirjana
cast	Samuel Gough	Guitarman
cast	Staffan Kihlbom	Christo
cast	Jukka Hiltunen	Karl
cast	Magnus Lindgren	Sten
cast	Myriam Acharki	Beach Community Member
cast	Andrew Carmichael	Beach Community Member
cast	Josh Cole	Beach Community Member
cast	Hélène de Fougerolles	Beach Community Member
cast	Bindu De Stoppani	Beach Community Member
cast	Stacy Hart	Beach Community Member
cast	Nina Jacques	Beach Community Member
cast	Sheridan Jones	Beach Community Member
cast	Gunilla Karlson	Beach Community Member
cast	Sian Martin	Beach Community Member
cast	Isabella Seibert	Beach Community Member
cast	Elizabeth Thomas	Beach Community Member
cast	Michael Thorpe	Beach Community Member
cast	Timothy Webster	Beach Community Member
cast	Ramon Woolfe	Beach Community Member
cast	Saskia Mulder	Hilda
cast	Simone Huber	Eva
cast	Raweeporn 'Non' Srimonju	Sumet
cast	Irmelin DiCaprio	Woman in Bar
