year	2001
imdb score	7.3
meta score	75
genre	Drama
keyword	reporter
keyword	new york times
keyword	new york city
keyword	judaism
keyword	self loathing
keyword	argentinian
keyword	nazism
keyword	jewish community
keyword	flashback
keyword	stepping on someone's foot
keyword	sensitivity training
keyword	auschwitz
keyword	explosion
keyword	target practice
keyword	bookstore
keyword	waiter
keyword	racial slur
keyword	deification
keyword	intelligence
keyword	yarmulke
keyword	premarital sex
keyword	jewish caricature
keyword	desecration
keyword	hatred
keyword	reference to noam chomsky
keyword	jail
keyword	gun
keyword	father son relationship
keyword	holocaust
keyword	horse
keyword	anti semitism
keyword	fear
keyword	fantasy sequence
keyword	underwear
keyword	reference to god
keyword	sniper
keyword	notebook
keyword	nazi
keyword	economy
keyword	spit
keyword	capitalism
keyword	submission
keyword	concentration camp
keyword	star of david
keyword	vandalism
keyword	vomit
keyword	gentile
keyword	crucible
keyword	penis
keyword	anti semitic slur
keyword	murder
keyword	nomad
keyword	bomb
keyword	jacobs ladder
keyword	twenty something
keyword	television news
keyword	survivor
keyword	el train
keyword	orthodox jew
keyword	tattoo
keyword	blood
keyword	nudity
keyword	hypocrisy
keyword	terminal illness
keyword	oral sex
keyword	rosh hashanah
keyword	sadism
keyword	scorn
keyword	subway
keyword	storm trooper
keyword	suffering
keyword	topless female nudity
keyword	fascist
keyword	love
keyword	cross
keyword	ethnic hatred
keyword	racism
keyword	reference to hitler
keyword	irrational behavior
keyword	israeli
keyword	mezuzah
keyword	talmud
keyword	seminar
keyword	midrash
keyword	stairwell
keyword	bail
keyword	punched in the face
keyword	beating
keyword	jew
keyword	urination
keyword	israel
keyword	swastika
keyword	slow motion scene
keyword	yom kippur
keyword	calligraphy
keyword	language teaching
keyword	neo nazi
keyword	yeshiva
keyword	annihilism
keyword	jewish service
keyword	masochism
keyword	judge
keyword	list
keyword	motorcycle
keyword	word of god
keyword	law
keyword	bayonet
keyword	sex
keyword	mein kampf
keyword	credit card
keyword	war game
keyword	hate
keyword	lawyer
keyword	bar mitzvah
keyword	racist
keyword	kosher
keyword	race relations
keyword	family relationships
keyword	violence
keyword	argentina
keyword	weightlifting
keyword	courtroom
keyword	condescension
keyword	s&m
keyword	teenage boy
keyword	statue of liberty new york city
keyword	contamination
keyword	free will
keyword	secret
keyword	wanderer
keyword	writing in fire
keyword	identity crisis
keyword	torture
keyword	assassination
keyword	concentration camp survivor
keyword	german soldier
keyword	restaurant
keyword	reference to einstein
keyword	train
keyword	holocaust survivor
keyword	christianity
keyword	male nudity
keyword	synagogue
keyword	jewish nazi
keyword	self hate
keyword	teacher
keyword	forklift
keyword	african american
keyword	alphabet
keyword	obscene finger gesture
keyword	chosen people
keyword	yiddish
keyword	paranoia
keyword	kaddish
keyword	suicide threat
keyword	brother sister relationship
keyword	world war two
keyword	rifle
keyword	torah
keyword	mother son relationship
keyword	victim
keyword	temple
keyword	earphones
keyword	reference to freud
keyword	queens new york city
keyword	fighting
keyword	hebrew
keyword	survival
keyword	computer
keyword	reference to karl marx
keyword	moriah
keyword	shooting
keyword	assault
keyword	fight
keyword	militarism
keyword	skinhead
keyword	mountain
keyword	fascism
keyword	fbi
keyword	meat with dairy
keyword	business
keyword	reference to barbra streisand
keyword	memory
keyword	germany
keyword	eyeglasses
keyword	target shooting
keyword	female nudity
keyword	t shirt
keyword	fund raising
keyword	bare breasts
keyword	rabbi
keyword	father son estrangement
keyword	gun range
keyword	reference to denis leary
keyword	suicide
keyword	war crime
keyword	death
keyword	independent film
keyword	based on true story
keyword	
cast	Ryan Gosling	Danny Balint
cast	Peter Meadows	Orthodox Student
cast	Garret Dillahunt	Billings
cast	Kris Eivers	Carleton
cast	Joel Garland	O.L.
cast	Billy Zane	Curtis Zampf
cast	Theresa Russell	Lina Moebius
cast	Summer Phoenix	Carla Moebius
cast	Jack Drummond	Old Coot
cast	Sig Libowitz	Rav Zingesser
cast	James McCaffrey	Young Avi
cast	Jacob Green	Young Danny
cast	Frank Winters	Young Stuart
cast	Ronald Guttman	Danny's Father
cast	Heather Goldenhersh	Linda
cast	A.D. Miles	Guy Danielsen
cast	Tommy Nohilly	Whit
cast	Joshua Harto	Kyle
cast	Chuck Ardezzone	Chuck
cast	Glenn Fitzgerald	Drake
cast	Ebon Moss-Bachrach	First Waiter
cast	Christopher Kadish	Steve
cast	David Bailey	Judge
cast	Lucille Patton	Mrs. Frankel
cast	John Wills Martin	Hate Counselor
cast	Michael Marcus	Polish Man
cast	Roberto Gari	Ancient Jew
cast	Sascha Knopf	Cindy Pomerantz
cast	Tibor Feldman	Rabbi Greenwalt
cast	Henry Bean	Ilio Manzetti
cast	Dean Strober	Stuart
cast	Elizabeth Reaser	Miriam
cast	Jordan Lage	Roger Brand
cast	Judah Lazarus	Avi
cast	Samantha Brody	Rosh Hashana Attendee
cast	Michael Port	TV Reporter
cast	Carl Fischer	Guy's Photographer
cast	Harvey Lieberman	Man at Yom Kippur
cast	Eileen B. Weiss	Woman at Yom Kippur
cast	Marc Baron	Danny's Father - Flashback
cast	Brendan Patrick Connor	Skin Head
cast	Tovah Feldshuh	Woman in Shul at Rosh Hashannah
cast	Russell Gibson	Group Leader
cast	Zoe Hunter	Sarah Levy
cast	Natasha Leggero	Waitress
cast	Patrick Edward White	Worshiper
