year	2008
imdb score	6.9
meta score	55
genre	Adventure
genre	Comedy
genre	Drama
genre	Romance
keyword	eccentric
keyword	heiress
keyword	book
keyword	revenge
keyword	love
keyword	new jersey
keyword	character says i love you
keyword	camel
keyword	crying
keyword	lamborghini
keyword	russian
keyword	dancer
keyword	montenegro
keyword	unfaithfulness
keyword	dance
keyword	nitroglycerine
keyword	kiss
keyword	capture
keyword	finger gun
keyword	faked death
keyword	constipation
keyword	storm
keyword	infidelity
keyword	female nudity
keyword	scorecard
keyword	bomb
keyword	double barreled shotgun
keyword	flask
keyword	storytelling
keyword	falling in love
keyword	violin
keyword	chase
keyword	mansion
keyword	shootout
keyword	shot in the chest
keyword	rifle
keyword	voice over narration
keyword	snorricam
keyword	shuffleboard
keyword	card playing
keyword	fight
keyword	three word title
keyword	banjo
keyword	thunderstorm
keyword	montage
keyword	french
keyword	nonlinear timeline
keyword	car accident
keyword	shot in the back
keyword	st. petersburg russia
keyword	rain
keyword	train
keyword	hammock
keyword	berlin germany
keyword	guitar
keyword	mentor protégé relationship
keyword	orgasm
keyword	beating
keyword	bench
keyword	fake kidnapping
keyword	stealing an apple
keyword	greece
keyword	argentine
keyword	fistfight
keyword	con man
keyword	thief
keyword	husband wife relationship
keyword	broken glass
keyword	notebook
keyword	car flying through the air
keyword	hospital gown
keyword	one eyed man
keyword	mud
keyword	watermelon
keyword	mexico
keyword	ransom note
keyword	tied to a chair
keyword	apple
keyword	accordion
keyword	handshake
keyword	car crash
keyword	reference to the confidence man the novel
keyword	one legged cat
keyword	cigarette smoking
keyword	prologue
keyword	rose
keyword	church
keyword	forest
keyword	cave
keyword	character repeating someone else's dialogue
keyword	car bicycle accident
keyword	younger version of character
keyword	pinhole camera
keyword	jakarta indonesia
keyword	telescope
keyword	friendship
keyword	prague
keyword	stage performance
keyword	suitcase
keyword	binoculars
keyword	bar
keyword	small town
keyword	friend
keyword	machine gun
keyword	karaoke
keyword	mother daughter relationship
keyword	castle
keyword	salesman
keyword	sports car
keyword	premarital sex
keyword	chainsaw
keyword	cellophane
keyword	adultery
keyword	secret
keyword	presumed dead
keyword	reference to herman melville
keyword	juggling
keyword	tokyo japan
keyword	daydreamer
keyword	boat
keyword	seizure
keyword	explosive
keyword	freeze frame
keyword	pursuit
keyword	car
keyword	subtitled scene
keyword	photographer
keyword	hit by a car
keyword	car on fire
keyword	target practice
keyword	white suit
keyword	brother brother relationship
keyword	origami
keyword	helicopter
keyword	museum
keyword	shot to death
keyword	circular staircase
keyword	beach house
keyword	explosion
keyword	prayer book
keyword	piano player
keyword	police siren
keyword	deception
keyword	certified check
keyword	extramarital affair
keyword	burglary
keyword	airplane
keyword	fire
keyword	ping pong
keyword	running
keyword	camera
keyword	telegram
keyword	lightning
keyword	metronome
keyword	harp
keyword	seaside town
keyword	pistol
keyword	bicycle accident
keyword	falling into mud
keyword	theft
keyword	drawing
keyword	bicycle
keyword	zoo
keyword	face slap
keyword	flash forward
keyword	confession
keyword	car crashing into a tree
keyword	blood on shirt
keyword	hiding in a closet
keyword	gentleman
keyword	harmonica
keyword	police
keyword	bare butt
keyword	umbrella
keyword	thirty something
keyword	hospital
keyword	accidental shooting
keyword	portrait drawing
keyword	grifter
keyword	exploding building
keyword	double cross
keyword	caper
keyword	mute
keyword	beach
keyword	female rear nudity
keyword	blood
keyword	arm sling
keyword	bowler hat
keyword	money
keyword	girl
keyword	pretending to be a smuggler
keyword	spotlight
keyword	piano
keyword	abandoned theatre
keyword	car chase
keyword	children
keyword	epileptic
keyword	inner title card
keyword	ice cream
keyword	bundle of money
keyword	dancing
keyword	ship
keyword	flashback
keyword	shotgun
keyword	title spoken by narrator
keyword	sing along
keyword	drink
keyword	larceny
keyword	robbery
keyword	cat
keyword	belgian
keyword	boy
keyword	exploding car
keyword	woods
keyword	singing
keyword	reverse footage
keyword	eye patch
keyword	police car
keyword	shooting through a door
keyword	journal
keyword	gun
keyword	theatre
keyword	statue
keyword	hermit
keyword	photograph
keyword	starting over
keyword	card trick
keyword	escape
keyword	cheating
keyword	party
keyword	harpist
keyword	foster family
keyword	telephone call
keyword	park
keyword	drinking
keyword	fake blood
keyword	punched in the face
keyword	unicycle
keyword	volkswagen
keyword	death of brother
keyword	slow motion scene
keyword	fantasy sequence
keyword	cut hand
keyword	gun battle between cars
keyword	smuggler
keyword	character name in title
keyword	title spoken by character
keyword	
cast	Rachel Weisz	Penelope
cast	Adrien Brody	Bloom
cast	Mark Ruffalo	Stephen
cast	Rinko Kikuchi	Bang Bang
cast	Robbie Coltrane	Curator
cast	Maximilian Schell	Diamond Dog
cast	Ricky Jay	Narrator
cast	Zachary Gordon	Young Bloom
cast	Max Records	Young Stephen
cast	Andy Nyman	Charleston
cast	Noah Segan	The Duke
cast	Nora Zehetner	Rose
cast	Ram Bergman	Himself
cast	Craig Johnson	Apple Cart Vendor
cast	Dubravko Jovanovic	Albino
cast	Esme Tyler	Young Girl
cast	Jovan Vitas	Young Boy
cast	Ana Sofrenovic	Charleston's Wife
cast	Vladimír Kulhavý	Chief of Police
cast	Alek Rodic	Snack Car Attendant
cast	Josif Tatic	Oafish Foster Father
cast	Slobodan Custic	Foster Dad
cast	Branka Pujic	Foster Mom
cast	George Bocchetti	Excited Boy
cast	Ellis Derham	Excited Boy
cast	Didier Dell Benjamin	Party Guest
cast	Joseph Gordon-Levitt	Bar Patron
cast	Lukas Haas	Bar Patron
cast	Stefan Kapicic	German Bar Owner
