year	1994
imdb score	7.6
meta score	N/A
genre	Action
genre	Fantasy
keyword	crow
keyword	death
keyword	the crow
keyword	halloween
keyword	revenge
keyword	devil's night
keyword	shooting
keyword	violence
keyword	gothic
keyword	arson
keyword	vigilante
keyword	crime boss
keyword	sword
keyword	back from the dead
keyword	murder
keyword	undead
keyword	shot in the arm
keyword	hero
keyword	shot to death
keyword	nihilism
keyword	mysterious villain
keyword	slaughter
keyword	police
keyword	psychopath
keyword	gun battle
keyword	brutality
keyword	strapped with tape inside a car
keyword	guitar player
keyword	based on comic
keyword	falling off a roof
keyword	one against many
keyword	fence
keyword	gang rape
keyword	action hero
keyword	gore
keyword	poetic justice
keyword	waitress
keyword	nudity
keyword	black cop
keyword	hot dog stand
keyword	sergeant
keyword	detroit michigan
keyword	shot in the chest
keyword	tied to a chair
keyword	action noir
keyword	gunfight
keyword	rock music
keyword	shot in the back
keyword	death of title character
keyword	sword duel
keyword	lead actor's last film
keyword	superhero
keyword	rape
keyword	stabbed in the throat
keyword	hole in hand
keyword	hot dog
keyword	main character dies
keyword	allegory
keyword	character repeating someone else's dialogue
keyword	directorial debut
keyword	incest
keyword	katana sword
keyword	villainess
keyword	bullet ballet
keyword	martial arts
keyword	body landing on a car
keyword	inner city
keyword	child in peril
keyword	musician in cast
keyword	syringe
keyword	female nudity
keyword	supernatural power
keyword	drinking game
keyword	overhead shot
keyword	female rear nudity
keyword	stabbed to death
keyword	dark hero
keyword	mother daughter relationship
keyword	blood
keyword	origin of hero
keyword	star died before release
keyword	gun duel
keyword	dark fantasy
keyword	crowd surfing
keyword	rooftop fight
keyword	hand to hand combat
keyword	pawnshop
keyword	tragic love
keyword	urban setting
keyword	blood splatter
keyword	person on fire
keyword	justice
keyword	bathtub
keyword	reference to amelia earhart
keyword	stabbed in the chest
keyword	drunkenness
keyword	jewelry
keyword	afterlife
keyword	graveyard
keyword	gun sau
keyword	bomb
keyword	black comedy
keyword	falling off a balcony
keyword	guitar
keyword	bird
keyword	warrior
keyword	rooftop
keyword	gun kata
keyword	kung fu
keyword	zombie
keyword	rain fight
keyword	duel
keyword	church
keyword	flashback
keyword	exit wound
keyword	montage
keyword	abandoned church
keyword	charred body
keyword	combat
keyword	skateboard
keyword	rave
keyword	impalement
keyword	shootout
keyword	stabbed in the hand
keyword	instant healing
keyword	flashback montage
keyword	nocturnal
keyword	based on comic book
keyword	dual wield
keyword	based on graphic novel
keyword	eyes pecked out
keyword	breakfast
keyword	fart joke
keyword	marriage proposal
keyword	mixed martial arts
keyword	rain
keyword	eve of wedding
keyword	neo noir
keyword	tragic hero
keyword	bombed out ruins
keyword	righteous rage
keyword	gun
keyword	junkie
keyword	one man army
keyword	voice over narration
keyword	drug overdose
keyword	dead man
keyword	engagement ring
keyword	shootout
keyword	freeze frame
keyword	gunshot
keyword	helicopter chase
keyword	rebirth
keyword	good versus evil
keyword	fade to black
keyword	death of cast member
keyword	reference to jesus christ
keyword	shower
keyword	knife throwing
keyword	rock musician
keyword	shot in the hand
keyword	throat slitting
keyword	unkempt long hair
keyword	cold case
