year	1944
imdb score	7.0
meta score	N/A
genre	Drama
genre	Family
keyword	sequel
keyword	cat
keyword	imaginary friend
keyword	actress
keyword	kiss on the forehead
keyword	face slap
keyword	telephone call
keyword	falling in snow
keyword	little blue boy painting
keyword	friendship
keyword	christmas
keyword	reference to saint george and the dragon
keyword	reference to shakespeare's macbeth
keyword	child's point of view
keyword	photograph
keyword	fear
keyword	christmas carol
keyword	daydreaming
keyword	party invitation
keyword	burning a photograph
keyword	burning leaves
keyword	dead wife
keyword	policeman
keyword	shadow
keyword	second wife
keyword	brushing one's hair
keyword	headless horseman
keyword	taxidermied animal
keyword	hearing voices
keyword	piano
keyword	jamaican
keyword	lie
keyword	dragging a board along a picket fence
keyword	flashlight
keyword	fireplace
keyword	reference to the king of spain
keyword	butterfly
keyword	search
keyword	looking out a window
keyword	tea
keyword	liar
keyword	snow
keyword	sleeping
keyword	catching a butterfly
keyword	card playing
keyword	toy bird
keyword	tarrytown new york
keyword	dream world
keyword	retired actress
keyword	strangulation threat
keyword	handkerchief
keyword	lullaby
keyword	nightmare
keyword	candle
keyword	christmas present
keyword	picket fence
keyword	mailbox
keyword	door knocker
keyword	eccentric woman
keyword	dog
keyword	paranoia
keyword	story telling
keyword	flickering light
keyword	curse
keyword	mummers play
keyword	singing
keyword	old woman
keyword	wish
keyword	child in peril
keyword	woods
keyword	ghost
keyword	dying
keyword	piano player
keyword	garden
keyword	husband wife relationship
keyword	tiddely winks
keyword	murder threat
keyword	backyard
keyword	food
keyword	tree
keyword	children
keyword	watching
keyword	spanking
keyword	false accusation
keyword	cane
keyword	loneliness
keyword	game playing
keyword	doll
keyword	imagination
keyword	reference to rapunzel
keyword	servant
keyword	four poster bed
keyword	chalkboard
keyword	teacher student relationship
keyword	teacher
keyword	mail
keyword	old dark house
keyword	promise
keyword	mother daughter relationship
keyword	wind
keyword	dead mother
keyword	kindergarten
keyword	workshop
keyword	ring
keyword	gift
keyword	tire snow chain
keyword	sleepy hollow new york
keyword	bouncing a ball
keyword	hair brush
keyword	bicycle
keyword	poem
keyword	telephone
keyword	singer
keyword	song
keyword	bloodhound
keyword	locked door
keyword	pond
keyword	model ship
keyword	father daughter relationship
keyword	supposed impostor
keyword	snowing
keyword	christmas tree
keyword	death
keyword	reference to william shakespeare
keyword	dead daughter
keyword	stairway
keyword	vacuum cleaner
keyword	painting
keyword	brooch
keyword	childhood
keyword	party
keyword	birthday party
keyword	gargoyle
keyword	book
keyword	christmas caroling
keyword	punishment
keyword	birthday cake
keyword	falling leaves
keyword	death of mother
keyword	
cast	Simone Simon	Ghost of Irena
cast	Kent Smith	Oliver 'Ollie' Reed
cast	Jane Randolph	Alice Reed
cast	Ann Carter	Amy Reed
cast	Eve March	Miss Callahan
cast	Julia Dean	Mrs. Julia Farren
cast	Elizabeth Russell	Barbara Farren
cast	Erford Gage	Police Captain
cast	Sir Lancelot	Edward
cast	Charles Bates	Jack
cast	Linda Bieber	Little Girl
cast	Joel Davis	Donald Miller
cast	Gloria Donovan	Little Girl
cast	Edmund Glover	Card Playing Guest
cast	Nita Hunter	Lois Huggins
cast	Sarah Selby	Miss Plumett, Caroler
cast	Mel Sternlight	State Trooper
cast	Ginny Wren	Little Girl
