year	2012
imdb score	8.6
meta score	78
genre	Action
genre	Crime
genre	Thriller
keyword	police
keyword	commissioner
keyword	thief
keyword	murder
keyword	fight
keyword	manor
keyword	redemption
keyword	beaten to death
keyword	pickpocket
keyword	inheritance
keyword	funeral
keyword	reluctant hero
keyword	torture
keyword	epic
keyword	car crash
keyword	chaos
keyword	crashing through a window
keyword	special forces
keyword	collapsed bridge
keyword	hostage situation
keyword	fugitive
keyword	mixed martial arts
keyword	father figure
keyword	haunted by the past
keyword	police department
keyword	tragic hero
keyword	tough girl
keyword	heist
keyword	letter of resignation
keyword	costume
keyword	lens flare
keyword	class differences
keyword	tunnel
keyword	tank
keyword	night cityscape
keyword	bomb
keyword	walking cane
keyword	rifle
keyword	stabbed in the back
keyword	double cross
keyword	employee dismissal
keyword	airplane
keyword	necklace
keyword	burglary
keyword	destruction
keyword	fighter jet
keyword	deception
keyword	waterfall
keyword	escalation
keyword	barefoot
keyword	cell phone
keyword	sawed off shotgun
keyword	explosive decompression
keyword	socialite
keyword	strong man
keyword	sniper rifle
keyword	pearl necklace
keyword	italy
keyword	tribute
keyword	computer
keyword	gunfight
keyword	faked death
keyword	football field
keyword	warlord
keyword	city in peril
keyword	high tech suit
keyword	butler
keyword	looting
keyword	power outage
keyword	disguise
keyword	fireplace
keyword	hand grenade
keyword	young version of character
keyword	boardroom
keyword	national guard
keyword	offscreen killing
keyword	armory
keyword	commando
keyword	scientist
keyword	snow
keyword	femme fatale
keyword	prison guard
keyword	nuclear explosion
keyword	escape
keyword	crime fighter
keyword	sequel
keyword	tough guy
keyword	returning character killed off
keyword	motorcycle
keyword	maid
keyword	combat
keyword	isolation
keyword	prison riot
keyword	bag over head
keyword	stealing a car
keyword	third part
keyword	news report
keyword	nuclear threat
keyword	knocked out
keyword	brawl
keyword	walkie talkie
keyword	2010s
keyword	prison
keyword	jumping through a window
keyword	machine gun
keyword	timebomb
keyword	masked hero
keyword	orphan
keyword	gas mask
keyword	police officer shot
keyword	orphanage
keyword	gatling gun
keyword	ball
keyword	pentagon
keyword	death
keyword	armorer
keyword	neck breaking
keyword	shot in the chest
keyword	kicked in the stomach
keyword	trap
keyword	statue
keyword	m109 paladin self propelled howitzer
keyword	hostage killed
keyword	tyranny
keyword	bow and arrow
keyword	hostile takeover
keyword	burglar
keyword	dead boy
keyword	helicopter
keyword	footballer
keyword	good versus evil
keyword	photograph
keyword	psychopath
keyword	tracking device
keyword	court trial
keyword	hospital bed
keyword	theft
keyword	shot in the leg
keyword	mercenary
keyword	bare chested male
keyword	judge
keyword	terrorism
keyword	exploding car
keyword	cave in
keyword	police vigilantism
keyword	release from prison
keyword	thug
keyword	hidden room
keyword	interrogation
keyword	dc comics
keyword	henchman
keyword	limousine
keyword	commando unit
keyword	armored car
keyword	catwoman
keyword	chef
keyword	uzi
keyword	cave
keyword	jumping from height
keyword	corpse
keyword	bar
keyword	congressman
keyword	security guard
keyword	exploding bridge
keyword	female villain
keyword	carjacking
keyword	dungeon
keyword	evacuation
keyword	cat burglar
keyword	newspaper clipping
keyword	revelation
keyword	leg brace
keyword	analgesic
keyword	hostage drama
keyword	hanged man
keyword	robbery
keyword	satellite
keyword	muscleman
keyword	watching tv
keyword	legend
keyword	car accident
keyword	battle
keyword	broken back
keyword	star spangled banner
keyword	terrorist attack
keyword	shotgun
keyword	gasoline
keyword	mushroom cloud
keyword	captain
keyword	fictional city
keyword	surveillance
keyword	detonator
keyword	claim in title
keyword	police officer killed
keyword	brutality
keyword	vigilantism
keyword	physicist
keyword	terrorist plot
keyword	stock exchange
keyword	bat
keyword	flashback
keyword	airplane accident
keyword	desert
keyword	flash drive
keyword	football stadium
keyword	face mask
keyword	home safe
keyword	commando mission
keyword	mayor
keyword	hostage taker
keyword	betrayal
keyword	costumed hero
keyword	city hall
keyword	rope
keyword	beating
keyword	masked vigilante
keyword	dance
keyword	lawlessness
keyword	heroism
keyword	parking garage
keyword	sniper
keyword	fire
keyword	showdown
keyword	school bus
keyword	cia agent
keyword	chase
keyword	manhole
keyword	pistol
keyword	soldier
keyword	rooftop
keyword	cover up
keyword	missile
keyword	gadgetry
keyword	corporate corruption
keyword	terrorist group
keyword	motorcycle chase
keyword	based on comic
keyword	gas explosion
keyword	city state
keyword	compound bow
keyword	four word title
keyword	car motorcycle chase
keyword	jumping from a rooftop
keyword	secret room
keyword	exploding body
keyword	safe
keyword	shot to death
keyword	no opening credits
keyword	road blockade
keyword	ambulance
keyword	villainess
keyword	nuclear physicist
keyword	u.s. president
keyword	kidnapping
keyword	wet jeans
keyword	lambourgini gallardo
keyword	priest
keyword	altered version of studio logo
keyword	conspiracy
keyword	one against many
keyword	race against time
keyword	reference to robin hood
keyword	destruction of a bridge
keyword	rescue
keyword	suicide
keyword	press conference
keyword	vigilante
keyword	national anthem
keyword	bus
keyword	siege
keyword	detective
keyword	rocket
keyword	assassin
keyword	mansion
keyword	hand to hand combat
keyword	character's point of view camera shot
keyword	time bomb
keyword	knocked out with gun butt
keyword	police commissioner
keyword	exile
keyword	kiss
keyword	security camera
keyword	swat team
keyword	blockbuster
keyword	duel
keyword	riot
keyword	punched in the chest
keyword	exploding airplane
keyword	media coverage
keyword	c 130 hercules
keyword	prison escape
keyword	chanting
keyword	product placement
keyword	on the run
keyword	gadget
keyword	rumble
keyword	exploding building
keyword	subway
keyword	knife
keyword	gas
keyword	show trial
keyword	letter read aloud
keyword	killer
keyword	revenge
keyword	super strength
keyword	football
keyword	shot in the back
keyword	imprisonment
keyword	police chase
keyword	russian
keyword	laptop
keyword	swat
keyword	homelessness
keyword	masked woman
keyword	falling from height
keyword	loyalty
keyword	one woman army
keyword	anti heroine
keyword	mid air transfer
keyword	rescue attempt
keyword	kicked in the face
keyword	police station
keyword	secret door
keyword	presumed dead
keyword	martial arts
keyword	child in peril
keyword	die hard scenario
keyword	terrorist
keyword	strangulation
keyword	police officer shot in the back
keyword	dark hero
keyword	female warrior
keyword	flood
keyword	female vigilante
keyword	hallucination
keyword	corrupt businessman
keyword	airplane hijacking
keyword	woman fights man
keyword	hospital
keyword	nuclear bomb
keyword	action hero
keyword	criminal underworld
keyword	trapped
keyword	stylized violence
keyword	hostage
keyword	sewer
keyword	police detective
keyword	construction site
keyword	underground
keyword	pistol whip
keyword	street shootout
keyword	aircraft
keyword	flare
keyword	cafe
keyword	apartment
keyword	bloody body of child
keyword	mask
keyword	tragic villain
keyword	hope
keyword	apple
keyword	masked man
keyword	woman kills man
keyword	massacre
keyword	shaving
keyword	little black dress
keyword	explosion
keyword	coup
keyword	crash
keyword	district attorney
keyword	end of trilogy
keyword	foot chase
keyword	punched in the face
keyword	blockade
keyword	grand piano
keyword	character repeating someone else's dialogue
keyword	graveyard
keyword	appeared on tv news
keyword	jail cell
keyword	piano
keyword	shootout
keyword	neo noir
keyword	self sacrifice
keyword	assassination attempt
keyword	sociopath
keyword	falling through ice
keyword	no title at beginning
keyword	newspaper headline
keyword	master thief
keyword	action heroine
keyword	superhero
keyword	impalement
keyword	title at the end
keyword	one man army
keyword	army
keyword	police officer
keyword	female thief
keyword	based on comic book
keyword	police officer shot in the chest
keyword	rookie cop
keyword	fresh start
keyword	filmed killing
keyword	super villain
keyword	warrior
keyword	investigation
keyword	stabbed in the chest
keyword	coming out of retirement
keyword	explosive
keyword	airport
keyword	ak 47
keyword	kitchen
keyword	confidant
keyword	escape attempt
keyword	execution
keyword	billionaire
keyword	bound and gagged
keyword	subterranean
keyword	final battle
keyword	fistfight
keyword	truck
keyword	prison officer
keyword	home invasion
keyword	held at gunpoint
keyword	prisoner
keyword	anti hero
keyword	court
keyword	ambush
keyword	u.s. army
keyword	memorial
keyword	taxi
keyword	hummer
keyword	military
keyword	character appears on front page of a newspaper
keyword	bridge
keyword	fingerprint
keyword	surprise ending
keyword	
cast	Christian Bale	Bruce Wayne
cast	Gary Oldman	Commissioner Gordon
cast	Tom Hardy	Bane
cast	Joseph Gordon-Levitt	Blake
cast	Anne Hathaway	Selina
cast	Marion Cotillard	Miranda
cast	Morgan Freeman	Fox
cast	Michael Caine	Alfred
cast	Matthew Modine	Foley
cast	Alon Aboutboul	Dr. Pavel
cast	Ben Mendelsohn	Daggett
cast	Burn Gorman	Stryver
cast	Daniel Sunjata	Captain Jones
cast	Aidan Gillen	CIA Op
cast	Sam Kennard	Special Ops Sergeant
cast	Aliash Tepina	Hooded Man #2
cast	Nestor Carbonell	Mayor
cast	Brett Cullen	Congressman
cast	Nick Julian	Caterer
cast	Miranda Nolan	Maid #2
cast	Claire Julien	Maid #3
cast	Reggie Lee	Ross
cast	Joseph Lyle Taylor	DWP Man
cast	Chris Ellis	Fr. Reilly
cast	Tyler Dean Flores	Mark
cast	Juno Temple	Jen
cast	Duane Henry	SWAT in Dive Bar
cast	James Harvey Ward	SWAT in Alley
cast	Gonzalo Menendez	Cop in Manhole
cast	Cameron Jack	Sewer Thug #1
cast	Lex Daniel	Sewer Thug #2
cast	Thomas Lennon	Doctor
cast	Trevor White	Yuppie
cast	Rob Brown	Allen
cast	Fredric Lehne	Exchange Security Chief
cast	Courtney Munch	Female Security Guard
cast	Chris Hill	Paparazzi #1
cast	Travis Guba	Paparazzi #2
cast	Jay Benedict	Rich Twit
cast	Will Estes	Officer Simon Jansen
cast	David Dayan Fisher	Shoe Shine Man at GSE
cast	Phillip James Griffith	Sniper at Exchange
cast	Glen Powell	Trader #1
cast	Ben Cornish	Trader #2
cast	Russ Fega	Trader #3
cast	Andres Perez-Molina	Valet at Museum
cast	Brent Briscoe	Veteran Cop
cast	John Nolan	Fredericks
cast	Oliver Cotton	2 Star Air Force General
cast	Mark Killeen	Airport Cop
cast	Sarah Goldberg	Analyst #1
cast	John Macmillan	Analyst #2
cast	Robert Wisdom	Army Captain at Bridge
cast	Ronnie Gene Blevins	Cement Truck Driver
cast	John Hollingworth	CIA Analyst
cast	Ian Bohen	Cop with Gordon
cast	Uri Gavriel	Blind Prisoner
cast	Noel Gugliemi	Ex-Prisoner at River
cast	Max Schuler	Foley's Kid
cast	Daina Griffith	Foley's Wife
cast	Hector Atreyu Ruiz	Gangbanger
cast	Patrick Cox	Huge Inmate
cast	Aramis Knight	Kid with Apple
cast	Josh Stewart	Barsad
cast	William Devane	President
cast	Harry Coles	Younger Prison Child
cast	Joey King	Older Prison Child
cast	Liam Neeson	Ra's Al Ghul
