year	1978
imdb score	8.2
meta score	73
genre	Drama
genre	War
keyword	vietnam
keyword	russian roulette
keyword	escape
keyword	pennsylvania
keyword	vietcong
keyword	vietnam war
keyword	party
keyword	friend
keyword	wedding
keyword	bar
keyword	steel mill
keyword	deer hunting
keyword	suicide
keyword	blockbuster
keyword	steel worker
keyword	green beret
keyword	battle
keyword	pay phone
keyword	hunting trip
keyword	playing pool
keyword	god bless america
keyword	bride and groom
keyword	violence
keyword	bullet
keyword	frenchman abroad
keyword	choir
keyword	helicopter
keyword	drinking
keyword	mischief
keyword	crying
keyword	multiple amputee
keyword	luck
keyword	face slap
keyword	sundog
keyword	wedding cake
keyword	shot in the head
keyword	urination
keyword	controversy
keyword	toast
keyword	return from war
keyword	singer
keyword	waterfall
keyword	beer
keyword	drug use
keyword	war crime
keyword	drug addict
keyword	small town
keyword	american indian
keyword	prostitute
keyword	deer
keyword	special forces
keyword	american flag
keyword	male frontal nudity
keyword	boyfriend girlfriend relationship
keyword	bruise
keyword	gun
keyword	tuxedo
keyword	three word title
keyword	paraplegic
keyword	graveyard
keyword	catholic
keyword	photograph
keyword	fur hat
keyword	corporal
keyword	tears
keyword	russian orthodox
keyword	marriage proposal
keyword	reference to abc news
keyword	abacus
keyword	breakfast
keyword	supermarket
keyword	telephone call
keyword	pool
keyword	chase
keyword	machine gun
keyword	reckless driving
keyword	nurse
keyword	motorized wheelchair
keyword	dead deer strapped to hood of car
keyword	telephone
keyword	man on fire
keyword	embassy
keyword	south vietnam
keyword	bicycle
keyword	polish american
keyword	shower
keyword	football
keyword	dancer
keyword	veterans hospital
keyword	piano
keyword	catholic church
keyword	psychological torture
keyword	capture
keyword	north vietnamese
keyword	doctor
keyword	sergeant
keyword	thermal socks
keyword	cemetery
keyword	father daughter relationship
keyword	reference to grace kelly
keyword	veterans of foreign wars
keyword	reference to john wayne
keyword	wine
keyword	water rat
keyword	drink
keyword	rooftop
keyword	surprise party
keyword	kiss
keyword	vfw
keyword	bombing
keyword	helicopter rescue
keyword	french
keyword	frenchman
keyword	motorcycle
keyword	native american
keyword	public nudity
keyword	gambling
keyword	whorehouse
keyword	staff sergeant
keyword	marriage
keyword	gay slur
keyword	forest ranger
keyword	welcome home party
keyword	orthodox christian
keyword	u.s. army
keyword	camera
keyword	footbridge
keyword	dancing
keyword	beating
keyword	hunter
keyword	river
keyword	hearse
keyword	filmed in mirror
keyword	facial bruise
keyword	bridge
keyword	vietnam veteran
keyword	cage
keyword	bridal gown
keyword	rolling rock beer
keyword	wedding reception
keyword	russian american
keyword	falling rock
keyword	tv news
keyword	song
keyword	socks
keyword	bridesmaid
keyword	sweater
keyword	group of friends
keyword	stock footage
keyword	south vietnamese
keyword	phone booth
keyword	stuffed deer head
keyword	blood
keyword	flamethrower
keyword	sex scene
keyword	singing
keyword	boots
keyword	brutality
keyword	toy gun
keyword	broken leg
keyword	sing along
keyword	friendship
keyword	twinkie the pastry
keyword	patriotism
keyword	priest
keyword	spit in the face
keyword	prostitution
keyword	drunkenness
keyword	nudity
keyword	go go dancer
keyword	reflection in window
keyword	death
keyword	fire
keyword	southeast asia
keyword	mother son relationship
keyword	pool cue
keyword	crown
keyword	pool table
keyword	pig
keyword	u.s. soldier
keyword	coffin
keyword	polka
keyword	murder
keyword	amputee
keyword	refugee
keyword	gun held to head
keyword	rescue
keyword	basketball
keyword	homecoming
keyword	bowling alley
keyword	convertible
keyword	military police
keyword	ho chi minh
keyword	husband wife relationship
keyword	domestic violence
keyword	punched in the face
keyword	promise
keyword	falling from height
keyword	coup de ville
keyword	band
keyword	deer hunter
keyword	cockfight
keyword	underwear
keyword	hand on butt
keyword	pittsburgh steelers
keyword	forced march
keyword	cadillac
keyword	nostrova
keyword	allegheny mountains
keyword	rat
keyword	dance
keyword	saigon vietnam
keyword	cabin
keyword	bride
keyword	blue collar
keyword	wheelchair
keyword	auditorium
keyword	blowing out brains
keyword	hunting
keyword	prisoner of war
keyword	candle
keyword	rifle
keyword	hand grenade
keyword	torture
keyword	mustard
keyword	hospital
keyword	clairton pennsylvania
keyword	loyalty
keyword	funeral
keyword	aircraft carrier
keyword	piano player
keyword	rooster
keyword	dead body
keyword	animal in title
keyword	suicide by gunshot
keyword	stretcher
keyword	burial
keyword	hypodermic needle
keyword	locker room
keyword	casket
keyword	shooting up
keyword	cult film
keyword	motel
keyword	bingo
keyword	betting
keyword	taxi
keyword	1960s
keyword	male nudity
keyword	mp
keyword	pregnancy
keyword	mountain
keyword	vietnamese
keyword	watching tv
keyword	fall of saigon
keyword	bowling
keyword	fear
keyword	dead deer
keyword	eggs
keyword	epic
keyword	army hospital
keyword	veterans administration
keyword	explosion
keyword	tonka truck
keyword	double amputee
keyword	gore
keyword	north vietnam
cast	Robert De Niro	Michael
cast	John Cazale	Stan
cast	John Savage	Steven
cast	Christopher Walken	Nick
cast	Meryl Streep	Linda
cast	George Dzundza	John
cast	Chuck Aspegren	Axel
cast	Shirley Stoler	Steven's Mother
cast	Rutanya Alda	Angela
cast	Pierre Segui	Julien
cast	Mady Kaplan	Axel's Girl
cast	Amy Wright	Bridesmaid
cast	Mary Ann Haenel	Stan's Girl
cast	Richard Kuss	Linda's Father
cast	Joe Grifasi	Bandleader
cast	Christopher Colombi Jr.	Wedding Man
cast	Victoria Karnafel	Sad Looking Girl
cast	Jack Scardino	Cold Old Man
cast	Joe Strnad	Bingo Caller
cast	Helen Tomko	Helen
cast	Paul D'Amato	Sergeant
cast	Dennis Watlington	Cab Driver
cast	Charlene Darrow	Red Head
cast	Jane-Colette Disko	Girl Checker
cast	Michael Wollet	Stock Boy
cast	Robert Beard	World War Veteran
cast	Joe Dzizmba	World War Veteran
cast	Stephen Kopestonsky	Priest
cast	John F. Buchmelter III	Bar Patron
cast	Frank Devore	Barman
cast	Tom Becker	Doctor
cast	Lynn Kongkham	Nurse
cast	Nongnuj Timruang	Bar Girl
cast	Po Pao Pee	Chinese Referee
cast	Dale Burroughs	Embassy Guard
cast	Parris Hicks	Sergeant
cast	Samui Muang-Intata	Chinese Bodyguard
cast	Sapox Colisium	Chinese Man
