year	2006
imdb score	8.5
meta score	86
genre	Crime
genre	Drama
genre	Thriller
keyword	police
keyword	undercover
keyword	state police
keyword	criminal
keyword	mole
keyword	informer
keyword	investigation
keyword	irish american
keyword	double life
keyword	arrest
keyword	boston
keyword	police officer
keyword	undercover cop
keyword	organized crime
keyword	danger
keyword	irish mafia
keyword	mafia
keyword	friend
keyword	mobster
keyword	bloodbath
keyword	police cadet
keyword	badge
keyword	restaurant
keyword	leather jacket
keyword	torn shirt
keyword	prescription
keyword	policeman uniform
keyword	alleyway
keyword	psychiatrist
keyword	gunfight
keyword	taiwan
keyword	irish slur
keyword	text message
keyword	prison
keyword	humiliation
keyword	wind chime
keyword	photograph
keyword	watching an opera
keyword	stabbed with an ice pick
keyword	gas station
keyword	blood
keyword	no title at beginning
keyword	sex in bed
keyword	racial slur
keyword	dead man
keyword	high heels
keyword	hands tied behind back
keyword	main character shot
keyword	dark humor
keyword	wiretapping
keyword	tattoo
keyword	spy
keyword	robbery
keyword	stabbed in the chest
keyword	psychoanalysis
keyword	espionage
keyword	screaming
keyword	flashback
keyword	ice cream parlor
keyword	long take
keyword	ambush
keyword	nudity
keyword	extramarital affair
keyword	car accident
keyword	oxycontin
keyword	parallel montage
keyword	racism
keyword	one million dollars
keyword	abandoned building
keyword	school bus
keyword	mercilessness
keyword	drugs
keyword	murder witness
keyword	housing project
keyword	self inflicted gunshot wound
keyword	stabbing
keyword	tough guy
keyword	running
keyword	drug trade
keyword	car crash
keyword	chinatown boston
keyword	apartment
keyword	swamp
keyword	wound
keyword	bloody nose
keyword	underwear
keyword	wedding ring
keyword	theatre box
keyword	dinner date
keyword	reference to william shakespeare
keyword	molotov cocktail
keyword	falling from height
keyword	kiss
keyword	cop killer
keyword	bitterness
keyword	obscene finger gesture
keyword	ethnic hatred
keyword	brunette
keyword	slap
keyword	guilt
keyword	cult film
keyword	gangster
keyword	warrant
keyword	police car
keyword	flash camera
keyword	black panties
keyword	eating
keyword	pregnancy
keyword	mob violence
keyword	remake
keyword	killing
keyword	apartment building
keyword	drunkenness
keyword	flowers
keyword	porno theater
keyword	pakistani american
keyword	cranberry juice
keyword	boat
keyword	spanking
keyword	computer
keyword	thong
keyword	racial prejudice
keyword	polish slur
keyword	shot in the leg
keyword	bra
keyword	irish gangster
keyword	reference to james joyce
keyword	interview
keyword	food
keyword	blowing smoke rings
keyword	deerfield massachusetts
keyword	prologue
keyword	kitchen
keyword	impotence
keyword	mob boss
keyword	chinese american
keyword	dock
keyword	rage
keyword	shot in the knee
keyword	graveyard
keyword	counter espionage
keyword	bleeding to death
keyword	shower
keyword	state trooper
keyword	chinese mob
keyword	pursuit
keyword	pills
keyword	captain
keyword	chinese slur
keyword	coffin
keyword	ambulance
keyword	photography
keyword	nun
keyword	homeland security
keyword	slide show
keyword	irish mob
keyword	beeper
keyword	watching tv
keyword	penitentiary
keyword	brawl
keyword	confession
keyword	criminal syndicate
keyword	self deception
keyword	lawyer
keyword	reference to john lennon
keyword	fire
keyword	liar
keyword	beating
keyword	cleavage
keyword	mentor
keyword	shootout
keyword	prostitute
keyword	kicking
keyword	knife in the chest
keyword	gun dealer
keyword	ira
keyword	killed in an elevator
keyword	handcuffs
keyword	street shootout
keyword	montage
keyword	rain
keyword	money
keyword	fondling
keyword	home
keyword	news report
keyword	golf club
keyword	asian gangster
keyword	broken arm
keyword	strangulation
keyword	triad
keyword	nasa
keyword	deception
keyword	explosion
keyword	scantily clad female
keyword	angel costume
keyword	assault and battery
keyword	magnifying glass
keyword	heroin
keyword	police surveillance
keyword	mobile phone
keyword	pride
keyword	hideout
keyword	blood spatter
keyword	suicide thoughts
keyword	accidental killing
keyword	opera
keyword	jail
keyword	police station
keyword	shooting
keyword	realtor
keyword	shot in the forehead
keyword	punched in the face
keyword	infidelity
keyword	pain
keyword	shot in the face
keyword	fbi agent
keyword	cd
keyword	killer
keyword	menstruation
keyword	diner
keyword	van
keyword	interrogation
keyword	lie
keyword	sex scene
keyword	mob hit
keyword	sonogram
keyword	doubt
keyword	governor
keyword	thrown from a building
keyword	silencer
keyword	beaten to death
keyword	fight
keyword	telephone call
keyword	ethnic slur
keyword	boyfriend girlfriend relationship
keyword	massachusetts state trooper
keyword	torture
keyword	shot in the chest
keyword	murder
keyword	arson
keyword	tv monitor
keyword	kneed in the crotch
keyword	car
keyword	breaking down a door
keyword	job promotion
keyword	comic book
keyword	vagina
keyword	reference to knights of columbus
keyword	street gang
keyword	severed hand
keyword	reference to abraham lincoln
keyword	kissing while having sex
keyword	translator
keyword	blood stain
keyword	rooftop
keyword	ice pick
keyword	destruction
keyword	dead woman on a beach
keyword	blood on shirt
keyword	suffolk county massachusetts
keyword	informant
keyword	product placement
keyword	mind game
keyword	heart attack
keyword	no opening credits
keyword	surveillance camera
keyword	flag draped coffin
keyword	multiple murder
keyword	corruption
keyword	blonde
keyword	waterfront
keyword	black american
keyword	death of protagonist
keyword	pool table
keyword	christian
keyword	bar
keyword	cocaine
keyword	gun
keyword	bridge
keyword	begging to be killed
keyword	firefighter
keyword	hospital
keyword	lingerie
keyword	boston massachusetts
keyword	battering ram
keyword	documentary footage
keyword	reference to jesus christ
keyword	elevator
keyword	police corruption
keyword	singing
keyword	city
keyword	microchip
keyword	cemetery
keyword	unsubtitled foreign language
keyword	opera house
keyword	gay slur
keyword	baggage handler
keyword	earphones
keyword	funeral
keyword	police raid
keyword	crime epic
keyword	baseball cap
keyword	water
keyword	beacon hill boston
keyword	disfigurement
keyword	gore
keyword	panties
keyword	airport
keyword	uncle nephew relationship
keyword	bag
keyword	head injury
keyword	microphone
keyword	crying
keyword	anger
keyword	criminal gang
keyword	cell phone
keyword	burial
keyword	military secret
keyword	friendship
keyword	cd player
keyword	graffiti
keyword	policeman
keyword	reference to sigmund freud
keyword	shot on location
keyword	broken hand
keyword	grave side ceremony
keyword	shot in the head
keyword	pistol
keyword	remake of chinese film
keyword	domestic violence
keyword	black humor
keyword	hand bandage
keyword	brutality
keyword	puerto rican american
keyword	car set on fire
keyword	swimming pool
keyword	female nudity
keyword	beating a hand with a shoe
keyword	love
keyword	flashback within a flashback
keyword	head butt
keyword	reference to bruce lee
keyword	convenience store
keyword	old man
keyword	caller id
keyword	exploding car
keyword	dying
keyword	bloody violence
keyword	lost identity
keyword	police internal affairs
keyword	social security number
keyword	snitch
keyword	watching a movie
keyword	drinking
keyword	chase
keyword	execution
keyword	italian american
keyword	two way mirror
keyword	bedroom
keyword	patriot act
keyword	hitman
keyword	chinese mafia
keyword	fistfight
keyword	drug deal
keyword	beach
keyword	bag of money
keyword	elite team
keyword	bouncer
keyword	police funeral
keyword	jealousy
keyword	subway
keyword	standoff
keyword	fbi
keyword	limousine
keyword	duffel bag
keyword	falling in love with one's analyst
keyword	reference to macbeth
keyword	abandoned warehouse
keyword	police badge
keyword	target practice
keyword	broken glass
keyword	irish accent
keyword	reference to nathaniel hawthorne
keyword	revolver
keyword	thug
keyword	garrote
keyword	rampage
keyword	gloves
keyword	shot to death
keyword	cigarette lighter
keyword	valium
keyword	drawing on a table cloth
keyword	drug dealer
keyword	african american
keyword	romantic triangle
keyword	dead woman
keyword	detective
keyword	cigarette smoking
keyword	police officer killed
keyword	father figure
keyword	remake of asian film
keyword	river
keyword	knife
keyword	critically acclaimed
keyword	shotgun
keyword	man with glasses
keyword	harvard university
keyword	tunnel
keyword	main character dies
keyword	violence
keyword	cafe
keyword	golf
keyword	singer
keyword	ethnic conflict
keyword	china
keyword	surveillance
keyword	machine gun
keyword	train
keyword	switchblade
keyword	church
keyword	death
keyword	iris shot
keyword	scream
keyword	police academy
keyword	witness
keyword	two word title
keyword	police staff sergeant
keyword	police shootout
keyword	uzi
keyword	gunshot wound
keyword	cop against cop
keyword	hit over the head with a bottle
keyword	crime boss
keyword	date
keyword	police sergeant
keyword	infertility
keyword	mexican standoff
keyword	insurance money
keyword	dunking face into a bowl of ice
keyword	reference to notre dame university
keyword	indian american
keyword	held at gunpoint
keyword	drawing
keyword	corrupt cop
keyword	whistling
keyword	double cross
keyword	betrayal
keyword	police training
keyword	warehouse
keyword	scottish accent
keyword	drug addict
keyword	crime scene
keyword	death of friend
keyword	death of mother
keyword	title spoken by character
keyword	surprise ending
cast	Leonardo DiCaprio	Billy
cast	Matt Damon	Colin Sullivan
cast	Jack Nicholson	Frank Costello
cast	Mark Wahlberg	Dignam
cast	Martin Sheen	Queenan
cast	Ray Winstone	Mr. French
cast	Vera Farmiga	Madolyn
cast	Anthony Anderson	Trooper Brown
cast	Alec Baldwin	Ellerby
cast	Kevin Corrigan	Cousin Sean
cast	James Badge Dale	Trooper Barrigan
cast	David O'Hara	Fitzy
cast	Mark Rolston	Delahunt
cast	Robert Wahlberg	Lazio - FBI
cast	Kristen Dalton	Gwen
cast	Thomas B. Duffy	Governor
cast	J.C. MacKenzie	Realtor
cast	Mary Klug	Billy's Aunt
cast	Peg Holzemer	Mrs. Kennefick
cast	Robert 'Toshi' Kar Yuen Chan	Triad Boss
cast	Gurdeep Singh	Pakistani Proprietor
cast	Armen Garo	Providence Gangster #1
cast	John Cenatiempo	Providence Gangster #2
cast	Joseph Riccobene	Kneecapped Bankrobber
cast	Billy Smith	Detective #1 Tailing Queenan
cast	Lyman Chen	Translator
cast	Kevin P. McCarthy	Detective #1 - Colin's Unit
cast	Chris Fischer	Detective #2 - Colin's Unit
cast	Brian Smyj	Man Glassed in Bar
cast	William Severs	Older Priest
cast	Larry Mitchell	Younger Priest
cast	Anthony Estrella	Police Camera Tech
cast	Andrew Breving	Police Cell Phone Tech
cast	Tracey Paleo	Darlene the Secretary
cast	Douglas Crosby	Man Killed by French
cast	Dorothy Lyman	Woman at Bar #1
cast	Audrie Neenan	Woman at Bar #2
cast	Frank Mallicoat	News Anchor
cast	Paula DeMers	Billy's Mother
cast	Conor Donovan	Young Colin
cast	Amanda Lynch	Carmen
cast	Sallie Toussaint	Woman at Opera
cast	Patrick Coppola	Bookie Harassed by French
cast	Mick O'Rourke	Jimmy Bags
cast	Deborah Carlson	Sister Mary Theresa
cast	Nellie Sciutto	Queenan's Secretary
cast	Peter Welch	Other Prisoner
cast	Henry Yuk	Chinese Government Man
cast	Dennis Lynch	Costello's Crew #1
cast	Michael Byron	Costello's Crew #2
cast	William Lee	Costello's Crew #3
cast	John Rue	Luncheonette Proprietor
cast	Peter Crafts	Man in Costello's Bar
cast	Joseph P. Reidy	Priest with Young Colin
cast	John Farrer	Priest at Billy's Funeral
cast	Paris Karounos	Jimmy Pappas
cast	Brian Haley	Detective #2 Tailing Queenan
cast	Terry Serpico	Detective #3 Tailing Queenan
cast	Jay Giannone	Detective #4 Tailing Queenan
cast	John Polce	Lynn Detective
cast	Bo Cleary	Drill Instructor #2
cast	David Conley	Gang Member with Mr. French
cast	Victor Chan	Chinese Delivery Man
cast	Jill Brown	Executed Woman
cast	Sarah Fearon	French's Wife
cast	Tom Kemp	Billy Costigan, Sr.
cast	Denece Ryland	Woman Doctor
cast	Zachary Pauliks	Young Billy
cast	Daniel F. Risteen Jr.	Crack House Cop #1
cast	Francis P. Hughes	Crack House Cop #2
cast	Johnny Cicco	Crack Addict
cast	Chance Kelly	Exam Instructor
cast	Shay Duffin	Bartender at Brasserie
cast	John McConnell	Bookie in Costello's Bar
cast	Kenneth Stoddard	State Trooper #1
cast	Jeffrey Winter	State Trooper #2
cast	Paddy Curran	New Guy
cast	Mark Philip Patrick	New Guy
cast	David Fischer	Executed Man
cast	Walter Y.F. Wong	Waiter in Alley
cast	Tony M. Yee	Waiter in Alley
cast	Francesca Scorsese	Little Girl at Airport
cast	Alex Morris	Young Man at Airport
cast	Emma Tillinger Koskoff	Woman with Dog
cast	Craig Castaldo	Crack House Denizen
cast	Dick Hughes	Uncle Edward
cast	James P. Anderson	Boston Police Dignitary
cast	Andrew Aninsman	Undercover Drug Agent
cast	Dion Baia	Donegan - Police Cadet
cast	Takumi Bando	Triad
cast	Vincent Bivona	Cadet #15
cast	Eric Bruno Borgman	Reporter
cast	David Boston	Boston Police Chief
cast	Tracey Brennan	E.R. Doctor
cast	Brendan Burke	Irish Thug
cast	Shana Carr	Business Woman
cast	Chris Chinn	Gang Member
cast	Vic Clay	Businessman
cast	Desiree April Connolly	Driver of Car in Chase
cast	Jeffrey Corazzini	Crime Scene Unit
cast	Ed Cuffe	Boston PD
cast	Buddy Dolan	Sean
cast	Jim Evans	Police Officer
cast	James Michael Farrell	Detective
cast	Steve Flynn	State Police Detective
cast	Shawn Fogarty	Pedestrian / Businessman
cast	Lorre Fritchy	Extra
cast	Trudi Goodman	Woman Office Worker
cast	Mackenzie Hawe	Child at Carnival
cast	Mark Hemphill	College Student
cast	Henry Kwan	Asian Triad
cast	Crystal Lisbon	Business Woman
cast	Steve Lord	Academy Pistol Coach
cast	Frank Mancuso	Inmate
cast	Oliver Martin	State Trooper
cast	Adam Masnyk	Southie Teen / Soccer Player
cast	Jack McCullough	EMT
cast	Robert Myers	Cadet Parent
cast	Nicolas Quilter	State Trooper
cast	Osmani Rodriguez	Reporter
cast	Steve Scarfo	Construction Worker
cast	Billy Silvia	Chinatown Shopper
cast	John Wayland Somers	Forensics Officer
cast	Lawrence Cameron Steele	Academy Firearms Instructor
cast	Stream	Shopper in China Town
cast	Alfredo Suarez	Cop
cast	Conor Timmis	Rugby Fan
cast	Donna Wong	Waitress
cast	Gail Yudain	Cadet Parent
