year	1996
imdb score	7.4
meta score	87
genre	Drama
genre	Romance
genre	War
keyword	nurse
keyword	flashback
keyword	patient
keyword	love
keyword	sahara
keyword	burn victim
keyword	english
keyword	hungarian
keyword	thief
keyword	desert
keyword	ghost
keyword	pilot
keyword	death
keyword	friend
keyword	betrayal
keyword	map maker
keyword	italy
keyword	canadian
keyword	royal geographical society
keyword	memory
keyword	dying
keyword	plane crash victim
keyword	1930s
keyword	count
keyword	map
keyword	italian
keyword	sikh
keyword	reference to rommel
keyword	friendship
keyword	operating room
keyword	flash forward
keyword	nightclub
keyword	kiss
keyword	egypt
keyword	montréal quebec canada
keyword	paratrooper
keyword	spy
keyword	newlyweds
keyword	sex scene
keyword	beating
keyword	suffering
keyword	curse
keyword	bridge
keyword	shower
keyword	sphinx
keyword	wedding anniversary
keyword	nonlinear timeline
keyword	bath
keyword	writing
keyword	female nudity
keyword	female frontal nudity
keyword	washing hair
keyword	campfire
keyword	eavesdropping
keyword	statue
keyword	cave
keyword	candle
keyword	cavern
keyword	reference to irving berlin
keyword	flashlight
keyword	gun
keyword	doomed love
keyword	shepherd's hotel
keyword	reference to hitler
keyword	french
keyword	severed thumb
keyword	jumping from a train
keyword	unconsciousness
keyword	morphine
keyword	year 1942
keyword	1940s
keyword	church
keyword	orchard
keyword	cuckold
keyword	burnt flesh
keyword	world war two
keyword	singing
keyword	compassion
keyword	field hospital
keyword	wound
keyword	blockbuster
keyword	tea
keyword	bracelet
keyword	north africa
keyword	drawing
keyword	suicide by gunshot
keyword	anti aircraft
keyword	roadside bomb
keyword	irony
keyword	british
keyword	melodrama
keyword	sexual tension
keyword	explosion
keyword	singer
keyword	archaeologist
keyword	liar
keyword	geneva convention
keyword	painting
keyword	beach
keyword	paper crown
keyword	dream
keyword	garden
keyword	piano
keyword	wind
keyword	murder
keyword	restaurant
keyword	shampoo
keyword	bomb
keyword	tent
keyword	dancing
keyword	camel
keyword	newsreel footage
keyword	dinner party
keyword	truck
keyword	theatre audience
keyword	bar
keyword	injection
keyword	library
keyword	german soldier
keyword	disfigurement
keyword	cane
keyword	unfaithfulness
keyword	defusing a bomb
keyword	art
keyword	minesweeper
keyword	bomb disposal
keyword	shared bath
keyword	cathedral
keyword	abandoned monastery
keyword	condensed milk
keyword	refugee
keyword	motorcycle
keyword	pearl necklace
keyword	reading
keyword	drug overdose
keyword	sex standing up
keyword	hand injury
keyword	reference to god
keyword	burn injury
keyword	reference to johann sebastian bach
keyword	drink
keyword	barn
keyword	bare breasts
keyword	amnesia
keyword	stranded
keyword	map making
keyword	caravan
keyword	christmas
keyword	torture
keyword	colonialism
keyword	canadian expatriate
keyword	fiancé fiancée relationship
keyword	historical event
keyword	german
keyword	automobile accident
keyword	thunderstorm
keyword	survivor
keyword	passion
keyword	watching a movie
keyword	haunted by the past
keyword	hopscotch
keyword	airplane accident
keyword	loyalty
keyword	obsession
keyword	tragedy
keyword	partisan
keyword	cafe
keyword	burnt face
keyword	tank
keyword	star crossed lovers
keyword	train
keyword	signal flare
keyword	prayer
keyword	gunfire
keyword	reference to mussolini
keyword	photographer
keyword	drinking
keyword	muslim
keyword	song
keyword	moral ambiguity
keyword	famous score
keyword	bicycle
keyword	nurse patient relationship
keyword	libya
keyword	atheist
keyword	sandstorm
keyword	marriage
keyword	truck accident
keyword	photograph
keyword	arab
keyword	nazi
keyword	ex thief
keyword	red cross
keyword	interpreter
keyword	assisted suicide
keyword	biplane
keyword	mittens
keyword	obsessive love
keyword	healing
keyword	strangulation
keyword	cave painting
keyword	african
keyword	infidelity
keyword	escape
keyword	face slap
keyword	cairo egypt
keyword	fascist
keyword	cigarette smoking
keyword	suicide
keyword	undressing
keyword	recording
keyword	broken rib
keyword	extramarital affair
keyword	bathtub
keyword	budapest hungary
keyword	jealousy
keyword	fear
keyword	handcuffs
keyword	pyramid
keyword	monastery
keyword	record player
keyword	war injury
keyword	adultery
keyword	cross
keyword	knife
keyword	landmine
keyword	pain
keyword	melancholy
keyword	movie theatre
keyword	evacuation
keyword	lie
keyword	bengasi libya
keyword	booby trap
keyword	ownership
keyword	crying
keyword	bra
keyword	turban
keyword	broken ankle
keyword	prisoner
keyword	revenge
keyword	tuscany italy
keyword	character's point of view camera shot
keyword	year 1944
keyword	camera
keyword	egyptologist
keyword	interracial relationship
keyword	dancer
keyword	tobruk
keyword	shooting up
keyword	ve day
keyword	hypodermic needle
keyword	jeep
keyword	tragic event
keyword	india
keyword	world war two in italy
keyword	broken wrist
keyword	machine gun
keyword	blood
keyword	british army
keyword	tripoli libya
keyword	ethiopia
keyword	american flag
keyword	rifle
keyword	capture
keyword	rain
keyword	courtroom
keyword	euthanasia
keyword	sewing
keyword	santa claus suit
keyword	tears
keyword	knocked out
keyword	war wound
keyword	book
keyword	underwear
keyword	severed finger
keyword	spin the bottle
keyword	tragic love
keyword	kama sutra
keyword	airplane
keyword	cartographer
keyword	swimming
keyword	reference to anna karenina
keyword	pianist
keyword	interrogation
keyword	expedition
keyword	fire
keyword	theft
keyword	palace of winds india
keyword	promise
keyword	bagpipes
keyword	airplane crash
keyword	hoist
keyword	based on novel
keyword	independent film
cast	Ralph Fiennes	Count Laszlo de Almásy
cast	Juliette Binoche	Hana
cast	Willem Dafoe	David Caravaggio
cast	Kristin Scott Thomas	Katharine Clifton
cast	Naveen Andrews	Kip
cast	Colin Firth	Geoffrey Clifton
cast	Julian Wadham	Madox
cast	Jürgen Prochnow	Major Muller
cast	Kevin Whately	Sgt. Hardy
cast	Clive Merrison	Fenelon-Barnes
cast	Nino Castelnuovo	D'Agostino
cast	Hichem Rostom	Fouad
cast	Peter Rühring	Bermann
