year	1971
imdb score	7.8
meta score	96
genre	Action
genre	Crime
genre	Thriller
keyword	police
keyword	heroin
keyword	drugs
keyword	smuggling
keyword	chase
keyword	new york city
keyword	police officer
keyword	automobile
keyword	drug smuggling
keyword	police partner
keyword	car
keyword	car chase
keyword	marseille
keyword	train
keyword	boot fetish
keyword	manhattan new york city
keyword	subway station
keyword	mafia
keyword	good cop bad cop
keyword	volkswagen beetle
keyword	neo noir
keyword	career criminal
keyword	telling someone to shut up
keyword	fbi agent
keyword	telephone box
keyword	drug trade
keyword	government agent
keyword	commandeered vehicle
keyword	shotgun
keyword	hitman
keyword	three word title
keyword	foot chase
keyword	following someone
keyword	sniper
keyword	partnership
keyword	el train
keyword	restaurant
keyword	tear gas
keyword	informer
keyword	brooklyn new york city
keyword	surrounded by police
keyword	drug ring
keyword	shot in back
keyword	arrest
keyword	parking garage
keyword	roadblock
keyword	washington monument
keyword	what happened to epilogue
keyword	car crash
keyword	racism
keyword	police protagonist
keyword	frenchman
keyword	cynicism
keyword	revolving door
keyword	french restaurant
keyword	english subtitles in original
keyword	santa bell ringer
keyword	italain american
keyword	reference to dick tracy
keyword	drug bust
keyword	altered version of studio logo
keyword	subway
keyword	traffic jam
keyword	stakeout
keyword	rooftop
keyword	female nudity
keyword	italian american cop
keyword	automobile chase
keyword	police surveillance
keyword	escargot
keyword	pork pie hat
keyword	train crash
keyword	police chase
keyword	santa claus suit
keyword	telephone booth
keyword	candied apple
keyword	big city
keyword	hotel
keyword	christmas
keyword	police detective
keyword	police chief
keyword	d box motion code
keyword	anger
keyword	reference to bloomingdale's department store
keyword	subway train
keyword	handcuffs
keyword	railcar
keyword	undercover cop
keyword	ethnic slur
keyword	reference to don ameche
keyword	vocational obsession
keyword	narcotics cop
keyword	actor
keyword	murder
keyword	train hijack
keyword	punched in the face
keyword	shipyard
keyword	police officer killed
keyword	irish american
keyword	informant
keyword	female rear nudity
keyword	racial slur
keyword	premarital sex
keyword	megaphone
keyword	financier
keyword	tailing a suspect
keyword	drug dealer
keyword	airplane
keyword	television
keyword	reference to tiffany's
keyword	nightclub
keyword	auto auction
keyword	rogue cop
keyword	drug dealing
keyword	surveillance device
keyword	bar
keyword	world trade center manhattan new york city
keyword	washington d.c.
keyword	shootout
keyword	wiretap
keyword	narcotics investigation
keyword	car accident
keyword	bedford stuyvesant brooklyn new york city
keyword	santa costume
keyword	assassin
keyword	famous singer as themself
keyword	falling down stairs
keyword	capitalist
keyword	irish american cop
keyword	based on novel
keyword	based on true story
cast	Gene Hackman	Jimmy Doyle
cast	Fernando Rey	Alain Charnier
cast	Roy Scheider	Det. Buddy Russo
cast	Tony Lo Bianco	Sal Boca
cast	Marcel Bozzuffi	Pierre Nicoli
cast	Frédéric de Pasquale	Devereaux
cast	Bill Hickman	Mulderig
cast	Ann Rebbot	Marie Charnier
cast	Harold Gary	Weinstock
cast	Arlene Farber	Angie Boca
cast	Eddie Egan	Simonson
cast	André Ernotte	La Valle
cast	Sonny Grosso	Klein
cast	Benny Marino	Lou Boca
cast	Patrick McDermott	Chemist
cast	Alan Weeks	Pusher
cast	Al Fann	Informant
cast	Irving Abrahams	Police Mechanic
cast	Randy Jurgensen	Police Sergeant
cast	William Coke	Motorman
cast	The Three Degrees	The Three Degrees
cast	Frank Adonis	Bidder at New York Car Auction
cast	Gilda Albertoni	Uncredited
cast	Robert Dahdah	Man
cast	Sarina C. Grant	Hooker on the Street
cast	Joe Lo Grippo	Tollbooth Collector
cast	Melonie Haller	Schoolgirl
cast	Eric Jones	Little Boy
cast	Charles McGregor	Baldy - Bar Patron in Drug Raid
cast	Lora Mitchell	Woman with Baby Carriage
cast	Maureen Mooney	Bicycle Girl
cast	Silvano Nolemi	Dock Worker
cast	Burt Richards	Auction Bidder
cast	Fat Thomas	Mutchie
cast	Robert Weil	Auctioneer
