year	1990
imdb score	7.6
meta score	60
genre	Crime
genre	Drama
genre	Mystery
genre	Thriller
keyword	mafia
keyword	vatican
keyword	mafia don
keyword	gangster
keyword	epic
keyword	longing
keyword	prayer
keyword	gay slur
keyword	no opening credits
keyword	banking
keyword	sex between cousins
keyword	80 year old
keyword	mounted police
keyword	loss of daughter
keyword	puppet show
keyword	father son relationship
keyword	medal
keyword	shot in the chest
keyword	gang war
keyword	corruption
keyword	cardinal the priest
keyword	wake
keyword	opera
keyword	brother sister relationship
keyword	symbolism
keyword	train
keyword	incest
keyword	corleone italy
keyword	orange juice
keyword	sequel to best picture winner
keyword	organized crime
keyword	hitman
keyword	repeating history
keyword	murder
keyword	priest
keyword	festival
keyword	fake person in bed
keyword	destiny
keyword	roman numeral in title
keyword	pope
keyword	disguise
keyword	eyeglasses
keyword	man with glasses
keyword	soccer ball
keyword	manhattan new york city
keyword	confession
keyword	81 year old
keyword	long suffering
keyword	cosa nostra
keyword	illegitimate son
keyword	kissing cousins
keyword	numbered sequel
keyword	hanging
keyword	box of candy
keyword	palermo italy
keyword	reference to alexander graham bell
keyword	helicopter
keyword	returning character killed off
keyword	south italy
keyword	spinning newspaper
keyword	stabbing
keyword	confessional
keyword	limousine
keyword	hospital
keyword	new york city
keyword	party
keyword	parallel montage
keyword	italian american
keyword	revenge
keyword	third part
keyword	cousin cousin relationship
keyword	father daughter relationship
keyword	reporter
keyword	incestuous kiss
keyword	multiple perspectives
keyword	divorce
keyword	dying words
keyword	assassination
keyword	shootout
keyword	shot to death
keyword	papal election
keyword	crime boss
keyword	catholic church
keyword	uncle
keyword	forbidden love
keyword	1970s
keyword	horse
keyword	stabbed in the neck
keyword	mob violence
keyword	banker
keyword	sicily
keyword	atlantic city new jersey
keyword	part of trilogy
keyword	aunt
keyword	blood spatter
keyword	fate
keyword	embezzlement
keyword	lawyer
keyword	nostalgia
keyword	shot repeatedly
keyword	character repeating someone else's dialogue
keyword	conflicted hero
keyword	board meeting
keyword	hypoglycemia
keyword	nun
keyword	stroke
keyword	silent scream
keyword	shaving someone
keyword	sniper
keyword	dancing
keyword	cult film
keyword	world trade center manhattan new york city
keyword	smothering
keyword	sequel
keyword	flashback to images of memories
keyword	repeated line
keyword	history rewind
keyword	family relationships
keyword	death of title character
keyword	guilt
keyword	candy
keyword	tragic hero
keyword	railway station
keyword	singer
keyword	assault
keyword	betrayal
keyword	flashback
keyword	mob hit
keyword	opera glasses
keyword	catholic
keyword	diabetes
keyword	poison
keyword	premarital sex
keyword	death of friend
keyword	number in title
keyword	
cast	Al Pacino	Don Michael Corleone
cast	Diane Keaton	Kay Adams Michelson
cast	Talia Shire	Connie Corleone Rizzi
cast	Andy Garcia	Vincent Mancini
cast	Eli Wallach	Don Altobello
cast	Joe Mantegna	Joey Zasa
cast	George Hamilton	B.J. Harrison
cast	Bridget Fonda	Grace Hamilton
cast	Sofia Coppola	Mary Corleone
cast	Raf Vallone	Cardinal Lamberto
cast	Franc D'Ambrosio	Anthony Vito Corleone
cast	Donal Donnelly	Archbishop Gilday
cast	Richard Bright	Al Neri
cast	Helmut Berger	Frederick Keinszig
cast	Don Novello	Dominic Abbandando
cast	John Savage	Father Andrew Hagen
cast	Franco Citti	Calo
cast	Mario Donatone	Mosca
cast	Vittorio Duse	Don Tommasino
cast	Enzo Robutti	Don Licio Lucchesi
cast	Michele Russo	Spara
cast	Al Martino	Johnny Fontane
cast	Robert Cicchini	Lou Pennino
cast	Rogerio Miranda	Twin Bodyguard Armand
cast	Carlos Miranda	Twin Bodyguard Francesco
cast	Vito Antuofermo	Anthony 'The Ant' Squigliaro
cast	Robert Vento	Father John
cast	Willie Brown	Party Politician
cast	Jeannie Linero	Lucy Mancini
cast	Jeanne Savarino Pesch	Francesca Corleone
cast	Janet Savarino Smith	Kathryn Corleone
cast	Tere Livrano	Teresa Hagen
cast	Carmine Caridi	Albert Volpe
cast	Don Costello	Frank Romano
cast	Al Ruscio	Leo Cuneo
cast	Mickey Knox	Marty Parisi
cast	Rick Aviles	Mask #1
cast	Michael Bowen	Mask #2
cast	Brett Halsey	Douglas Michelson
