year	2009
imdb score	6.9
meta score	65
genre	Adventure
genre	Fantasy
genre	Mystery
keyword	rescue
keyword	bet
keyword	immortality
keyword	dream
keyword	imaginary world
keyword	deal with the devil
keyword	birthday
keyword	bridge
keyword	midget
keyword	sideshow
keyword	heckler
keyword	resentful daughter
keyword	hang by neck
keyword	noose
keyword	tarot card
keyword	character played by different actors
keyword	siren
keyword	theatre group
keyword	human soul
keyword	ambulance
keyword	organ theft
keyword	magic
keyword	cliff
keyword	mob
keyword	pact with devil
keyword	mask
keyword	imaginary environment
keyword	surrealism
keyword	old man
keyword	mortality
keyword	chase
keyword	15 year old
keyword	rope around neck
keyword	memory
keyword	princess diana
keyword	illumination
keyword	underage sex
keyword	explosion
keyword	title appears in writing
keyword	nudity on stage
keyword	jailbait
keyword	crooked charity
keyword	police car
keyword	parallel world
keyword	stage magician
keyword	costume
keyword	flashback
keyword	fairground
keyword	charity event
keyword	star died before release
keyword	freemason
keyword	london bridge
keyword	drunkenness
keyword	newspaper headline
keyword	little girl
keyword	pink bra
keyword	box office flop
keyword	sleight of hand
keyword	horse and carriage
keyword	imaginary body
keyword	sense of wonder
keyword	monk
keyword	magical
keyword	levitating
keyword	reporter
keyword	charity
keyword	flute
keyword	stage
keyword	police officer
keyword	death of cast member
keyword	dwarf
keyword	multiple actors for one character
keyword	carny
keyword	ladder
keyword	fantasy world
keyword	throat
keyword	sex with teenager
keyword	video camera
keyword	gondola
keyword	shopping district
keyword	marijuana
keyword	teenage sex
keyword	lead actor's last film
keyword	dream world
keyword	musical number
keyword	bra
keyword	lounge
keyword	levitation
keyword	performer
keyword	cult film
keyword	sex on boat
keyword	rope
keyword	presumed dead
keyword	mirror
keyword	turban
keyword	hanged man
keyword	ginger
keyword	desert
keyword	father daughter relationship
keyword	london england
keyword	adult actress playing teenage girl
keyword	russian mafia
keyword	dancer
keyword	dance
keyword	stage show
keyword	bargaining for life
keyword	laundry drying on a clothes line
keyword	imagination
keyword	sex with minor
keyword	adult actress playing minor
keyword	actor
keyword	reference to james dean
keyword	interrupted hanging
keyword	con artist
keyword	the devil
keyword	red dress
keyword	redhead girl
keyword	jellyfish
keyword	bar
keyword	deadline
keyword	16th birthday
keyword	rudolph valentino
keyword	organ trafficking
keyword	scandal
keyword	motel
keyword	magician
keyword	drunkard
keyword	trance
keyword	star died during filming
keyword	redhead
keyword	sideshow barker
keyword	red hair
keyword	character name in title
keyword	
cast	Andrew Garfield	Anton
cast	Christopher Plummer	Doctor Parnassus
cast	Richard Riddell	Martin
cast	Katie Lyons	Martin's Girlfriend
cast	Richard Shanks	Friend of Martin
cast	Lily Cole	Valentina
cast	Verne Troyer	Percy
cast	Bruce Crawford	Face Changed Martin
cast	Johnny Harris	Policeman
cast	Lorraine Cheshire	Mum
cast	Mark Benton	Dad
cast	Lewis Gott	Diego
cast	Sian Scott	Linda
cast	Simon Day	Uncle Bob
cast	Moya Brady	Aunty Flo
cast	Charles McKeown	Fairground's Inspector
cast	Tom Waits	Mr. Nick
cast	Mackenzie Gray	First Monk
cast	Kis Yurij	Second Monk
cast	Ian A. Wallace	Third Monk
cast	Heath Ledger	Tony
cast	Amanda Walker	Shopper
cast	Joann Condon	Shopper
cast	Carolyn Pickles	Shopper
cast	Paloma Faith	Sally
cast	Montserrat Lombard	Sally's Friend
cast	Craig Fraser	Debonair Gent
cast	Amy Marston	Classy Shopper 1
cast	Gwendoline Christie	Classy Shopper 2
cast	Lucy Russell	Classy Shopper 3
cast	Maggie Steed	LV Woman
cast	Ben Cartwright	Policeman 1
cast	Gavin Rolph	Policeman 2
cast	Bobby Bysouth	LV Woman's Reflection
cast	Johnny Depp	Imaginarium Tony 1
cast	Vitaly Kravchenko	Piotr
cast	Ray Cooper	Vladimir
cast	Emil Hostina	Serge
cast	Igor Ingelsman	Gregor
cast	Sarah Groundwater	Sales Girl
cast	Jude Law	Imaginarium Tony 2
cast	Dean Moen	Smiling Policeman
cast	Fraser Aitcheson	Dancing Policeman
cast	Michael Bean	Dancing Policeman
cast	Jason Griffith	Dancing Policeman
cast	Scott A. McGillivray	Dancing Policeman
cast	John Stewart	Dancing Policeman
cast	Chris Cochrane	Dancing Policeman
cast	Pearce Visser	Dancing Policeman
cast	Patrick Bahrich	Dancing Policeman
cast	Georgina Hegedos	Baboushka
cast	Colin Farrell	Imaginarium Tony 3
cast	Cassandra Sawtell	Olga
cast	Carrie Genzel	Female Journalist
cast	Mark Oliver	Male Journalist
cast	Peter Stormare	The President
cast	Donna Lysell	President's Wife
cast	Michael Eklund	Tony's Assistant
cast	Raahul Singh	Security Guard
cast	Ryan Grantham	Little Anton
cast	D. Harlan Cutshall	Charity Guest 1
cast	Deni DeLory	Charity Guest 2
cast	Lisa Bunting	Charity Guest 3
cast	Peter New	Paramedic 1
cast	Michael Jonsson	Paramedic 2
cast	Emma Karwandy	Valentina's Daughter
cast	Quinn Lord	Young Boy
cast	Bart Anderson	Young Boy's Father
cast	Erika Conway	Young Boy's Mother
cast	Wendy Carson	Nun 1
cast	Christine McMahon	Nun 2
cast	Elizabeth Adamczyk	Imaginarium Viewer
cast	Waléra Kanischtscheff	
cast	Daniel Newman	Gavin
cast	Antonia Putiloff	Olga
cast	Genevieve Sibayan	Drunken Youth
cast	Daniel Tyler-Smith	Drunk Imaginarium Spectator
