logline	A meek hobbit of The Shire and eight companions set out on a journey to Mount Doom to destroy the One Ring and the dark lord Sauron.
tagline	The Legend Comes to Life
tagline	One Ring To Rule Them All.
tagline	You will find adventure, or adventure will find you.[teaser trailer]
tagline	One ring to rule them all, One ring to find them, One ring to bring them all and in the darkness bind them
tagline	Its power corrupts all who desire it. Only one has the will to resist it. A Fellowship of nine must destroy it.[full-length trailer]
tagline	Fate Has Chosen Him. A Fellowship Will Protect Him. Evil Will Hunt Them.
tagline	Middle Earth comes alive...
tagline	Even the smallest person can change the course of the future.
tagline	All we have to decide is what to do with the time that we are given
tagline	Power can be held in the smallest of things...
