logline	A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
tagline	Free your mind
tagline	In a world of 1s and 0s...are you a zero, or The One?
tagline	Be Afraid Of The Future
tagline	The Fight for the Future Begins
tagline	Believe the unbelievable
tagline	Reality is a thing of the past.
tagline	What is The Matrix?
tagline	Unfortunately, no one can be told what the Matrix is. You have to see it for yourself.
tagline	Perception: Our day-in, day-out world is real. Reality: That world is a hoax, an elaborate deception spun by all-powerful machines of artificial intelligence that control us. Whoa.
tagline	The Future isn't user friendly...[Australian Poster]
tagline	The Matrix has you.
tagline	Welcome to the Real World
tagline	Remember there is no spoon
tagline	The Future Will Not Be User Friendly
tagline	The World's population thinks it's real. On March 31st, they will see the "Real World".
